attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,1,18900685,0,,good,5,RLST480,"Amazing professor. Is more like a mentor than a professor, and always there if you need ANYTHING at all, even if it doesn't relate to the class. Definitely the best professor I had at U of I. Also writes great letters of recommendation, and is worth keeping in touch with or saying hello and stopping by his office.",08/10/2011,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,18786430,0,,good,5,RLST110,"This class was really easy. Didn't read the book or go to lecture and got an A. Study guides for the exam are made, and are indicative of the types of information you will need to know for the exam. Having an easy TA helps when it comes to grading papers & quizzes. Khalil is gone though if you're only planning on taking this class cause of him",07/03/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18665490,0,,good,5,RLST110,"Khalil is awesome. RLST 110 is a great class, but he only teaches the islam part, there are guest speakers for the other religions.  he is really into what he is teaching and he comes across as an awesome guy.  really funny too. would definitely take another class with him",05/25/2011,2,2.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18642599,0,,good,5,RLST110,"He was so energetic when teaching - I honestly wish he taught the whole class, however, the way RLST 110 is set up there are guest lecturers for every topic  except for Islam (which he teaches). Don't take this class just for him because he doesn't teach the whole time.",05/20/2011,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18074342,0,,good,5,RLST214,"Definitely one of the best professors I've had at UIUC.  He provided a great and broad overview of Islam, and he was always available for questions.",01/02/2011,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17361583,0,,good,5,RLST223,"By far my favorite professor at UIUC. Cares soo much about his students, class is never boring even when the topic can get dry sometimes, and he's so enthusiastic about his work and teaches with a passion. I asked him for a letter of recommendation and he's more than happy to write that for me as well. Definitely take a class with him if possible.",06/23/2010,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17217291,0,,good,5,RLST223,"Professor Khalil was a fantastic teacher.  He loves the material, he speaks well, and, most importantly, he cares so much for his students.  Great class, great teacher.",05/17/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16306098,0,,good,5,RLST480,No Comments,11/03/2009,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16177979,0,,good,5,RLST110,"Very interesting course, brings in guest lecturers for all religions except Islam (he does that one). He's a very motivated lecturer and keeps you interested. However, beware of the grading system because missing two discussion sections (quizzes) can knock your grade down by 7-8%!",09/08/2009,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15960135,0,,good,5,RLST214,"He is an excellent professor. Very funny and interesting. He's unbiased even though he's talking about his own religion. The class was pretty easy overall, I got an A- and could have gotten an A with a bit more work. Attendance is random... he only takes 5 of them. Papers were kinda tough though unless you spend a bit of time on them.",06/14/2009,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15734051,0,,good,5,RLST214,I agree with what everyone else said. This guy is the man. The best professor I've had at this school. Very knowledgeable. U of I is luck to have him.,04/29/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15717313,0,,good,5,RLST214,"This guy is the man.  Best professor I have ever had on this campus.  He loves teaching, wants to get to know you, well help you with whatever you need, and grades fairly.  You have to go to class and do some work, but it is worth it.  Take this guy.",04/27/2009,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15669178,0,,good,4,RLST214,"Khalil is the man. He shows up to class every time wearing a suit -- he takes his subject seriously and is very knowledgeable. Funny guy, and his class is real lax. His tests aren't that easy, you really have to study pretty well but he gives a very comprehensive study guide that helps.",04/18/2009,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15091411,0,,good,4,RLST223,"Funny, entertaining, objective and very helpful. I disagree though, grading is quite lenient; I got by with a B without doing much reading for class. Hope he teaches an upper level before I graduate, the general ones cover too much/move too fast to get a good grasp on anything in particular but he's got a lot of knowledge in his field.",12/03/2008,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14565435,0,,good,5,RLST223,"AMAZING PROFESSOR! He engages the students in discussion and is very passionate and objective about what he teaches. Take ANY class that he's teaching, you won't regret it!",06/08/2008,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14260806,0,,good,5,RLST214,"Absolutely wonderful class! He is a very engaging professor and extremely knowledgeable. If you have any interest in Islam this class is definitely worth it. He's a great professor, the class is both very interesting and not difficult.",04/08/2008,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
