attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,good,0,14770224,0,,good,3,MATH125,"Naeem is great.  He is extremely helpful and a really nice guy.  I wasn't a fan of the material in the class but he tried his best to make sure we understood it.  Plus, he is kind of funny in his own dry way.  Highly recommend",08/24/2008,3,3.0,,5,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,14622000,0,,good,3,MATH220,"Really really nice guy, very helpful and does everything he possibly can to help you understand the material. Sometimes the material is challenging but just study, do practice problems regularly and approach Naeem if you are having any trouble so that he can help you.",06/29/2008,4,4.0,,5,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,14138024,1,,poor,1,MATH125,"Tries hard, but ends up mystifying not just me but most of the other students in class. Has this way of lapsing into doublespeak that's very irritating. Linguistically challenged, he may be better off teaching in his native language.",03/04/2008,2,2.0,,2,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,0,14064511,0,,average,3,MATH125,"Naeem is a nice guy but he often fails to make concepts such as vector spaces clear enough. Also, some class periods were incredibly boring and tedious to sit through. The homework is quite challenging, and the tests are fairly hard. Thorough studying is a must. Going to class is not enforced, but you absolutely HAVE to go in order to get the notes",02/01/2008,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,13997012,0,,good,3,MATH125,"Naeem does a great job teaching a difficult subject.  If the students don't understand a particular concept, he goes over it multiple times until it makes sense.  You will only use the book once or twice, unless you want to try practice problems.  Go to lecture, copy the notes, understand the notes, work with friends on homework.  You'll be fine.",01/14/2008,4,4.0,,5,Meh,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13941490,0,,good,4,MATH125,"There's no point in going to lecture as long as you get the notes from someone reliable.  I hardly used the book.  Homework is hard, so go to tutoring/office hours, they're REALLY helpful.  He's also really fair when it comes to arguing exam/hw grades.  Exams are hard too but study your notes/hw/past exams and you'll do fine.",01/03/2008,4,4.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13888862,0,,good,4,MATH125,"I thought this class was kinda hard, but he did an excellent job covering the material. If you go to class every time and take notes, you'll be fine.",12/21/2007,4,4.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13694665,0,,good,4,MATH125,"The class is really hard. He on the other hand is an awesome teacher. You will still have to work really hard though, and probably still end up with a bad grade. It just comes with the class. Just don't blame him for it. Blame the College of Business for making you take it.",11/24/2007,4,4.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13646885,0,,good,4,MATH125,Excellent teacher.,11/13/2007,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,13642682,0,,poor,1,MATH125,"He writes out all his notes badly, without explaining. When homework is given, the smallest mistakes can cost you major points",11/13/2007,3,3.0,,2,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13609967,0,,good,4,MATH220,Tough class...but he will do everything he can to help you and properly teach you the material. Great guy...really cares about his students,11/07/2007,5,5.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12808678,0,,good,5,MATH225,"Probably one of the friendliest and kindest teachers I've had thus far.  Tests can be a bit tricky as mentioned, but Naeem will do all he can to help you out.",01/22/2007,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12796377,0,,good,5,MATH225,Naeem is an excellent teacher and very helpful. His lectures were good and had flexible office hours. His tests were a bit tricky and kind of hard but he was lenient in grading.   I highly recommend him.,01/19/2007,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10097932,0,,good,5,MATH213,"Very Patient, good professor, pretty easy too.",08/06/2005,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10013827,0,,good,5,MATH242213,"Good professor, very helpful and patient.",07/11/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,4030589,0,,average,3,CALC220,No Comments,06/24/2005,4,4.0,,2,Really into it,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,3767318,0,,poor,2,MATH220,never returns homework or quizes.  We have a homework due every week and he hasn't give us back the last 3 weeks worth even tho our test is tomorrow.,05/02/2005,3,3.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3242256,0,,good,5,MATH242,"Very organized & kind. He knows what he's teaching and talking about, always provide students with detailed and easy-to-understand answers when questioned. Math 242 becomes a little trickier at the end but he explains it to students so that they eventually understand them well.",01/18/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
