attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,26262732,0,,good,5,PHYS325,"Best teacher I've had. Hard, but curves at the end  (lot of A's and B's and some C's). Well designed and guided courses. Great board work, great at building intuition of hard subjects, cares about students. Considerate towards students and exam scheduling. Encourages ""stupid questions"". Inspired me to understand things intuitively. I could go on",04/09/2016,3,3.0,,5,N/A,5,5.0,1,No,N/A,1112,Yes,,B+,,people,people
Not Mandatory,good,average,good,2,25810993,0,,good,5,PHYS325,"Absolutely amazing! Her lectures are always intellectually stimulating and funny, and I enjoyed every minute of it! For 325, I don't know about prof Weaver, but you can't go wrong with Naomi!",12/23/2015,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A+,,people,people
Not Mandatory,good,good,good,1,25347596,0,,good,5,PHYS325,"Just an awesome person, the kind of prof who's lecture you always genuinely want to go to. If you're  in physics she is the prof you want. Also very nice and willing to answer just about any question, as well as to learn your name.",11/05/2015,4,4.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,INC,,people,person
Mandatory,good,good,good,1,24369351,0,,good,5,325,I'm an exchange student and I think that one of the thinks that I have liked most are her lectures. The lectures are clear. She spends much time in trying to explain everything correctly and with a good taste of humor. She has to much energy to do a lot of things in a such short time. There is no boring class with Naomi.,02/08/2015,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A-,,people,person
N/A,good,average,good,3,23715812,1,,good,5,PHYS325,She stands for the definition of wisdom of mankind and beauty of science. ,10/30/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
N/A,average,good,good,0,22623738,2,,good,3,PHYS325,"Naomi is... strange.  You will love her as a person.  As a professor... not so much.  Unless you are one of those people who are very, I mean VERY, passionate about physics, you will struggle... hard.  The homework is near impossible without going to Sunday office hours or cheating.  Lecture feels like she is reteaching herself, not the class.",12/20/2013,4,4.0,,5,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,22361558,0,,good,5,PHYS325,Professor Makins is the best professor I have ever met!,11/21/2013,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
Not Mandatory,average,average,average,0,22257658,2,,good,2,PHYS325,"I loved her for 225 but for 325 her performance is...lacking. The class is so disorganized, it feels as if she hasn't prepped for anything at all. Homework and discussion packets are made on the fly and often feel useless and she's not even covering topics that are essential to classical mechanics. I really regret taking this class with her.",11/05/2013,3,3.0,,5,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,2,22145094,0,,good,5,PHYS325,"I wish she would teach every physics class I have to take. She's just simply that good. There's no way you're not understanding what shes teaching if you attend lectures. Only negative part being you don't get your grades back on time always, but I've never had to worry about that cos she's always willing to help you out.",09/28/2013,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,22008509,11,,poor,1,PHYS225,Worst professor ever!!! Try to avoid her as much as possible. She didn't take her class serious at all. Spent a lot of time on trivial things. Her lecture was not well organized and confusing. The worst teacher of all time!!,07/30/2013,3,3.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,2,21547380,0,,good,5,PHYS225,She's the best physics professor I ever had.,04/16/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,2,21457835,0,,good,4,PHYS225,"She's excellent. Passionate about the subject which makes learning so much more enjoyable. Extremely receptive to students who want to learn. Helpful, friendly, approachable, overall fantastic person and professor. Inspiring. Look forward to lectures. I couldn't possibly say anything bad about her.",03/28/2013,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,2,21144127,0,,good,5,PHYS212,Spectacular!! She was awesome and knew physics inside and out. She was flawless and could answer any question you asked. Loved helping her students and her attitude is great!! I Highly Highly Recommend her!!,12/21/2012,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,20374438,0,,good,3,PHYS212,"She and Beck traded off lectures, so I got to experience both of them. Naomi is really fun and enthusiastic, and she gets SO excited when the class gets a clicker question right. She loves her students and she knows her stuff. If a prelecture was exceptionally hard though, I would go to Beck's lecture, because I personally learned better from him.",06/02/2012,2,2.0,,5,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20236133,0,,good,5,PHYS212,"I have to say that she is really helpful and funny.Im lucky that she's my SA.I would like to take any class she gives. For sure, go to her lec.",05/09/2012,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20133205,0,,good,4,PHYS212,"She's inspired me. Sometimes she has a lot of trouble simplifying things with analogies because she chooses wrong, but she's really fun and will get better. She tries really hard and I hope to be a Physics Professor like her one day! Also I hate E&M. I aced all the other 200 level physics XD",04/26/2012,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20091532,0,,good,5,PHYS212,"She is an awesome professor and person. The class material is generally hard so you'll have to work, but in office hours she is great. Lot of use of the blackboard. Do not take her if you love Powerpoints.",04/21/2012,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19872005,0,,good,5,PHYS212,Excellent teacher,03/01/2012,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19749114,0,,good,4,PHYS225,"Naomi is an amazing teacher! She explained thoughts and ideas in a conversational tone, but also incorporated a fun atmosphere to the lecture. I am taking E&M and Classical Mech. now and can still remember her hints and tricks to understanding the meanings of the formulas.",01/19/2012,4,4.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19452164,0,,good,5,PHYS225,"Definately, she is the greatest professor in physics department. Though the exam is hard, and homework takes a lot of time. It is worthwhile to take her class!",12/10/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
