attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,17922093,0,,good,5,PSYC403,"The class meets once a week for less than 2 hours.  The material is fun and interesting, and we watched tv clips for half of the time.  The papers were easy and fun to write, overall a great class to get advanced hours.  Most people gets As.  The instructor is a famous researcher but you would never know it because he is  down to earth and laid bac",12/12/2010,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16825785,0,,good,5,PSYC403,Great teacher.  He is a very famous researcher in the psychology world but still is passionate about teaching.  The class is always interesting and the grading is fair and generous.  Take this class.,02/23/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14326639,0,,good,5,PSYCH403,He is very charming and very smart! He is good looking and humorous as well.  He is also a gentleman and I recommend you to meet him.,04/22/2008,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13691129,0,,good,5,PSYCH403,"Great professor.  Brilliant guy, lectures were always fun to attend.  Great integration of Hollywood films with real cases.  Would definitely recommend!",11/22/2007,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10848644,0,,good,5,PSYCNERO403,This class is very interesting.  A look into amnesia using hollywood films.  The professor is very intelligent and explains concepts well.  Would recommend taking this class.,11/08/2005,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2789437,0,,good,5,303,No Comments,11/19/2004,1,1.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1977584,0,,good,5,PSYCH,outstanding professor.  had him over 10 years ago and still apply information gained from him.,04/17/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1501222,0,,good,5,PSYCH303,He's incredibly intelligent and still managed to make the topic interesting and understandable.  A great class.,12/13/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1498925,0,,average,3,PSYCH250,Huge tool box in class.  Pretty easy test tho.,12/13/2003,2,2.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1195585,0,,good,5,PSYCH303,The class taught me a lot and got me even more interested in the subject.  The prof had a wealth of cool information and his grading was very fair.,10/16/2003,4,4.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
