attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,26700178,0,,good,5,ME300,"There were lots of people who were upset with him in class, but I thought he was great. He really knows the material, makes lots of connections, and he could be pretty entertaining at times (though not in a usual way). Quizzes were pretty easy if you actually do the HW and additional book examples. Only problem is the HW was unfairly graded.",06/06/2016,3,3.0,,5,N/A,5,5.0,1,Yes,Yes,1112,Yes,,A-,,people,people
Not Mandatory,good,good,good,0,26681598,0,,good,5,ME300,"Gives 7 quizzes during the semester, which are totally doable in the time allowed. Great lecturer, probably one of the best ones I've had yet. Knows what he's talking about, and communicates it well. One problem I did have was that he took off points for hw, when he told us in the beginning that it was effort based. Easy final",06/01/2016,4,4.0,,5,N/A,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,people
Mandatory,poor,good,average,0,25073880,0,,poor,1,ME300,"Would absolutely not recommend. Lectures aren't clear and presentation is very boring. If you enjoy learning from textbook, this is your guy because that's pretty much the only way you'll learn. Start your homework early as it takes a long time.",07/28/2015,4,4.0,,3,Sorta interested,2,2.0,1,Yes,N/A,1112,Yes,,B-,,people,people
Mandatory,average,good,average,0,24891116,0,,poor,2,ME300,He makes your quizes worth 60% of your grade. Then makes your quizes very difficult with only 20 minutes to solve in class. ,05/22/2015,4,4.0,,2,Sorta interested,2,2.0,1,Yes,N/A,1112,Yes,,D+,,people,people
Not Mandatory,average,good,average,0,24871409,0,,average,3,ME300,Gives 20 minute quizzes every other week in place of midterms. Quizzes were one problem on anything covered in that time. Difficult to complete in time allotted. Final exam was easy.,05/19/2015,5,5.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,B,,people,people
N/A,poor,good,poor,0,24809726,0,,poor,1,ME300,"Horrible professor. He grades homework, I average a 2225 even though he says it is completion based. His quizzes are hard, and no one ever has enough time to finish them. He is completely unorganized and doesn't use any technology (no online notes, doesn't use the projectors, and doesn't wear a mic). He is VERY boring and annoying to listen to.",05/12/2015,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,average,1,24763016,0,,good,4,ME300,"Overall, not too tough of a class and easy to get a good grade. Glumac gives seven quizzes, two of which are dropped. Not hard to do well on quizzes; they are similar to the homework problems. Read through corresponding section and view practice problems in the text. Homework is essentially graded for completion. Quizzes: 50%, HW: 20%, Final: 30%",05/07/2015,2,2.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,average,average,poor,3,21872595,0,,poor,2,ME300,"super distracted and disorganized. didn't seem like he was prepared for class at all and it made it really tough to learn from him. that being said, the quizzes were super simple and the final was easy too, but the only things that I learned in this class were things I read in the book",06/07/2013,2,2.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18587920,0,,good,5,ME501,Awesome professor...teaches very systematically...exams are a bit difficult and you need to know everything...cracks a lot of jokes,05/12/2011,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17163788,0,,good,5,ME300,"GREAT PROFESSOR! My favorite ME professor thus far. He keeps you interested, He's lectures are great and he as a cool sense of humor. Class is easy if you pay attention and attend lectures and do the homework. Overall, take any class he teaches, he is a cool professor",05/10/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16686099,2,,good,5,ME300,"Glumac is an interesting lecturer who is very interested in thermo. Quizzes are generally straightforward, although you are sometimes crunched for time. One week is dedicated to &quot;questioning&quot; global warming (AGW). The final is unnecessarily difficult, with many problems bearing only slight resemblance to previous examples, hw, quizzes. No midterms.",01/06/2010,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16572769,0,,average,4,ME300,"Quizzes are relatively easy and open book, but you are extremely short on time. Quizzes are also a huge portion of the grade, and the final exam is very difficult. Homework is crucial. Glumac is a decent lecturer if a tad boring.",12/16/2009,2,2.0,,2,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14547431,0,,good,4,ME350,Glumac seems like a nice guy but is a lot more focused on his research than teaching. The class was disorganized and his quiz questions were completely random and focused on minute details. Studying for this class meant just memorizing everything on his lecture slides. The final was difficult but had a lot of old questions on it.,06/02/2008,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14430838,0,,good,5,ME300,"Awesome prof. Was overly fair on quizzes in class. They were open book, usually the same as example problems with numbers changed. Final was pretty difficult.",05/08/2008,2,2.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,3968695,0,,good,4,ME300,Used student feedback very effectively. Final was on content that seemed less important during the course. Very helpful to go to for questions.,06/06/2005,4,4.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,3840603,0,,poor,1,ME300,Final not representative of course material and very limited in scope of the material.  Do not take any class from him!,05/11/2005,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,0,3826656,0,,good,5,ME300,"Very responsive to students' suggestions.  Good lecturer, but final worth too much.",05/10/2005,4,4.0,,4,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
