attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,0,22776668,0,,average,3,CHLH410,"I thought the class was super easy; however, the way she phrased questions on the exams was pretty tricky. But overall it was a pretty chill class.",01/21/2014,5,5.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,A,,people,people
N/A,average,good,average,0,21167393,0,,poor,2,CHLH410,Very unorganized and flighty during lectures. Material covered in class was not reflected well on exams and couldn't ever find info for study guides in lecture slides or book. There were 3 exams and 10 quizzes as well as a group project. Overall was not impressed by her teaching at all.,12/25/2012,4,4.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13266175,0,,poor,3,CHLH206,attendence is a HUGE part of the grade so show up. she gives out a fair amount of extra credit so do those and u should be fine,06/14/2007,2,2.0,,1,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,13082277,0,,poor,1,CHLH206,No Comments,04/30/2007,1,1.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12529276,0,,good,5,CHLH206,She's super sweet and funny,12/06/2006,2,2.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11731643,0,,good,5,CHLTH206,fun class good teacher!,04/19/2006,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3229648,0,,good,4,CHLH206,She made the class really easy.  Basically if you get the notes and study what's on her review sheet you can get an A in the class.,01/16/2005,1,1.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,3141730,0,,average,3,CHLH206,"Nikki is a nice lady, easy easy easy blowoff, i failed a test and still got a 398/400 in the class b/c of extra credit",01/02/2005,1,1.0,,3,It's my life,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,2948064,0,,poor,2,CHLH206,"she came to class looking like she was hungover all the time, she would always forget the topics she wanted to cover, she didnt seem to really care about the class at all",12/08/2004,1,1.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2503314,0,,good,5,CHLTH206,No Comments,09/29/2004,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,581262,0,,poor,3,CHLTH206,No Comments,02/18/2003,1,1.0,,1,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
