attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,21766573,0,,good,4,HIST305,"Very unique professor. Very interesting material (the history of the Andes) but the delivery was not. He pretty much just talks at you for an hour and a half and writes names on the board. He bores to death a lot of students. If you are genuinely interested in the topic I highly recommend this class, otherwise it will be pretty painful",05/15/2013,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19457771,0,,good,3,HIST396,"Professor Jacobsen gets a bad rep, and I think its unfair. He is very smart and very willing to work with students who are genuinely interested and trying. If you are a slacker/looking for an easy pass, move along. Jacobsen is hard, but a great professor in latin american history",12/11/2011,5,5.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,18426304,0,,poor,1,HIST106,"honestly the worst class ive ever taken. unfair grading policies, super boring classes, never stops talking. keeps the class after the time that it's supposed to be let out. Super annoying to sit through his class, thinks he's the most intellectual bc he's writing a book. dont take this class.",04/18/2011,4,4.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,poor,poor,0,17451618,0,,poor,2,HIST105,"If you go to lecture, read, and do your papers it is impossible to get below a B.   If you don't do one of those it is difficult to get above a C.  Throw in a little studying and this class is an easy A for the taking.",07/26/2010,1,1.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17042349,0,,good,5,HIST106,"Is an interesting class. Yet, you do have to complement lecture with the assigned readings and discussion. Overall great class.",04/22/2010,3,3.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16106217,0,,poor,1,HIST106,"The thing I found most difficult was what was discussed in lecture, in discussion sections, and what we were supposed to read was all different! I did not learn anything in lecture. The tests were essay & there would be 5 questions but there would be 15 on the study guide you had to prepare for. Only way I managed a B was I did well on papers.",08/10/2009,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16089919,0,,good,4,HIST106,"Make sure you NEVER miss his class. I have to admit his pop quiz policy is very annoying, but it helps eventually. Listen to his lecture and write down what he SAYS that are IMPORTANT, not the powerpoint. (writing down the powerpoint is useless). This class is NOT hard as long as you know your materials and listen to him in class.",08/04/2009,4,4.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,16081343,0,,poor,2,HIST105,Boring lectures.  Easy essay based tests.  Make sure you know your terms.,07/31/2009,1,1.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,1,15685238,0,,poor,2,HIST105,"He was super boring, and easily sidetracked, but if you read, you get an A on the exams.  If you read and try you get an A on all the papers.  What more can you ask&#63;",04/21/2009,1,1.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,poor,0,14482400,0,,poor,2,HIST105,Class was so boring! I didn't read anything throughout the year and completely stopped going to lecture after two weeks. Ended up with a good grade due to the information I already knew.,05/16/2008,2,2.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
