attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,poor,good,average,0,24737370,3,,poor,1,CMN375,Her lecture is kind of long and mundane. A lot of reading. Awful TA.  ,05/04/2015,4,4.0,,3,Sorta interested,2,2.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,poor,good,poor,1,24009915,3,,poor,1,CMN375,"Do not take this class. Pat means well and is a nice lady but this class is terrible. Her quizzes make absolutely no sense and neither do her test, even if you watched all the movies, read the articles, and took notes. She rambles way to much which makes it nearly impossible to take good notes. And her T.A. is just terrible. ",12/09/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,person
N/A,good,average,good,1,23318022,0,,good,5,GWS455,"Pat is super amazing! She is really interested in what you have to say, and it can sometimes seem like you are teaching her (in the best way possible). She is extremely invested in her students' well-being. Three hours of class in a hot room kinda flew by. The textbook is awful, but she gives you a chance to tear it apart which is super fun.",05/27/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
Mandatory,good,poor,good,2,22927360,0,,good,4,CMN375,"This class is great. The quizzes are easily and the movie choices were great. She will occasionally say weird things but it's usually funny. This class is interesting and very organized due to Mark, the TA. Quizzes are simple if you listen to the lecture and watch the movie, I rarely read the readings.",03/19/2014,1,1.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,good,good,1,22811258,0,,good,5,GWS101,"Wow. That's all I can say. She talks a bit fast, but literaly that's her only bad quality. Such a great person and really passionate about what she is teaching.",02/01/2014,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A-,,people,person
N/A,good,poor,good,1,22764539,0,,good,4,GWS100,Spoke a bit quickly and more than once didn't finish her lecture within the class time. She can be funny at times. Easy A if you read the material,01/17/2014,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,22707250,0,,good,5,GWS100,"pretty easy course.  The professor is very funny and goes over all the readings, there is no text required though.  All tests and quizzes are multiple choice and come straight from the study guides.  I never read any article but attended all lectures and got a high B in the class.",01/06/2014,2,2.0,,3,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,0,22370038,0,,good,4,GWS100,"This is a super easy, just read the material! No textbook; the reading material is online. She's pretty funny and interesting. One of the easiest gen eds and interesting major/minor",11/22/2013,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,A,,people,people
N/A,good,average,good,0,22361746,0,,good,5,GWS100,She is an amazing teacher!! Loved her lectures and she is such a great person to come into her office hours. I liked GWS 100 a lot and she made it really interesting. Super approachable and her only fault is that she talks a bit fast. Very smart women and knows what she's talking about.,11/21/2013,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22247730,0,,good,4,GWS100,She's an overall great professor. She makes class interesting and fun. She assigns a ton of reading BUT she gives you all the answers for the quiz in each lecture so you really dont have to read. Quizzes every week but they're really easy if you attend lecture and the midterm and final are based right off the quizzes so youll do great if you study,11/03/2013,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22216711,0,,good,4,GWS100,Very funny,10/25/2013,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,21974598,0,,good,4,CMN375,You should go to class every time.  There will be attendance and will be affect to your final grade.  Quizzes are worth 50% of your final grade and 25% for each exam.,07/17/2013,2,2.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
