attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,18416540,0,,poor,1,CHEM104,"Huge mistake choosing her for 104. Her 104 class heavily emphasizes organic chemistry, which is absurd. You work in groups and attendance is mandatory. She cannot lecture at all. Also, she calls people up to the front of the class to present problems, which if you get wrong she will make fun you in front of everyone. Avoid at all costs",04/15/2011,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18038280,0,,good,3,CHEM360,"I honestly learned a lot in this class; however I would not recommend Prof Shapley at all! All work is done in groups, so if that's not your style of learning don't take this class. Homework is very difficult and very few examples are given, and the professor often makes fun of students when they can't remember gen chem material.",12/24/2010,4,4.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,18000884,0,,poor,2,CHEM360,She was very disrespectful of students especially regarding board work - making fun of quiz answers in front of the whole class - homophobic and racial comments. There was way too much material and she put random things on the exams and almost never directly taught any material.,12/19/2010,4,4.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17995202,0,,average,3,CHEM360,"Unless you like group work, this class is not for you.  Only believes in using one method of teaching (teach yourselves in groups!) and doesn't give out homework answers very frequently.  I had such high hopes for this class...  First part of the class is deceptively easy.  Don't take unless you remember all the gen chem and organic chem perfectly.",12/19/2010,4,4.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17967934,0,,average,3,CHEM360,Attendance is mandatory.  Group work makes the class pass quickly.  As long as you study the problems on the classwork you'll be fine.  The professor is enthusiastic although not always merciful if you present incorrect work on the board.,12/16/2010,2,2.0,,3,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17764905,0,,poor,2,CHEM360,"Absolutely horrible. She has no respect for her students and will laugh at you for not remembering gen chem material. She cannot lecture, her exams are just too unfair, she doesn't believe in partial credit and you basically have to teach yourself if you want to pass her class.",11/13/2010,5,5.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17575228,0,,good,4,CHEM360,"I really like her. Her way of teaching is very diff. from any other professors, but it works really good. Class time goes by really fast because you work in groups and her lectures are small.  Attendance is mandatory, but i honestly learned a whole lots without even trying. quizzes and exams rent bad at all. Hw can be tedious, but doable.",09/05/2010,1,1.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16685920,0,,average,2,CHEM360,"Attending class is mandatory; there will be many in-class quizzes/classwork and homework due before every class. She uses weird alternative methods of teaching (idea charts as homework), sometimes calling out groups to respond. DO NOT PURCHASE THE TEXTBOOK. Exams are not overly difficult, just practice similar questions to the in-class assignments.",01/06/2010,3,3.0,,3,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15955912,0,,good,4,CHEM301,She is an amazing teacher and you learn a ton in her class. She looks absolutley amazing and i couldn't stop paying attention!,06/12/2009,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15934870,0,,good,5,CHEM360,"It is not fair to say that she's a horrible teacher. Her class does require attendance,  and she does cover a lot of extra materials. But the thing is, as long as you show up in class, do your HW, and read the textbook,slides, and notes &quot;1&quot; day before exam, it's an easy A.",06/05/2009,1,1.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15258833,0,,poor,2,CHEM360,"She tries so hard to be a good teacher, but sadly is not. I hated the attendance points and even more so that she didn't have any free days to account for illness, med school interviews, or just personal stuff. I thought the exams were easy, if you studied and memorized everything because she never told you what would be on them or not.",12/21/2008,4,4.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15171105,0,,poor,1,CHEM360,Horrible teacher and TA. You need to keep track of points and make sure you fight for your grade. She almost never does equations correctly and then tests you on them in the exam. Horrible Horrible Horrible teacher.,12/11/2008,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14888997,0,,average,3,CHEM360,"The above comment is right on.  The class could be so much more interesting, but exams are out of nowhere.  Reaction predictions are unfair if we didn't go over them in class.  TAs are pointless. I feel my grade in now way represents what I've learned.",10/22/2008,4,4.0,,2,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14875658,0,,average,3,CHEM360,"horrible class. interesting topics, but none reflected on exam. TA's worthless, no discussion, attendance mandatory and not necessary. exams NOT material covered in class/on compass",10/16/2008,4,4.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,14421048,0,,poor,2,CHEM312,She's terrible! (Got an A+ btw).  She lectures on completely pointless topics and skips over the stuff that's on the exam.  I think all she cares about is pushing global warming and enviro-chem on us.  She never posts answers to homework or classwork and makes us work in groups.  I felt like I was in 1st grade again... easy A tho.,05/07/2008,2,2.0,,1,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
