attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,14409757,0,,poor,2,ADV481,worst. class. ever. didnt help that he was more focused on making sexual references to everything than actually helping us understand the material.,05/05/2008,5,5.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14087087,0,,good,5,ADV481,"Vargas is engaging and well-prepared.  he keeps it interesting and i've never liked the material he taught, but i was always interested and i genuinely enjoyed lecture.  deep respect for him, and he's very helpful and friendly!",02/11/2008,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14026275,0,,good,3,PSYADV,Vargas was really chill. I had him for the intro seminar Fall 2006 called the Psychology of Advertising. Read the books and connect the papers with the reading. The class was long but he's a really smart and cool guy. He likes when you speak up and tell him different things about you. Really intelligent dude. Weird but smart.,01/21/2008,3,3.0,,4,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11441042,0,,good,5,ADV,"this man is a great teacher, is funny, helpful, clear, and last but not least, he's a hottie.  my only complaint of the class is that i  sometimes wasn't able to concentrate because i was staring at his charming smile.  if only he wasn't married...",01/31/2006,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,10657285,0,,good,3,ADV385,No Comments,10/28/2005,5,5.0,,4,Low,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1149349,0,,good,3,ADV381,His class is so refreshing... tells the best stories. But the class is still hard!,09/24/2003,4,4.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1002782,0,,good,3,ADV381,No Comments,06/06/2003,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1000954,0,,average,3,ADV381,i love this man,06/05/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,894821,0,,good,3,ADV381,No Comments,04/28/2003,4,4.0,,5,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,807273,0,,average,3,ADV381,He is GORGEOUS!!!!!!!!!!!!!,04/08/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
