attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,1,25363214,0,,good,5,MSE182,Best MatSE prof! Everyone loves Braun and you will too!,11/07/2015,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A-,,people,person
Mandatory,good,average,good,0,24088278,0,,good,4,MSE182,"He is super intelligent, always explains stuff clearly. He is always willing to help (I even scheduled a meeting with him to discuss the topic I'm interested in!) But the quizzes are NOT EASY, failing a quiz is EASY. Besides the TAs are tough graders.",12/15/2014,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,22594810,0,,good,5,MSE182,"Great professor, funny dude. Always makes sure you understand the concepts in lecture. Much of the math/calculation stuff you need to teach yourself and TA's grade the quizzes a tad hard but Braun makes the material easy to understand. Honestly with minimal student effort.",12/17/2013,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,22555376,0,,good,5,MSE182,"Professor Braun's class is okay. He does a great job exposing his students to what materials science actually is. He has pretty cool demos and welcomes questions anytime. However, the TAs were a little harsh grading the homework and the quizzes, making the class pretty frustrating sometimes.",12/14/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21280261,0,,good,4,MSE182,"Braun was a great professor and definitely knew the material.  Sometimes, he expected students to have a slightly unrealistic amount of previous knowledge, but was very willing to clarify if questions were asked.  TAs did all grading and were pretty harsh.  Students were expected to read continuously, but often didn't.",01/21/2013,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21260106,0,,good,5,MSE182,"Professor Braun is just so absolutely intelligent. I mean, that's how I felt. I don't see how i wouldn't if he seemed to have an answer to EVERY question thrown at him. The demo's werent amazing,but the atmosphere (aside from being 90 degrees) was still great. He really understood the meaning of the class.",01/15/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20964298,0,,good,5,MSE182,"Best possible professor for an intro level class. Concepts covered in lecture aren't too complicated and, if they are, Braun knows how to explain them in an uber clear way. He's really approachable too, so definitely ask questions if you have any. Only advice is to be careful on the homework, as Braun and his TAs tend to grade it rather harshly.",12/05/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19482610,0,,good,5,MSE182,"P Braun is amazing!  He's one of the best lecturers I've met so far!  He knows his material, and more importantly, he can teach it to students clearly.  He's also a very approachable guy with his office hours. I wasn't very sure about staying with MatSE, but after taking a class with Braun, he's changed my mind.",12/13/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19293439,0,,good,5,MSE182,"This Prof is the BOMB. He knows literally everything. He knows what to lecture on, and more importantly how to lecture. The material isn't 400 level stuff or anything, but its still new concepts for the most part. He makes it very easy to learn, has great examples, and is extremely approachable, be it in class with a question, or his office hours.",11/21/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18108357,0,,good,5,MSE182,Great teacher! Knows the material and is very helpful.,01/09/2011,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17679870,0,,good,5,MSE182,"Braun is an excellent teacher. He KNOWS his material and is extremely enthusiastic about teaching it. He's also very nice and approachable, and he's very good at teaching the subject matter (albeit not very difficult).",10/21/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13967165,0,,good,5,MSE201,A good professor. Knows a lot and always has interesting lectures.,01/08/2008,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13348874,0,,good,5,MSE182,"Excellent professor, very smart and very enthusiastic about the subject. great advisor as well. class is interesting, demos and presentations are great. excellent intro to the subject, although it is better suited for students with no materials background or students uncertain about their major.",07/23/2007,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12444501,0,,good,5,MATSE182,He is an amazing professor! He is so into the material it is ridiculous. If you ask him any question he always knows the answer and he stays current on all his information. He really loves what he does.,11/18/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11385717,0,,good,3,MSE182,No Comments,01/18/2006,2,2.0,,4,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11043574,0,,good,5,MSE182,"Class is pretty useless. Most of the grades came form attendence. Homework was about 15 times harder than anything you do in class. Braun is cool, really smart guy. Some advisors recommend skipping this class and just going to 201, 182 is basically for people who don't know if MSE is for them, waste of a class if you ask me.",12/03/2005,2,2.0,,5,Meh,5,5.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10863998,0,,good,5,MSE182,No Comments,11/09/2005,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2745546,0,,good,4,MSE182,Sweet!,11/15/2004,3,3.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
