attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,17142807,0,,good,4,PHYS213,Excellent lecturer. He's very nerdy and enthusiastic about physics. Can be spotted swing dancing and ice skating outside of class. Homework and labs aren't bad. I had issues with the exams but it wasn't a deal breaker.,05/07/2010,4,4.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16492038,0,,good,5,PHYS214,Kwiat is the MAN! He is amazing. and that's that.,12/08/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,15894299,1,,poor,2,PHYS212,"Everyone likes Kwiat, except for me. This guy is too smart for what he is teaching. He goes way too fast, he flashes his little science experiments, which btw don't do a thing for helping you do well on the difficult exams, and in general goes over your head. Not only that, but he is arrogant when people ask him questions. Get someone more normal.",05/25/2009,4,4.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,good,good,0,15390988,0,,good,4,PHYS214,I had Kwiat for 213 and 214. Although he is a good professor and very enthusiastic some of the material was over my head. I know a lot of people got As on the exams but I averaged about a C-. Homework and labs definitly bump up you grade however.,01/19/2009,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15275626,0,,good,5,PHYS213,He's very enthusiastic about teaching. Exams are fair and lectures are interesting. He also holds review sessions for the midterms and final.,12/24/2008,4,4.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14561256,0,,good,5,PHYS213,Good professor. Attend lectures as the notes need an explanation to make sense. Very smart and a funny guy.,06/06/2008,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14542247,0,,good,5,PHYS213,"I hated the class because I had no interest in it but Professor Kwiat was very good.  He was very clear in lecture, always replied to emails, and was helpful too.  His lectures were fun to go to too.",05/31/2008,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13983111,0,,average,3,PHYS212,"Although he's extremely enthusiastic, I feel his teaching abilities are a little overexaggerated. OK professor, however 212 exams were extremely difficult and hardly resembled the practice exams (even in difficulty).  Cool demos in class, but may talk a little quick and write messily on the board.",01/11/2008,4,4.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11721011,0,,good,5,PHYS213,awesome,04/18/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3808402,0,,good,5,PHYS213214,"He is a good speaker/lecturer, and obviously loves teaching, but (particularly in 213) sometimes seemed to not really know what he was talking about, and often didn't go over the basic points enough, making the advanced stuff harder.  He taught 214 better than 213, in general.",05/07/2005,3,3.0,,3,It's my life,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
