attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,18510033,0,,good,5,MUS273,"Pete is an amazing teacher and leader, he has done an incredible job with the Marching Illini and inspires students to forever carry on the great traditions of Illinois. Down with Rumbelow!",05/02/2011,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17900831,0,,good,5,MUS273,Easily the best musician and teacher I've ever had the privilege of working with.,12/10/2010,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17708547,0,,good,5,MUS273,Pete is a wonderful director and professor.  He is a must for all classes including Marching Illini.,10/29/2010,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17538445,0,,good,5,MUS273,"**INCREDIBLE** professor, conductor, and person. Truly one of the greatest people and directors you will come across in your life. His passion for his bands and university is matched only by his infinite musical knowledge and teaching ability. Dr. Griffin is the last truly great music educator left at UI - take all of his classes while you can!",08/23/2010,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15399870,0,,good,5,MUS286,Awesome professor.  Phenomenally organized and brilliant.,01/21/2009,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14775060,0,,good,5,MUS273,You like that&#63;&#63;&#63; Well here's some more!!!! How can you not like Pete&#63; Whoever wrote the comment earlier about Pete not doing his job CLEARLY lied and has never had a class with him.,08/26/2008,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14396565,0,,good,5,MUS273,"awesome, i love MI",05/03/2008,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14104528,0,,good,5,MUS270,"AWESOME!!!  Story time, aww...",02/19/2008,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,13974480,0,,good,5,MUS273,"I love Pete! He is FANTASTIC! I have never had a better professor. He loves his job, his students, and he has the best stories ever. :))",01/09/2008,4,4.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12308004,0,,good,5,MUS270,"Very good director.  Knows his stuff, and really gets the most out of the pieces.  Very approachable as well and has good stories.",10/23/2006,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12253250,0,,good,5,MUSIC286,"Pete has been one of the biggest influences on my life and I'm so glad that I had the opportunity to study with him when I did.  He's an absolutely stunning conductor on the podium, very sharp and witty, humorous, driven, and yet still one the best family men I know.  His character takes him to where regular band directors cannot even go.",09/27/2006,5,5.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11713605,0,,good,5,MUSIC270499,Phenomenal teacher.  Very challenging.  Knows his stuff better than anyone I've met and applies it in many different ways.  I'm very excited for him to conduct the Marching Illini in the fall!,04/16/2006,5,5.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3974251,0,,good,5,VARIED,"Excellent teacher, I have learned a lot about teaching from him in his conducting and the way that he directs a band.",06/08/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2292810,0,,good,5,VARIED,A great influence on my life.  A wonderful teacher with a love for his students.  Thanks Pete!  (And I rated you HOT!),07/04/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2088622,0,,good,5,MUSIC282,"BEST BAND DIRECTOR EVER!!!!!!!!!! hilarious, excellent conductor, and makes music the oasis of your day.",05/04/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2038355,0,,good,5,MUS282,Pete tells the best stories ever!  He makes band fun!,04/26/2004,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1192595,0,,good,5,SYMPHII,Choose the best band repertoire and is very helpful with criticism.  My most memorable band experiences!,10/15/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1113603,0,,good,5,SYMPHII,"Pete chooses the best band literature, and is a fabulous conductor!",09/02/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,904205,0,,good,5,MUSIC282,No Comments,04/29/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,625357,1,,average,3,MUS282,Obviously none of you have ever had a REALLY good band director!,02/24/2003,1,1.0,,2,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,person,people
