attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,average,0,25367122,0,,good,4,ADV390,"2 midterms and 1 cumulative final, easy to fail if your not paying attention in class and don't do the readings. Nothing is posted online, he expects you to take notes. Gives EC in lectures and is particular about group projects (3 proj total) Drops your lowest test/project grade. overall enjoy the lectures and gives a lot of good examples of ads.",11/08/2015,3,3.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,1,22800019,0,,good,4,ADV390,"As an ADV Major following the more creative side, this class was perfect for me. The lectures were intuitive and interesting. Peter is thoughtful with his assignments and creates a well structured class. You immediately can tell he is a seasoned and well versed Advertiser that genuinely wants to share his knowledge with his students.",01/28/2014,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,A-,,people,person
N/A,average,good,average,1,22629484,0,,good,3,ADV390,Peter is a very harsh grader. He tended to talk about himself a lot during lecture. He often let us out early which was nice. We used the text books a lot. Examples from the text made up half of the questions from the exam. Beware of the two group assignments. You must attend lecture to get notes for the test.,12/20/2013,4,4.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,good,1,22582847,0,,good,4,ADV390,"Really cool guy. Class was hard, but I learned a lot. He grades harshly on group projects, and you should stay on top of readings for tests. Be sure you know you get a good group for your assignments that is as into it as you are... I think that's what killed my assignment grades.",12/17/2013,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
Not Mandatory,good,good,good,0,22566341,0,,good,5,ADV390,"Fun to listen to, very cool.",12/15/2013,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,A,,people,people
Mandatory,good,good,good,1,22296492,0,,good,4,ADV450,"Peter is a GREAT resource! He knows everything about the industry. But he grades HARSH, to the extent where the deductions seem petty. The course is set up well. I ended with a B+ higher than the class average, due to my success on the exams. I studied an entire week and passed with A's. But I struggled on assignments. Beware of the assignments!",11/11/2013,5,5.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,B+,,people,person
N/A,good,average,good,0,21596414,0,,good,4,ADV450,Peter will tell you almost everything about this industry. He's really passionate about what he's teaching and he response your email extremely fast. He is a tough grader but you get the grades you deserve. Really love him.,04/24/2013,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21124319,0,,good,5,ADV450,"Sheldon is easily the best professor in the Advertising department. He grades like he tells you he will grade, and gives you adequate preparation for the exams. For the group project, make sure you know 2 people, because it's worth 200 out of 500 points and you need a good group. 450 is an awesome course, and you'll learn a lot.",12/19/2012,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,20260608,0,,good,4,ADV450,He is absolutely an excellent lecturer but he is also a very mean grader at the same time.,05/11/2012,4,4.0,,3,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19907321,0,,good,5,ADV450,"If you're an ADV major and don't take this class you're missing out on SO MUCH valuable information. It's my favorite class I've ever taken, However definitely not an easy A or even an easy B. I studied 12+ hours for the first exam and got a C. Make sure you do all the readings, half of the test is from them.",03/13/2012,4,4.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19482278,0,,good,4,ADV450,"If you're looking to work at an adv agency, Peter is the best professor you will find.  He will either tell you or assign readings that tell you everything you'd need to know about agency culture.  His class is fun, interesting, and prepares you to create work you can put in your portfolio to get a job. I'd take this class over if it were allowed",12/13/2011,4,4.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19406037,0,,good,4,ADV450,"This class is one of the best I've taken. I don't look at ads the same way anymore. I feel like he prepared us very well for internships, other classes, and jobs in the future. He knows so much about the industry and is very passionate about it! Lectures aren't mandatory, but I always go because he's so interesting!",12/07/2011,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18413646,0,,good,4,ADV450,"Sheldon is great. He loves what he teaches and he (seems to) love to teach. He always has a smile on his face; excellent professor. The class is not easy though. You will have to think and really apply yourself, but the class is fun.",04/14/2011,4,4.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17930396,0,,good,4,ADV450,"He'd make a good mentor, but not a good professor. His tests were beyond picky for an easy material and his project grading was extremely unfair. Directions for the projects were unclear, because points were taken off even if we followed everything. His classes are interesting but it's not worth the GPA drop.",12/13/2010,4,4.0,,3,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16453761,0,,good,5,ADV452,"Peter is my favorite teacher at the university! I recommend taking every class that he teaches. He is so nice and actually teaches us practical and useful things. His creative classes are so much fun, a lot of work, but fun work.  He makes the classroom a very relaxed atmosphere, its really great.",12/02/2009,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15750459,0,,good,5,ADV450,"Best professor on campus, hands down. If you're an advertising major, and don't take this class, you're dumb.  he's the first professor who actually lays out the structure of an agency.  GREAT PREP for the REAL WORLD!! loved his class!",05/02/2009,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14375039,0,,good,4,ADV450,"Great teacher, knows what he is talking about. Fun class, great lecturer. Attendance is taken 6 random times, but are easy points. Lab is important because its 40% of your grade, but it is easy so go and get the points. You need to do the readings to know them for the tests but they are interesting (or you can try to get by).",04/30/2008,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13818848,0,,average,4,ADV450,I absolutely love this class. Peter is by far the most informative yet entertaining professor I've ever had. He has plenty of real-world experience in addition to book smarts. The professor really made the class... I'd recommend ADV 450 with Peter to everyone.,12/13/2007,5,5.0,,1,It's my life,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12162283,0,,good,5,ADV450,No Comments,08/15/2006,4,4.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,11460433,0,,good,5,ADV450452400,"If you have the privilege of taking his advanced creative courses, prepare to be challenged.452 and its sequel,400,were probably the most time-consuming courses of my college career. No textbooks. No lectures. Just creative.Not just coloring in the lines. He has a genuine vested interested in great work and preparing his students for the real world",02/07/2006,5,5.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
