attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,2917362,1,,good,4,ACCY,He was alright I guess for a business class.,12/06/2004,2,2.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,2710643,0,,poor,1,ACC200,"Explanations are incoherent, his demeanor is degrading towards students, and he'd be lost without the textbook.  He may understand accounting but he's utterly incapable of teaching it.  Avoid if you can, but if it's required for you like it was for me, I'm truly sorry.  You're in for a rough ride.",11/11/2004,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,2548522,0,,poor,1,ACCY200,"Everytime he'd tried to explain something, it only made it worse.  In fact, he'd review for the exam by telling you what was NOT on the exam.  I have never had a teacher this bad in my whole educational career.",10/14/2004,3,3.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2489299,0,,poor,1,ACCY200,No Comments,09/22/2004,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,1166576,0,,poor,1,ACCY200,"This man definitley needs to learn how to teach without using the aid of just the textbook.  If he would realize that he is not helping too many students, he could see his job is meaningless.",10/03/2003,5,5.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,1082074,0,,poor,1,BA391,Only professor I've ever wanted to see get punched.,08/08/2003,3,3.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,941740,0,,poor,1,BA391,No Comments,05/08/2003,2,2.0,,1,N/A,1,1.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,933452,0,,poor,1,BA391,"This guy is seriously the worst professor (if you can even call him that) I've ever had.  Please do yourself a favor and avoid this guy.  Everyone I know that has had him, can't stand the guy.  The whole class is pure BS.",05/06/2003,2,2.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,832980,1,,poor,1,BA391,You gotta jot down each word he says.  An  a  cant be substituted for a  the  in the exams.,04/14/2003,3,3.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,poor,average,poor,0,282750,0,,poor,1,BA391,Worst ever Prof.  Yells/cries/unclear... AVOID IF YOU CAN!,10/09/2002,2,2.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
