attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,19547934,0,,good,5,ECON103,"Great professor, nice guy",12/17/2011,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17133596,0,,good,5,ECON103,"Recommend this class for anyone looking for an easy A.  It's a discovery class so low probability that you can pick this class if you're not an honors student or athlete.  Pretty simple concepts.  Also, very easy to get in contact if necessary to clarify any concepts.",05/06/2010,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16774932,0,,average,3,ECON303,He is a helpful guy who tends to go through some macro current news during the lecture. These extra information helps u understand macroeconomics better but it is kind of irrelevant with the exams. He is boring sometimes and adopts some in-depth examples which seem to be confusing. Consistency and attendance in lectures are encouraged.,02/01/2010,4,4.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15041802,0,,average,2,ECON103,"REALLY nice guy, and always there for help if you need it. i had no background in econ, and so it took me awhile to figure everything out. he goes fast and sort of assumes you understand or have more knowledge than you do. not too tough if you study and do the work, but it took me awhile to catch on to how he was teaching.",11/21/2008,3,3.0,,4,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,14365160,0,,average,3,ECON103,"Take this class for a Discovery course. His lectures can be boring at times, but he is an easy grader. There is no homework, 10 quizzes, and two exams. HIGHLY recommended.",04/29/2008,1,1.0,,3,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12962518,0,,good,5,ECON103,he is very helpful. best macro class on campus.,04/02/2007,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12751229,0,,good,3,ECON103,"Really nice guy. Tests get kind of confusing at times, but spends a lot of time on material and tries to make sure everyone understands before moving on. Tends to be a little boring, but Econ in itself isn't exactly an exciting subject.",01/09/2007,2,2.0,,4,Sorta interested,3.5,3.5,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11525497,0,,average,3,ECON103,"If you enjoy economics and have a basic knowledge of it, take this class with Ralph.  If not, find someone else because this guy doesn't always use basic examples to explain new concepts.  Also, there are 2 tests and a paper so you can't bring your grade up with homework.",02/28/2006,4,4.0,,2,Low,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,3693683,0,,good,3,ECON103,"Borrinnngggg but hes a nice guy.  If you like economic stuff you'll like the class and think its easy, if not you probably won't be such a fan.  Go to office hours.",04/23/2005,3,3.0,,5,Meh,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3379063,0,,good,5,ECON103,He's an awesome professor.,02/21/2005,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2522557,0,,average,3,ECON303,"Quite boring...no outline for the course, tests, or ANYTHING. I dropped the class because it was so difficult for me and I don't believe he was the teacher to help me understand",10/06/2004,4,4.0,,2,Meh,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2266902,0,,good,4,ECON301,"He is a bit on the boring side, but he does his best to make students understand the material.  He's not entertaining and the classtime went SLOW.  Overall, he was a good teacher.",06/23/2004,4,4.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2161349,0,,poor,2,ECON103,Very Very Very BORING,05/18/2004,3,3.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1255603,0,,good,4,ECON103,not a bad prof...his lectures provided a good nap time for me...although he said he would sell my textbook for me.. and instead he just kept my 100 dollar book,11/03/2003,2,2.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1166450,0,,good,4,ECON103,"ok, a nice guy and a good teacher...the kind of class you never forget...however, he shamelessly asked for us to vote for him in the &quot;list of best professors on campus&quot;",10/02/2003,2,2.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,642650,0,,average,2,ECON103,Course outline had NOTHING to do with the actual clas material.  Lectures put me to sleep.,02/26/2003,3,3.0,,3,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,625171,0,,good,5,ECON301,best teacher i've had so far.  very outgoing and helpful,02/24/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,487428,0,,average,3,103,No Comments,01/12/2003,4,4.0,,2,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,83229,0,,good,3,ECON103,No Comments,01/20/2002,4,4.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,78083,0,,good,5,ECON103,No Comments,01/07/2002,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
