attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,poor,good,average,0,23799928,0,,poor,1,300,"Prof. Curry is the worst, as a teacher and as a person. The class itself it pretty easy--just go to class and do the stupid assignments and you'll be fine. But she is so unpleasant that it makes the course hard to deal with. She's also a nightmare in terms of clarity--always make sure to ask her to clarify due dates and assignment instructions. ",11/12/2014,4,4.0,,3,Meh,2,2.0,1,No,N/A,1112,Yes,,A-,,people,people
N/A,average,good,average,0,23089792,0,,average,3,MACS104,"I do not recommend taking this class. She gives unreasonable amount of work for a 3 credit class. She also does not accept anyone's opinions but her own. We have up to 75 pages of reading in textbook a week, quizzes, film screenings and essays. The class is 3 credit hours but requires over 12 hours altogether to get a good grade.",04/24/2014,4,4.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,23060354,0,,good,3,ENGL300,"she means well. if you just turn in the assignments on time and implant her suggestions into your work, then you'll be fine. if you're sensitive to criticism then don't take this class. possesses a large knowledge of film as an art that is rather refreshing.",04/18/2014,3,3.0,,5,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19572447,0,,good,4,ENGL273,I took ENGL 273 &quot;American Film Since 1950&quot; with Prof Curry in the spring of 2010. She was enthusiastic about film and gave engaging and thoughtful lectures. She has a high standard for written work but provides eager help with student's writing. Taking a course with Curry is an opportunity to improve one's writing gain enthusiasm for film,12/19/2011,2,2.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18833679,0,,good,4,ENG300,"I had Professor Curry for English 300 in the spring of 2008 and absolutely loved her. She made class fun and interesting --even taught us how to write a screen play. She does challenge students, because students at U of I should be challenged. Don't expect her class to be a blow off, but expect to learn something.",07/19/2011,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16877993,0,,poor,1,ENGL373,"Ramona Curry was literally the bane of my existence. She was an utterly horrible professor that was rude, wordy and unclear. If you take her class, you MUST write the papers how Ramona Curry would write them, not how you would write them - otherwise you'll do poorly. She spent hours teaching us grammar - in a 300 level class on Disney. STAY FAR AWA",03/16/2010,4,4.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16310414,0,,poor,1,ENG375,She would email us the night before class with hundreds of pages of extra reading. In office hours she simply alternated between patronizing and insulting. She was so self interested that she couldn't recognize any of her students' writing or ideas as good-- and we were an honors class.  The class dropped from 30 to 15 within weeks.,11/04/2009,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,14725307,0,,poor,1,ENG199,She was an unhelpful teacher who just rambled to hear her own voice. It was a waste of time and I dreaded coming to class.,08/07/2008,2,2.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14537107,0,,poor,1,ENGL273,"What can I say about Prof. Curry.  She obviously loves what she teaches, so it's unfortunate that she is a completely horrendous teacher.  She is completely unclear in her assignments, and for a cross-listed ENGLISH class her writing style is confusing and far too wordy.  Also, she does not seem to understand that the syllabus is a CONTRACT.",05/29/2008,4,4.0,,2,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13997100,0,,good,3,ENGL199,"If you want to experience the heaviness of grad work during Freshman year, take this class.  This Disney class, which I expected to be FUN and INTERESTING, was neither.  It practically ruined my first semester because of the workload.  Don't get sucked in by the Disney tagline.  I was and I regret it.  AVOID AT ALL COSTS.",01/14/2008,5,5.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
