attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,18845676,0,,good,5,SOC273,"He is funny and seems to actually care about what he is teaching. BUT the T.A. runs the class in reality, who was unorganized and slow in getting grades returned. Overall, it's an easy class.",07/24/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18183532,0,,good,4,SOC325,Very good teacher and he is very smart about what he is teaching. He clearly is very involved and interested in his work. The only downfall is his propensity to read off slides and he moves very quickly.,01/26/2011,1,1.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,17110572,0,,good,4,SOC273,Very funny teacher and keeps you interested. Exams are not bad if you ask questions and especially if you do the readings. Very fun guy.,05/03/2010,2,2.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16734574,0,,good,4,SOC273,I don't know what the fuss is about. He teaches the stuff as he should and helps you outside the class if you seek him out. If you don't do the readings or don't pay attention in class then obviously you are not gonna do well. I got an A without a lot of effort and am pleased I took this class.,01/16/2010,3,3.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16600644,1,,poor,1,SOC325,"gotta be honest, I think he knows his stuff but he is very unorganized. I mean, we didn't get the midterms back till the day of the final. I feel like the class sets you up to fail. I would not take this class, even if it fits into your schedule or whatever. Pick a different class for the sake of your grade.",12/19/2009,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,poor,0,16386476,0,,poor,2,SOC273,he is ok. his lectures are boring and he reads off of the slide. the professor is clearly smart but be does not care about the class. his cell phone goes off through out class and his TA does all of the work for the class.,11/17/2009,3,3.0,,1,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15937452,0,,good,4,SOC273,"I took his class and loved it. So did my friends. This guy is approachable, sort of fun and his class is not hard at all!",06/06/2009,1,1.0,,4,Sorta interested,4,4.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15543234,0,,poor,2,SOC273,He is the WORST professor I have ever had. He lowered our midterm grades and then denied it. He also made false statements about what was going to be on the midterm. Do NOT take any classes with him they are confusing and a giant waste of time!!!,03/18/2009,4,4.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,15179319,0,,poor,1,SOC325,"Absolutely horrible. Late to class every period and doesn't even apologize. Lectures were worthless, uses other people's material and tries to act like it's his. Attempts to show movies in class and doesn't bring speakers. Says he will give out final exam study guides and doesn't, then tells us to just study everything. WORST PROFESSOR I'VE HAD.",12/12/2008,3,3.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14450893,0,,average,3,SOC273,"this class was an absolute mess! he shows up late, starts reviewing for exams at the last 20 minutes of class, goes on and on about nothing, his t.a. didn't even have office hours and responded emails with one word answers.  the 12-15 page paper was a mess as well, my t.a. didn't even understand when i asked for it back. A MESS! stay away from R.M.",05/12/2008,4,4.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,14424032,0,,poor,2,SOC273,"His lectures are useless and he uses powerpoint that he didn't even make. Late to classes and tests have unexpected stuff on them. He gives stuff straight our from the textbook and there was a 10 page paper to do, which was unbareable. I wouldn't recommend it.",05/07/2008,2,2.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12856847,0,,poor,1,AFRO100,"Never had a professor be absent before without telling the class.  If he could at least tell us when he wasn't going to be there, we wouldn't waste our time.  And then later on he expects us to know the stuff he was supposed to lecture on but didn't!  At least the tests are straight out of the textbook, so if you follow the text you're OK.",02/10/2007,4,4.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,12600008,0,,poor,2,AFRO100,"Did this guy even go to college&#63;  He is straight up clueless, assigns massive amounts of readings that nobody does, and then tries to have a discussion with 150 people.  Does not use lecture notes, constantly late or absent.  He knows his stuff but is a horrible teacher, do not take this class.",12/14/2006,4,4.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
