attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,1,24338159,0,,good,5,ECON450,"Prof. Akresh is a great and knowledgeable professor. I recommend this class for those of you interested in development area. The test was a bit hard, but it was challenging to test your understanding.  I like this class!",01/27/2015,4,4.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,A,,people,person
N/A,good,average,average,0,23947611,0,,good,4,450,"Akresh loves this  course and it should be taken by anyone interested in dev. econ. He doesn't post slides, so go to class. Grade is 95% tests, which are decently hard but generously curved. He's not always the most engaging or clear with his material, but he is very knowledgeable and can help a lot in office hours.",12/04/2014,3,3.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,20416175,0,,good,5,ECON450,"HIGHLY RECOMMENDED! The complexity of material is at par with a 100 level social science course. The workload is even LESS. You do not even need to go to class! Just take notes from a friend who does. The exams basically test just what he writes on board, which is straightforward stuff. GREAT Class!!",06/15/2012,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,17702047,0,,good,5,ECON450,"Good professor and interesting subject. You can tell he actually enjoys the topic and he does a good job of explaining it if you actually bother going to class. Very helpful if you need it, but if you go to class you probably won't.",10/28/2010,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,17123287,0,,good,5,ECON450,"I agree, the class was going well... until the final. All I have to say is ... mobility matrix. Memorize that dang mobility matrix.",05/04/2010,2,2.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15231798,0,,good,4,ECON450,"The class was all well and fine until he made the final impossible.  Its basically all about African economics, really easy to study if you go o the lectures. One geography quiz, two midterms, a group project, and a final. Barely any math involved.",12/18/2008,3,3.0,,4,Meh,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13966333,1,,good,5,ECON450,"Good class, go and you will do fine.",01/08/2008,2,2.0,,3,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,13920769,0,,good,5,ECON450,"Go to class, copy the notes as he writes them on the board, study them, and you will get a pretty good grade.",12/29/2007,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,11210648,0,,good,4,ECON450,He was difficult but I didn't go that often and I think that I will get a b,12/19/2005,3,3.0,,3,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3668407,0,,good,3,ECON450,"I liked this class...exams were tough, but he graded fairly.",04/20/2005,2,2.0,,4,Really into it,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3058553,0,,poor,2,ECON450,Has you fooled the entire semester. He screwed our class horribly on the final.,12/17/2004,3,3.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
