attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,20779647,0,,good,4,ECON481,"481 is really not that bad of a class, he rambles a bit about cases, but his tests are fairly easy and make sure to go over the practice tests he gives out. Outlines are very informative, so going to class isn't necessary, but still helpful when going over graphs",11/05/2012,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18984457,0,,good,4,ECON481,"Great professor. His class is very easy and the exam is open book. However, unless you study and attend the classes you wont find the exam easy. Attendance is 10% but you get it if you bring articles to class. He may seem unorganized, and doesnt follow the textbook exactly so its hard to see which parts is he covering. No maths involved whatsoever",09/07/2011,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18000024,1,,average,3,ECON482,"I thought he was a wonderful professor who really knows his field of health economics. Going to class really helps because the notes he sends you are not generally helpful but the exams, which are curved, did not have really anything overly unexpected. Plus he left it all open notes/book.",12/19/2010,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,1,17879911,1,,good,4,ECON482,"He is a solid professor and a nice guy. Happy help you if you ask and fair in grading. Attendance is 10% of grade, but you just bring in one current issue article and bam, there's your 10% (don't wait until last day). His lecture style is good, not the greatest speaker, but he speaks English.(Open book/notes/PC Exam/Final)",12/07/2010,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,person
N/A,good,good,average,0,17123339,0,,good,4,ECON482,"He is a really nice guy. He does not have an accent, actually curves, and does not make his students do any mundane group projects that I usually end up doing myself anyways. True, Health  Econ material can be daunting at first but the final and exams are not difficult if you follow the practice ones he gives. Good Professor!",05/04/2010,5,5.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,16544928,1,,poor,2,ECON302,"This class is horrible. He's incapable of giving a good lecture. His lecture notes consist of blank powerpoint slides with stuff he scribbles on them in class. Impossible to decipher later. No practice exams, no review sheet. Exams are ridiculously hard, big curve though. Don't take this professor!",12/13/2009,5,5.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,15231938,0,,good,4,ECON482,"Health Economics, he has a lot of experience in the field and a lot of valuable insight.  Tends to ramble and clear his throat a lot, but you don't need to be in class to do well on the exams if you're fine with reading the book.  Very generous with curves.",12/18/2008,2,2.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12660954,0,,good,4,ECON302,"I have to disagree with the other posts, hes decent guy and the class isnt difficult.  GO TO CLASS and you'll be fine.  Most of his test questions come from practice exams and the final was mostly all recycled questions.  His lectures are important and the book really isnt needed.",12/21/2006,3,3.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,11293424,0,,poor,1,ECON302,"if you know calc, you'll be alright. but if not, your screwed. is generous with his final grades though",01/03/2006,2,2.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3529152,0,,poor,2,ECON302,"Wow, this was a horrendous class! The exams are hard and the teaching is horrible. He often goes off in tangents and doesn't come back to the topic for about half an hour. He's painful!",03/30/2005,4,4.0,,2,Meh,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3058224,0,,poor,1,ECON302,Extremely poor lecturer...you will not learn in class unless you have an amazing ability to pay attention to a drone. You will get screwed on the final.,12/17/2004,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2622446,0,,poor,2,ECON302,Arnould only holds one office hour per week where he really doesn't want to help when you get there.The grades are based on two midterms and a comprehensive final.There are no TAs and he doesn't give any extra help.If you need help you must pay $20/hr for a tutor.Know calc.he doesnt review it at all,10/31/2004,5,5.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
