attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,poor,0,16739654,0,,poor,2,TAM210,"Hardly approachable.  I went in to get an exam and his first words were &quot;You're lucky I'm in a better mood today than I was yesterday,&quot; went on a rant about students cheating, and then called the head TA &quot;stupid&quot; and &quot;an idiot&quot; for her telling us we could come in and get our exams from him. Totally inappropriate! And I'm hardly getting started...",01/20/2010,3,3.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,16581870,0,,poor,2,TAM211,"Keane is not half bad at teaching but can be an arrogant aussie at times..  He insults students and thinks they're all dumb americans.  Don't go to his lectures or office hours but utilize your TA Office hrs for homework.. Also be weary of his final exam, its impossible",12/17/2009,3,3.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,16572800,0,,average,4,TAM210,"Keane is funny in lecture and does a decent job teaching. The hour exams and homework are all fairly easy, however the final was extremely hard and not curved. Keane is also extremely hostile towards students and not approachable outside of class.",12/16/2009,4,4.0,,1,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16562611,0,,average,4,TAM210,"Classes were easy in difficulty and the exams were easy. The final however was unfairly hard and just poor (avg of 70 with a SD of 20 and no curve). The man is crabby at best despite his good teaching skills. Take a course from him if you can learn on your own. Buy his notes too, they are good.",12/15/2009,2,2.0,,2,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16342444,0,,good,5,TAM210,"Great professor with crystal clear lectures. Everything he administers is fair, homework, exams, etc. If you read the book or go to lecture their is no reason why you can't get an A. Highly recommended professor to take.",11/10/2009,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,16177974,0,,average,4,TAM210,"Decent lecturer, did a lot of examples on the board which were pretty helpful. Notes packet is full of info, which saves you if you miss the early (8am) lecture. Exams are just 2-3 problems so you need to be careful not to make a mistake. Unfortunately, he's horrible at getting back to emails and communicating about conflicts, etc.",09/08/2009,3,3.0,,2,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15877698,0,,good,5,TAM211,"Very thorough explanations. I can see why some may have been taken aback by his comments in class, but lighten up. Good teacher, though the tests can really screw you over if you make a big mistake.",05/21/2009,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15832307,0,,good,3,TAM211,"All his notes are legibly hand-written. Doesn't matter whether you go to class or not, but if you choose not to you'll miss a lot of things related to exams. Exams are not hard generally but getting a single question wrong can have deadly consequences.",05/13/2009,3,3.0,,4,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15369827,0,,poor,3,TAM251,"He is a decent professor who explains things well, but a horrible human being. Has no regards for students' feelings. Is rude if you go to office hours and his explanation doesn't work. He also makes fun of individual students (calling a bunch of girls in the class not so very decent things) which is funny in the class but horribly wrong.",01/13/2009,2,2.0,,1,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15275716,0,,good,5,TAM251,"Very good lecturer and funny at times. He holds his own review sessions for the exams. However, exams tend to be long and poorly worded, except for the final. But the content is pretty straightforward.",12/24/2008,4,4.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14561264,0,,good,4,TAM206,"Very thorough, although he often repeats himself. Can put you to sleep, but if you pay attention you will learn a lot. Always able to answer students' questions.",06/06/2008,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
