attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,1,26185750,0,,good,5,MATH417,"She is really one of the most intelligent professors I've ever met. Her lecture is anything but easy. But I can learn so so so much in her class. I love her so much! So, if you are confident and you want to learn more about math, come to her class; If grade is more important for you, you may choose other lecturer.",03/26/2016,2,2.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,person
N/A,poor,good,poor,0,22927352,0,,poor,1,MATH416,This professor is really bad at giving lectures. Don't choose her class if you have another choice! Maybe it's better for her to go back to her research.,03/19/2014,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,2,22030710,2,,good,3,MATH415,"dont know why shes receiving such harsh feedback. she was a decent professor. easy class. exams were extremely easy, if you study you'll get an A. i received a b+ in the class putting in very minimal effort. she's really not that bad.",08/06/2013,2,2.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,21662642,0,,poor,1,MATH415,"3-4 assignments per week, usually on topics she has not covered in class yet.  She is terrible at answering questions and explaining difficult topics.  Avoid her if you can.",05/02/2013,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,0,21590381,0,,poor,1,MATH415,she is extremely smart but an awful teacher. doesn't bother explaining anything. avoid.,04/23/2013,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,1,21526026,2,,poor,1,MATH417,I had to take this woman because she was the only professor for this class. IF you have a choice DON'T take her. Never had a worse experience and I too read these comments prior to taking the class thinking it wouldn't be all that bad. I went out of my way to inform you to not take this professor. So PLEASE don't.,04/12/2013,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,1,21334079,2,,poor,1,4151,"It's like playing with a Phantom Assassin who goes midas rush every game. You support him all day, but he just gets ganked as soon as you roam to help the team. So yeah, this teacher is ridiculously hard and bad.",02/11/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,1,20054262,1,,poor,1,MATH415,This lady is terrible. Doing a 30+ problem homework assignment right now that is do the same day as our test this week and part of this test is over this homework.,04/15/2012,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,average,good,poor,0,18845533,1,,poor,2,MATH416,"Professor really is horrible. Never seemed interested. Knows what she?s doing but doesn?t know how to teach it, which doesn?t help me obviously. Started having homework due every class period and wouldn?t post it in a timely manner. Don?t take her. Should?ve dropped the class when I had the chance.",07/24/2011,4,4.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,17158293,1,,poor,1,MATH415,One of the worst experiences of my college career. Did not teach a thing in class and still took attendance. Has a homework due EVERY class and homeworks take a very long time. Exams are impossible. Never available for help. Easily one of the worst teachers I have ever had. Do NOT take a class with her.,05/09/2010,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
