attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,24830346,0,,average,3,SAME208,No tests. It's 6 assignments that are 500 word essays pretty much super easy. Do not worry about this class!,05/14/2015,2,2.0,,3,Meh,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,poor,average,0,23732555,1,,average,2,CWL207,"She's not a great lecturer; she sometimes doesn't express herself well and there are a lot of pauses while she's talking. Otherwise, the class is quite fun and super easy. ResponsesExams aren't hard and there's a good amount of extra credit to make up for lost points. Going to class is a good idea even though lectures are boring. ",11/03/2014,1,1.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,A,,person,people
Not Mandatory,good,poor,average,4,22689502,0,,good,4,MACS207,"Super easy class, especially if you're familiar with Bollywood. On the downside - be prepared to read some real ridiculous feminist drivel, because in the humanities, opinions = facts. Who needs evidence and proof when you have *feminist theory*.",01/03/2014,1,1.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,A+,,people,people
N/A,average,average,average,0,22565271,0,,good,2,CWL207,"While the class was interesting, she expects you to be familiar with Indian directors, film stars, and Indian history. The tests reflect 0% of the class content but weekly responses are easy. She's a nice person but the class was boring if yo u aren't familiar with the topics she discusses which often don't relate to the films at all. 4/10 tops",12/15/2013,2,2.0,,5,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
Mandatory,good,poor,good,0,22490296,0,,good,4,CWL207,"She was really nice and new the material really well. The in class discussions could get heated at times so that made it a lot more interesting. There was hardly any homework and the weekly in class assignments were a breeze. Despite that, I did feel like I learned a lot. Good course, good instructor.",12/10/2013,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,17813029,0,,poor,2,CWL189,"The most boring class I've ever participated in. Although lectures and discussions are mandatory, I have been to less than half of the classes because I'd rather risk losing points than sitting through that class. Discussion TA is horrible, has no idea what he's talking about. Avoid, there are much better classes that fulfill gen eds.",11/23/2010,3,3.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,17754976,0,,poor,2,CWL189,This is undeniably the stupidest class I've taken so far. The worst part is the 8-10 page term paper on that stuff that we didn't learn/she didn't teach us.,11/11/2010,3,3.0,,2,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,17664059,0,,poor,1,CWL189,"I hate this class. She is absolutely useless when it comes to lecturing, and extremely boring on top of that. She lectures about random things that have nothing to do with the stories we read, and then quizzes us on things that are neither in the stories, nor in her lectures. She's also a horrible procrastinator.",10/17/2010,3,3.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,17481948,0,,average,3,RLST104,"Buy the lecture notes and the book and don't bother going to class. Rini spends the whole time reading straight from her notes. The only thing that you might need to go to class for are for the pictures that are going to be on the tests. Honestly, you'll be fine as long as you read the book. The tests are very straight forward.",08/05/2010,1,1.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16644557,0,,good,5,RLST104,Memorize your workbook and do the readings. Just attend class to take pictures of the slides or get a friend to do it. Very attainable A and no +-.,12/27/2009,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,16620895,0,,poor,1,RLST104,"Easy A.  Don't have to go to her lectures, just read the study guide and textbook.  If you decide to go to her lectures, then you don't have to read the textbook, just copy down the lecture notes because you won't be able to understand her.  It's really an easy class.                                                      by Namen, &quot;the ramen&quot;, Mehta",12/22/2009,2,2.0,,3,Meh,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15557620,0,,good,5,CWL190,"Super nice person, but not a great lecturer. Really smart and obviously knows her stuff, but goodness she is so boring. You don't really need to go to class. Interesting material and an easy A, but not great for lectures.",03/23/2009,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15198385,0,,poor,2,CWL189,DO NOT TAKE THIS CLASS!!!!!! SO So boring....you will fall asleep. Not necessarily hard....but so boring.,12/15/2008,3,3.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15198360,0,,poor,2,CWL189,"The most boring class I've had this semester. Stay AWAY!!!!!!! Not necessarily hard, but you will fall asleep in every class.",12/15/2008,3,3.0,,2,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15101089,0,,average,2,CWL189,"Easy class.  REALLY boring lectures, but I never go and I do fine on the tests.  Also impossible to hear in lecture.  Tests are easy as long as you read.  Luckily, the reading is pretty interesting.  Not a bad choice.",12/04/2008,2,2.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
