attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,22793293,0,,good,5,301,Easily my favorite professor I've had. He's very respectful towards his students and does a good job of pushing your writing and understanding of the course material. I never found him condescending. Certainly he is a well educated and highly intelligent guy but he doesn't let that control the discussions. A really great professor!,01/26/2014,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,A+,,people,people
N/A,good,average,good,0,21669629,0,,good,4,ENGL452,"While Parker has a tendency to derail himself in class, he also lets the class dictate its own discussion. He is readily available after class and gives fantastic, thorough feedback on all essays. There were three for this class, and we read 11 books, all of which were interesting and a pleasure to read.",05/03/2013,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19194198,0,,good,4,ENGL301,"Though he tries to be academic, by trying to relate the material to student, it becomes slightly condescending and far from serious academics. Tough at grading but drops the lowest 4 grades so it works out. Not the worst, not the best",11/09/2011,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,18264045,0,,good,5,ENGL301,"Professor Parker's class intimidated me in the beginning because there is so much to learn in his little book, which is however well written and friendly. He is a very smart man and I never thought he was pompous for making his intelligence obvious--in fact it pushed me to work really hard on papers and my lowest grade on anything was a B+.",03/10/2011,4,4.0,,5,Low,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17744254,0,,good,5,ENGL300,"I took both 300 and 301 with him. I LOVE professor Parker. I had a great experience in both of his classes and my writing has improved exponentially since taking his course. He cares about literature and genuinly wants his students to do well. Great, great professor.",11/08/2010,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,1,17622601,0,,poor,2,ENGL300,"I took his class in undergrad and now am a PhD in another uni. I thought itd be a good idea to take a class whose teacher instructs from his own book. Meh. Now, I use it as ref material (its an easy read), but not enough to keep me on par with my peers.  There is an ego, but its not intentional. Serious academics, avoid this class.",09/29/2010,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,16455780,0,,poor,3,ENG451,"Pretentious, condescending, rude, and generally quite ignorant for someone with a Ph.D. He makes up words (HELLO&#63;&#63;&#63; ENGLISH PROFESSOR!)and if your opinion does not coincide with his you are automatically wrong. Ruined great literature and what could have been a very interesting class. Get out now while there is still time. You will not regret it.",12/02/2009,2,2.0,,1,Sorta interested,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16278600,0,,good,5,ENGL301,"People say he's arrogant, but I've never gotten that impression from him.  I've taken two classes with him now, and I've loved both of them.  He is truly passionate about what he teaches, and he really cares about his students.  Go to his office hours, it really helps!  Take his class!",10/27/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15450190,0,,average,3,ENGL301,"1) do not take this class, take another professor!! he wrote his own book, he knows it well, this means high standards and ur papers are graded hard and u'll get low grade... if u want to learn something and get a good grade, take another professor... seriously... u'll regret it if u take this class. this guy is rude too.. sounds arrogant..he sucks",02/08/2009,5,5.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14896504,0,,average,5,ENG301,Genuinely cares about his students and passionate about what he teaches. One of the best teachers I've had and one of the best and most groundbreaking classes I've taken in the English department. I'd definately recommend his section if you're an English major!,10/23/2008,3,3.0,,1,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
