attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,1,24215718,0,,good,4,PHIL203,"I waited for this class to be taught again by Professor Wengert. I absolutely love him. He is a brilliant, saucy, silver-tongued devil. He is so passionate about ancient philosophy. Lectures are long but are always lively. I wish I could take more of his classes.",01/02/2015,2,2.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,poor,good,poor,0,22804775,1,,poor,1,PHIL203,"He is a very nice friendly professor and person. The class has too much reading for an undergraduate level philosophy class. The papers have topics never discussed in class. Grades depends on him and TA. At final, he gives every one a fairly curve can improve grades up to higher letter grades.",01/29/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,0,22340668,1,,poor,1,PHIL206,"If you want an A, stay way from him. His class are too abstract and challenge for a 200 level philosophy class. He is interesting and friendly. The exams and homeworks are very difficult. Lots materials to study for his class. Not recommend any philosophy class with him after all.",11/18/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
Mandatory,poor,good,poor,0,22330661,1,,poor,1,PHIL203,"Please do not trust any thing you see here about this professor, the class is very hard, exams and papers are graded harshly and do not by who such as eitherh himself or a TA, the assignments are out of class content domain, not recommand this class, take this class with another professor.",11/16/2013,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21125661,0,,good,5,PHIL203,"Very knowledgeable and excitable.  His manner of speaking keeps you awake, and he really enjoys engaging the students.  Quizzes are online and the questions are given beforehand.  All homework/tests were pretty easy if you go to class.",12/19/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20053650,0,,good,5,PHIL203,"Very excited od man who has great knowledge in Greek and Latin. There are 2 papers, 5 online quizzes, and a final which is multiple choice and essay response.",04/15/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,18584175,0,,good,5,PHIL202,"Professor Wengert is an incredible professor. He has a great sense of humor and happily answers any and all questions you might have. He knows his stuff, and you will learn new things every lecture. Definitely recommended.",05/12/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,17738059,0,,good,5,PHIL203,awesome professor. can't believe he's still an assistant prof. after so many yrs at uiuc. he's probably one of those who don't give a crap about positions but just try to teach well and be an excellent human being. he reminds me so much about socrates..(at least the platonic socrates)..one who devalues the worldly things and values true wisdom,11/06/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,1,17656500,0,,good,4,PHIL203,"Awesome professor. Fun, upbeat, very knowledgeable. He doesn't take attendance but if you don't come to class it will be hard to understand whats going on. A lot of reading but that is why 203 meets only 3 hours a week but is worth 4 credit hours.",10/14/2010,2,2.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,1,17549647,0,,good,5,PHIL103,"Wengert is an awesome man, and a great professor. He has a great sense of humor, and is extremely knowledgeable in so many fields. He not only has a strong passion for philosophy and logic, but also a passion for teaching it. Extremely approachable and answers questions very well. He made me decide to pursue a minor in phil. Highly recommended",08/25/2010,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
