attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,25159416,0,,good,4,ENGL300,"Barrett is awesome. He's a total dork (I've taken Fantasy Lit and ComicsGraphic Narratives with him), but his enthusiasm is contagious, and it's really clear he loves what he's teaching about. He's a tough grader, so prepare to work hard and take his revisions to heart. Class is discussion based, so do the readings and participate. Recommended!!",08/29/2015,4,4.0,,4,Really into it,4,4.0,1,No,Yes,1112,Yes,,A,,people,people
N/A,poor,good,poor,0,24585088,0,,poor,1,ENGL300,Lectures consist of him talking about his opinions for 50 minutes. Questionsdiscussion not encouraged. Definitely wouldn't recommend. ,04/13/2015,4,4.0,,2,Low,1.5,1.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,average,average,0,22866248,0,,average,3,ENGL412,"He is an extremely tough grader. Even if you regurgitate all the info he gives you in class on exams, you still get partial credit.",02/25/2014,3,3.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,B,,people,people
N/A,good,average,good,0,17517122,0,,good,4,ENG300,"Very enthusiastic about subject & it becomes contagious. Class is very discussion oriented. Rob lets you talk & lead the discussions. The challenge in this class is writing what he wants. You can get good grades, & he gives good feedback for revisions & future writings, but you have to tell him something he's never thought of for top marks.",08/16/2010,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,12091,N/A,,N/A,,people,people
N/A,good,average,good,0,16230699,0,,good,5,ENGL209,"I went into this class expecting to hate it, but Professor Barrett made the material really interesting.  I actually looked forward to going to lecture, and I didn't mind doing most of the readings.",10/10/2009,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16146147,0,,good,5,ENGL209,One of the best English professors I've ever had. Lectures are funny and full of interesting information. He adds a lot of great insight into a subject that has the potential to be very boring.,08/24/2009,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15673409,0,,good,5,ENGL209,"This guy isn't as bad as the others make him out to be--yes, you *should* go to lecture, and yes, you have to study hard and do the assignments, but then, that's college for you. If you want an entertaining professor who really teaches you something rather than a breeze-through class to boost your GPA, this is for you.",04/19/2009,3,3.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15602075,0,,poor,2,ENGL209,"He reads from a script which makes me sleepy. I am not a fan of brit lt but I give him credit for trying to make it fun and interesting. he was a jerk and scheduled the midtern for the friday before vacation on purpose. If u want an easy 209 section he is not the one, but if u like that kind of thing he's all for u.",04/03/2009,4,4.0,,1,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13986717,0,,good,3,ENGL209,"He's kind of a nerd but he knows it, which makes him hilarious (especially when he reads in his accents).  Overall his class is difficult, but if you study you should be fine.  He is unclear as to exactly what things mean sometimes, but get a good TA and you'll get it.",01/12/2008,4,4.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13846317,0,,average,3,ENGL209,"barrett's lectures are impossibly fast and it's never made clear which parts are truly important (i.e. which useless facts he's going to test you on). Further, although i have no problem with swearing, i think the fact that he does it in lecture ALL THE TIME is a little disrespectful. if i can't swear in my papers, he shouldn't swear in his lecture",12/16/2007,4,4.0,,2,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13635516,0,,good,4,ENGL209,"Prof. Barrett makes lecture interesting and funny, though with a dorky sense of humor.  The lectures are definitely very extensive but interesting (mostly) at the same time.  The TAs are all generally good too.  The midterm and final are only hard if you haven't read and/or gone to lecture. Nonetheless they're bearable... Good teacher though!",11/11/2007,4,4.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13609889,0,,good,4,ENGL209,"Hilarious. He makes lectures interesting and fun. The TAs that run the discussion sections are awesome. If you do your readings and take notes, you will be fine on the midterm and final. Note: Midterm was revamped Fall '07 so previous midterm comments are for a different style of exam.",11/07/2007,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13508011,0,,good,4,ENGL209,"Barrett is probably the hardest professor in the entire English department.  But he's also the best.  He knows his**** and he's not afraid to test you on it.  Go to lecture, read the material and you'll be fine.  But don't think you can blow off class and still get an A.  He's funny and his lectures are way less boring than they could be.",10/04/2007,4,4.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,13357563,0,,good,4,ENGL209,"Professor Barrett is probably the best English prof I have had yet. He is incredibly knowledgable about what he teaches and really goes the extra mile to help us succeed in the course. His lecture outlines were a godsend! also: if you're taking this course, try to get into Tara Lyons' section- she is amazing!",07/26/2007,4,4.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12955332,0,,good,3,ENGL209,"If you go to lecture, take notes and study your butt off you will get a good grade...definately not a blow off class, but I had TA Shannon Godlove and she made things a lot easier!",03/30/2007,4,4.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12507495,0,,good,5,ENGL209,"I think Prof Barrett is one of the best at UIUC.  Yeah, his class was a little challenging--great!  What are we in school for if not to learn things we didn't know before&#63;  He integrates history into his lectures, but it's history that is ubiquitous... stuff everyone should know (or hmmm... learn in college&#63;).  If you do the reading, you're fine.",12/02/2006,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12424891,0,,good,3,ENGL209,"the material is dull but he tries to make it a little more interesting. He talks WAY to fast so be able to take quick notes. Midterm and Final are impossible. Funny side comments though. alright guy, bad class.",11/15/2006,4,4.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11674464,0,,poor,2,ENGL209,"His lectures are very dense, and he talks extremely fast- so make sure to print out the notes before hand and have a cup of coffee handy. I'm sure he is a nice enough guy, but for some reason I loathed him and found every lesson agonizing. He could be amusing at times, but I was generally too frustrated with the pace of the lecture to appreciate it",04/07/2006,4,4.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11653485,0,,average,2,ENGL202,"tough grader... if you're not an expert on the material prepare to be lost
 
 pretty helpful in office hours... you should go to them",04/04/2006,4,4.0,,4,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11612184,0,,good,4,ENGL209,"I guess I'm in the minority here, but I really enjoyed Prof. Barrett's class. He did talk fast, but the lecture outline is available online before class so that helps. I thought the grading was VERY easy, the exams were not hard at all, and the paper topics were easy, as well. He was very entertaining in lecture and I enjoyed all of the readings.",03/25/2006,1,1.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
