attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,26485733,0,,good,5,ENG428,"Had him for 209 and took this class because 1) I liked the material and 2) he was teaching it.  Wickedly clever/funny, SUPER knowledgeable about the material, comments on papers/exams are great if you really want to take your writing to the next level.  Judging from the below comments I think we need an official Bob Markley Fanclub.  Let's do it.",05/05/2016,3,3.0,,5,N/A,5,5.0,1,Yes,N/A,1112,Yes,,A+,,people,people
Mandatory,good,average,good,0,25243057,0,,good,5,ENGL209,"TAKE HIM.  I don't care for what class; if you can fit it into your 4yr plan, do it.  He's intelligent, passionate about the material, amazingly witty, and HILARIOUS.  I've been on the verge of tears in his lectures.  And, to fit in with the recurring theme, yeah, I'd say he's a pretty good-looking fellow.  Not what's important, but hey.",10/11/2015,2,2.0,,4,It's my life,4.5,4.5,1,Yes,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,23097797,0,,good,5,ENG428,Really solid teacher. Fun guy with a likable personality. Stayed sick for nearly a month when I took the class but that never stopped his energy. Could talk to us like he was on our level and joked a lot. Made the topics and discussions so easy going so you could have any input without being worried he'd pick on you.,04/25/2014,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,18018876,0,,average,5,ENGL428,"One of the best professors I have had at UofI. Very easy, really good guy, classes are fun and the guy is funny. Material was more interesting than I thought it would be.",12/21/2010,2,2.0,,1,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16490328,0,,good,5,ENGL455,"I went into class expecting him to be hot because of these comments, and I was very disappointed. But he is still one of the best professors I've had in four years. He really cares about what he's teaching. Doesn't take attendance. I took two classes, never read a single book, and got A- in both. Fairly easy class, great teacher.",12/07/2009,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15660362,0,,good,5,ENGL435,Professor Markley is one of the most amazing professors I have had so far in my career as an English Major. He genuinely cares about students and is super passionate about the material. Definatly take this class with him!,04/16/2009,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12343368,0,,good,5,ENGL101,"I really liked him. I did a James Scholar essay with him and he was really helpful and let me pick the topic. We read some pretty good short stories and discuss them in class. You really actually have to do the reading for the tests (essay, in-class) but he's a fair (not easy) grader. I recommend the class.",11/01/2006,3,3.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12329754,0,,good,5,ENGL455,"As hot as Mr. Darcy, though as conceited.  You have to read the books to follow along with discussion, but this is a man who loves what he teaches and has a sense of humor underneath an otherwise unapproachable exterior.",10/29/2006,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11159610,0,,good,5,ENGLISH,"Let's just say he left his &quot;Mark&quot;ley on me. Professor M...or Professor Mmmm, as I used to call him, is a class act, no pun intended. He makes the &quot;e&quot; in &quot;sexy&quot; stand for English...or rather lay for english.",12/14/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3693747,0,,good,5,ENGL103,"Sexy protruding jaw.  Cool, retro, regency-style haircut.  Ummm, yeah, I learned so much from this genius-- everything written in the eighteenth century is DIRTY!  Oh, Bob, take me back in time...",04/23/2005,3,3.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,3675650,0,,poor,2,ENGLISH103,"He was really slow, I didn't like the three pop quizzes we had in class.  Hard to listen to for over an hour.  And, he chose hard books an like 35 short stories for us to read.  If you do take 103, don't even thonk about not reading the books.",04/21/2005,3,3.0,,1,It's my life,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,3586383,0,,poor,2,ENGL103,"by far, one of the most pretentious men on the planet. and...he...talks...so...slow at the end of each sentence to emphasize its importance. very annoying to listen to for an hour and a half.",04/08/2005,3,3.0,,2,It's my life,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2773602,0,,good,4,ENGL103,That is frickin' hilarous...anyways..he's slightly entertaining- kinda funny- but very annoying at the same time...his TA's are **** ****s.,11/17/2004,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2733822,0,,average,3,ENGL103,Uh...this teacher...uh...um...is...uh...um...uh...alright.,11/14/2004,2,2.0,,2,Meh,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
