attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,1,25843272,0,,average,2,MATH241,"MATH 241 is not an easy class for most unless you're incredibly good at visualization and turning that into math. Muncaster's explanations can be very confusing and you find yourself looking for other resources often (""Watch it"" on Webassign is very helpful). Exams get curved to a 80% at the very end, so it makes up for the averages being 67%.",12/29/2015,4,4.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,Yes,,B,,people,person
N/A,average,average,average,1,25822159,0,,average,3,MATH241,"Not very great teacher. He goes through the material very quickly. The exams are harder than I expected, specially multiple choice. In general, not the best calc class I've taken.",12/25/2015,3,3.0,,3,Low,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,average,average,average,1,25819937,0,,average,2,MATH241,"His lectures took a ton of material straight from the book.  For the most part every single topic felt disconnected, and so the class seemed like it was teaching way more content than was actually present.  Also, his enunciation was generally fairly poor.  He could have been way worse, but there are definitely better professors to help you learn.",12/24/2015,3,3.0,,3,Low,2.5,2.5,1,No,N/A,1112,Yes,,A,,people,person
Not Mandatory,good,good,good,1,25769134,0,,good,5,MATH241,"Great professor, he explains concepts well during lectures. Has a lot of office hours, and he is very helpful if you go to them. However, the tests for this semester of Calc 3 were much more difficult than the previous years, so be prepared to study",12/19/2015,4,4.0,,5,It's my life,5,5.0,1,Yes,Yes,1112,Yes,,A,,people,person
N/A,good,average,good,3,25045963,0,,good,5,MATH415,"An excellent professor for bright students. He moves quickly during lecture, but also consistently grounds the methods that you're learning in actual application. He's animated during lecture and is always willing to entertain an interesting question brought to him after class. For an average student, he likely spends too few words per topic.",07/16/2015,3,3.0,,4,Really into it,4.5,4.5,1,No,Yes,1112,Yes,,N/A,,people,people
Not Mandatory,good,good,average,0,24961469,0,,good,4,MATH231,"Muncaster takes students through every book chapter, providing at least 3 examples for every new concept. However, he doesn't stop for questions in class, is hard to reach at office hours, and doesn't reply to emails. The best time to get to him would be immediately after lecture, where he answers any questions with clear explanations.",06/12/2015,4,4.0,,3,Really into it,3.5,3.5,1,No,Yes,1112,Yes,,A,,people,people
N/A,average,good,average,0,24311679,0,,average,2,MATH125,"This class Is really tough. However if you apply yourself, go to lecture and tutoring an A is possible. Dr. Bob is not clear when teaching, moves really fast and doesn't really sympathize with students. Lectures are not mandatory, but if you want to succeed I wouldn't advise skipping. ",01/20/2015,5,5.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,average,good,average,3,23646685,1,,poor,2,MATH415,"Lectures were okay, but the tests were outrageously difficult. The book is respected in the field of linear algebra, but is completely without practice problems, making practicing and reinforcing concepts very difficult. Wan't helpful during office hours - had to schedule 20 minute sessions through his secretary. Ridiculous. ",10/11/2014,5,5.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
N/A,good,poor,good,0,22286512,0,,good,5,MATH125,I think he's a great professor who made the lectures simple and easy to understand. Each homework only consists of 5 questions. Pretty easy to get full score on every homework if going to the tutoring hour for checking. 3 midterms are getting easier and easier. Good choice.,11/09/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,3,22193496,0,,good,4,MATH125,"I don't know why everyone on here thinks Dr. Bob is such a terrible teacher. I'm in the class right now with a high A after the first exam, and I've gotten a 100% on every homework assignment. If you go to lecture, pay attention, and take notes, you'll be fine. He explains everything thoroughly & exams are exactly like the problems we do in class.",10/19/2013,3,3.0,,4,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
