attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,24305589,0,,good,5,TE298,Professor Valli was a great source of inspiration. There were plenty of interesting activities and team projects. Would take it again ,01/19/2015,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,poor,good,0,22467691,0,,good,5,TE298,Very engaging class.,12/08/2013,1,1.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19978292,0,,good,5,BADMA,The class and projects were awesome! Learned a lot and Dr. Valli could not have been any better of a professor.,04/01/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19826277,0,,good,5,BADM199,The best professor I have had. Teaching real world experience using personal experience and stories.,02/14/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,19817312,0,,good,5,BADM199,One of the best professors that I have had.,02/10/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,19817292,0,,good,5,BADM199,An awesome teacher with a great deal of experience and knowledge about starting your own business. Did an amazing job teaching the material in a clear and engaging way. The final project was a great way to accumulate all that we had learned in the class. The TA was pretty cool also!,02/10/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,17908264,0,,good,5,BADM199,"Great professor, awesome person, fun class. Knows how to gain students attention and makes them want to come to each class. Makes the class very personal, and gets to know each student. Really fun projects, and simple busy-work assignments",12/10/2010,4,4.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,17859228,0,,good,5,BADM199,"Fun class, really enjoyed and learned a lot! Prof. Valli really cares for all of his students and really tries to help each student individually.",12/04/2010,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17857597,0,,good,5,BADM199,Awesome professor!,12/04/2010,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,17857586,0,,good,5,BADM199,"The best professor that I have every had. Very helpful and teaches in an enjoyable and informative way. Assignments are easy and fun, however you will learn so much by taking his class. Dr. Valli really cares about his students and is always there for advice and takes the time to get to know and help all og his students.",12/04/2010,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17684754,0,,good,5,BADM199,Awesome professor. The best one that I have ever had. He is really helpful and truly cares about you and your ambitions. Dr. Valli has experiance and an extensive resume that really helps him tach the class. I could not ask for a better professor for any business class. TAKE ANY OF HIS CLASSES IF YOU GET THE CHANCE =],10/22/2010,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,12091,N/A,,N/A,,people,people
