attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,22756639,0,,average,2,ART140,"I have no interest in art at all, but found her lectures interesting. The projects are pretty good for people like myself with no art experience but the papers are graded very harshly!",01/15/2014,3,3.0,,3,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,22013008,0,,good,3,ART140,"I TA-ed for this class and would not recommend taking it.  The grading is arbitrary. Robin will choose who she likes and those people will succeed. Sucking up in this class will go a long way. For papers, the whole theory that she tells us to grade on is longer is better. Content is secondary. Finally, much of the art history she teaches is wrong.",07/31/2013,1,1.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21392861,0,,good,5,ART140,Robin is a great professor.  She is no nonsense but if you pay attention you will be fine.  Some people thinks she grades hard?!  It's college people...I would recommend this class if you want to learn more about ar,03/07/2013,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21263855,0,,good,5,ART140,"She's very passionate about art. She also grades papers fairly hard, so be sure to ask for help if needed, utilize office hours, and elaborate on EVERYTHING! She likes details. I was able to get an A in the class, but don't take an A for granted. Take advantage of extra credit and be sure to go to lectures",01/15/2013,3,3.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,21255259,0,,good,4,ART140,"She is super passionate about art, but she grades essays and assignment way too hard. Even with a strong background in art, I could not get better than a C on any of her papers.  The only reason I got a B in the class is because the TAs are a lot more lenient.  Also KEEP IN MIND that the Krannert Art Museum is not open on Mondays.",01/14/2013,4,4.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18740863,0,,good,5,ART140,Haha! Those last two ratings are ridiculous! Talk about bad sports. Robin and her TAs grade normally for COLLEGE. Just come to class and follow directions. Simple and fun. Not an easy A but I asked a TA and very few people failed-most got As and Bs.,06/17/2011,3,3.0,,4,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,18709256,1,,poor,2,ART140,At first this class is all fine and dandy but robin and the t.a's are ridiculously tough graders.  This is a 100 level art class but the grading does not seem fair. Robin and the t.a's also act like they know everything but it is all completely subjective art baloney.,06/07/2011,4,4.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,poor,0,18583735,0,,poor,2,ART140,"I had a lot of fun doing the artworks in studio for the class, and the TA's were very nice and helpful. Robin, however is a HORRIBLE grader, so don't expect to do very well on all of the written assignments, which are a good chunk of the grade. The last paper was worth almost 25% on which she failed a good majority of the class.",05/12/2011,4,4.0,,1,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18284696,0,,good,4,ART140,"I learned a lot.  Plus Robin is pretty sharp.  She won't let you get away with stuff because she just wants you to learn.  Some people complain about this class--but I gotta say the work was worth it!! PS don't check email on your laptop, her TAs write down your name a give it to her at the end of every class :)",03/17/2011,3,3.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,18134650,0,,good,4,ART140,Super easy class. All you do is write a couple papers. They do actually grade your artwork in studio too but they're very flexible/easy graders. Lecture is BORING and you don't have to pay attention at all.  i used it to check my e-mail and do other homework. so bring your laptop!  but you have to go because attendance is taken every day.,01/13/2011,2,2.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16877842,0,,good,5,ART100,YA Robin.  I really loved this class.  We painted AND she made us food.  It had nothing to do with my major but it was awesome,03/16/2010,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
