attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,good,average,0,26659198,0,,poor,2,MATH221,I had her for Calc 1 and got stuck with her for Calc 2 again because of my schedule. Her teaching is very unclear and spends a lot of time on the derivation of things but not on real problems. She falls behind/ gets off schedule often because she's not very organized. She has no grasp of whether students are understanding the material or not.,05/26/2016,4,4.0,,2,N/A,2,2.0,1,No,No,1112,Yes,,B+,,people,people
Not Mandatory,poor,good,average,9,26531228,0,,poor,1,MATH231,"Calc 2 is the worst class ever, having a bad professor try and teach it to you is even worse.",05/10/2016,5,5.0,,3,N/A,2,2.0,1,Yes,N/A,1112,Yes,,Not sure yet,,people,people
Not Mandatory,average,average,average,4,26483800,0,,average,3,MATH231,"She mumbles in lectures, and rushes the material a bit. Overall a pretty average lecturer. Not as bad as people assume she is .",05/05/2016,3,3.0,,3,N/A,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,poor,average,poor,3,26198350,0,,poor,1,MATH221,"Guzman mumbles her lectures and rarely makes eye contact as she speaks. Her lectures are unbearable, and she does a poor job teaching the material. Pray you have a good TA, because the discussion section for this class is important. If you could take this class with another teacher, I highly recommend it.",03/29/2016,3,3.0,,1,N/A,1,1.0,1,Yes,N/A,1112,Yes,,B+,,people,people
Mandatory,poor,good,poor,3,26095602,0,,poor,1,MATH231,"Don't take her class. She's not going to be helpful at all. One of her famous saying ""Well, you should remember from your previous calc class/math 221."" And my TA is bad, so I'm planning on learning the materials on my own.",02/28/2016,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,INC,,people,people
Not Mandatory,poor,good,poor,4,26058173,0,,poor,1,MATH231,"Seriously, during the lectures I have no idea why she is keeping saying things that I've already learnt in MATH 221. Moreover, I found that it hard for me to take notes in her class because she tried to put every single word she said on the board. By the way the board was never clear enough for me to take notes as well. Just one advice, DO NOT take",02/15/2016,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,WD,,people,people
Mandatory,good,average,good,1,26058094,6,,good,4,MATH231,"Really good prof, Dr. Guzman class moves fast, but she puts a bunch of stuff online. Go to lecture because she goes over examples.  Tests not easy but straight forward. Questions are problems from textbook (answers in back), homework and lecture.",02/15/2016,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,person
Mandatory,average,good,average,4,26055740,0,,average,2,MATH221,Be prepared to teach yourself everything,02/14/2016,4,4.0,,3,Low,2.5,2.5,1,No,N/A,1112,Yes,,B,,people,people
Not Mandatory,poor,good,poor,4,25966485,0,,poor,1,MATH221,very hard to follow along with during lecture.,01/19/2016,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,good,poor,3,25844060,1,,poor,1,MATH221,"This was without a doubt the worst professor I've ever had. She didn't teach anything on the tests, and really your only hope was attempting to read from the book and going over practice problems on WebAssign and the worksheets/quizzes from discussion. If you get her I wish you luck.",12/29/2015,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,Yes,,C-,,person,people
