attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,13906803,0,,good,5,CHEM237,"Great lecturer.  The class is a LOT of work but going to office hours to get questions answered helps a lot.  Her tests are hard but if you study and know the material well, you should be able to do fine.  Definitely go to office hours because she is great at explaining things!",12/25/2007,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13306273,0,,poor,1,CHEM233,"SP07.  Came in late to lectures, chatted, then rushed through slides we needed to understand for the exams.  Poor communication with her TA's.  Terrible teacher.  Ruined my straight-A streak.",07/02/2007,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,12986095,0,,poor,2,CHEM233,This class is ridiculous. She is EXTREMELY disorganized. The TAs are never informed because she never lets them know anything! Fails to get through the lecture notes necessary for the test and lab then complains about failing to do so because she arrives late to class. Worst class I've taken thus far at UIUC.,04/09/2007,4,4.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,12795944,0,,poor,2,CHEM233,"Her tests were nearly impossible. Some of the material shown on the exams were not even touched upon during lecture. Besides, there wasn't even any curve!",01/19/2007,4,4.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12795942,0,,average,3,CHEM233,Hardest tests ever. Resemble 232 material. Read your 232 book to study for it. Be especially careful on the second test.,01/19/2007,5,5.0,,2,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12786129,0,,poor,2,CHEM233,"She was not a very good lecturer.  Her tests were hard, and she kept talking about distribution because grades were too high.  Not a fan.  Her choice of TA's was excellent though, and they will make the class.  Not terribly difficult to do well, but a decent amount of work.",01/17/2007,3,3.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12573467,0,,poor,1,CHEM233,The worst professor I have ever had BY FAR.  Her tests are ridiculous so study alot.  Also decided to change grading scheme midway through the semester! Surprise!  I feel really sorry for those that have to take her for orgo lab.,12/11/2006,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1559915,0,,average,3,CHEM101,"Didn't go to lecture much but her tests are really hard, esp for incoming freshman. its a weedout professor.",12/28/2003,5,5.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,1551187,0,,poor,1,CHEM101,"Good lecturer, no way.  I stopped going to lecture after the first test for fear of dying of boredom.",12/23/2003,1,1.0,,1,N/A,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1519778,0,,good,5,CHEM101,"good lecturer, helpful",12/16/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,1310035,0,,average,3,CHEM101,No Comments,11/12/2003,3,3.0,,3,N/A,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1183737,0,,good,5,CHEM101,Very good lecturer...sometimes time management is a bit off but she knows what she is talking about.,10/11/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
