attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,poor,good,0,26038069,0,,good,5,AHS125,Gower is one of the best professors here at UIUC. You learn so much in his lectures just about life in general and he really loves teaching and his students. I've never had a professor impact my life so much. Great guy!,02/08/2016,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
N/A,poor,average,poor,1,23487477,0,online,poor,1,RST502,"Completing my online graduate degree from the University of Illinois Urbana Champaign and had Ryan Gower for my RST 502 class.  The first week of class he made a general comment to all discussion posts, and then....crickets for 7 WEEKS!!!  Not a word or grade for any assignments.  FINALLY, he made a poor excuse his tablet did not post any info.",07/31/2014,3,3.0,,1,Really into it,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,poor,good,poor,0,22665412,0,,poor,1,RST110,Horrible class I recommend taking another class if this is for a gen-ed. The class has two exams and if your a bad test taker I suggest not taking this class. It is interesting however if I had to take it again I would not.,12/28/2013,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21722484,0,,good,4,RST110,"One of the most interesting classes I have taken. Gives review guides before each exam which helps a lot. Ask him questions when you review in class with him, he will tell you anything and helps as much as possible. go to class--sometimes pop quizzes. best professor ive had here. plus he's cute. mmm..curved the class up 5% this semester too! yay.",05/09/2013,2,2.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20841210,0,,good,5,RSTE2,He is an excellent teacher. His rst 110 class is pretty easy and he makes it great. The material was a little boring but it was still a good class!,11/15/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20610046,0,,good,5,RST199,"199 is such a great class, no really work except discussions and like 2 quizes on Compass. Show up and get an A, too easy! And he's good looking and funny!",08/27/2012,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,20514407,0,,average,2,RST410,"I am an A student, and this class was one of the hardest I have had to take. Not because of course material, but because Gower is unclear in his expectations, tests students on irrelevant information and is disorganized. He assumes we know material he fails to get to during class. Lot of busy work",07/24/2012,4,4.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19777981,0,,good,5,RST199,"One the best professors I have ever had. Very easy going and easy to ask for help, if needed.",01/27/2012,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19134758,0,,good,5,RST110,"Gower is great. I had him for an 8 week introductory course for my major. He is very helpful with the course material and very informative as well. There were 2 tests over broad concepts, as well as a few online quizzes, mandatory online discussions, and 2 group projects. He gets the class involved and overall is a very nice person.",10/31/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18826344,0,,good,5,RST110,"Excellent teacher. Catered the course towards students interests, and actually cared about the students- who we are, what we want to be, how we see ourselves within the world around us. A listener- doesn't talk for the sake of it. Assignments were worthwhile and not hard. Really friendly, humble, family. Gower is great",07/17/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17629051,0,,good,5,RST410,"This was a hard class.  We had to write a paper every week, but at least the papers were focused on solving management issues.  I liked that he always had case studies to link to the topic for the day - helped the management theories seem more real and made me realize that i should definitely study - I will need to know this stuff someday.",10/03/2010,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17029400,0,,good,5,RST110,great teacher and a great class. he knows so much and gives great advice for anyone pursuing a career in the field. it's nice that it's only 8 weeks but i learned a lot. as long as you read the text you'll get an A.,04/20/2010,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16740597,0,,good,4,RST100,Good professor and easy get A.,01/20/2010,1,1.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16511842,0,,good,5,RST110,"Loved him, loved his class.",12/09/2009,2,2.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16145512,0,,good,5,RST110,He is an awesome teacher.,08/24/2009,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15143281,0,,good,4,RST110,"Good professor, enjoyed the class.  The tests can be tricky but if you read all the assigned reading in the book and pay attention in lecture you'll be set. Good class.",12/09/2008,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14859720,0,,good,5,RST110,Gower is a great professor.  We just finished class today.  Lectures are long (1hr 40 minutes) but fun to go to and always helpful for learning more about the industry and how to get ahead.  great class and teacher,10/09/2008,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13707729,0,,good,5,RST110,"Gower is a nice guy, and the class is quite easy!",11/27/2007,1,1.0,,3,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13289537,0,,good,5,RST100,"Makes learning feel fun.  Not easy, just different - more involved.",06/25/2007,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12546041,0,,good,5,RST110,Ryan is a great teacher. He knows a lot about his area and does a great job of making it interesting in class.  Go see him after class and he can tell you SO much more.  Definitely one to visit in the office if you are looking for a job.,12/07/2006,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
