attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,3666036,0,,poor,1,TAM251,"I'm going to go out on a limb here and say that I think he's a pretty decent guy, however that says nothing of his teaching. He has as much knowlege about teaching as a kindergartner has about polynomial functions. His tests are a crapshoot. And you will want to punch him in the beard.",04/20/2005,5,5.0,,1,It's my life,1,1.0,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,3655278,0,,poor,1,TAM251,The tests are above and beyond anything you learn in the course. They are more difficult than even the hardest problems done in lecture. The homework will not prepare you for one of his exams.,04/18/2005,3,3.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3639857,0,,poor,1,TAM251,"If this class is not absolutely required, don't take it.  If this class IS absolutely required, change majors.  This professor will bend over backwards to ensure that you fail.",04/15/2005,5,5.0,,2,Sorta interested,1.5,1.5,3,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3628226,0,,poor,1,TAM251,"He starts deriving equations without telling you what exactly you are trying to derive.  Also he thinks he is funny, and he definitly is not.",04/14/2005,5,5.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3628194,0,,poor,1,TAM251,He doesn't really get anywhere in his lectures.  I can tell he doesn't know how to run a classroom.  His tests are not representative of what you go over for the semester.,04/14/2005,4,4.0,,2,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3618586,0,,poor,1,TAM251,nOT gOOD,04/13/2005,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,3472699,0,,poor,2,TAM251,Spends more time telling students why he is the**** and about how good he is than teaching.  One of the most spiteful men you will ever met.  Also claims America will eventually be a third world country.,03/18/2005,3,3.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3472659,0,,poor,1,TAM251,Worst teacher ever.  Shows off what he knows instead of teaching material.  Spends all of lecture deriving equations but never how to use them in a manner to solve problems.  Exams are out of right field.  Don't ever take one of his classes you won't learn anything.,03/18/2005,5,5.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,3377238,0,,poor,1,TAM251,"Horrible Teacher.  Insults his students, wastes enormous amounts of class time trying to show how smart he is.. Avoid at all costs",02/20/2005,5,5.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2874085,0,,poor,1,TAM235,He is the worst teacher I ever met. he gave people D just because we didn't want to be his slave to help with his own project.,12/01/2004,4,4.0,,1,Meh,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
