attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,18581897,0,,average,3,ECON302,"Great teacher. Is very clever and makes you think. If you put in the worl then there is no reason why you can't get an A. Go to lecture, read the book, do all the practice problems and go to office hours if needed. Exams are the same as the practice exams!! Fair warning my TA was a little crazy...",05/11/2011,3,3.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17536206,0,,average,3,ECON302,"The final is optional, exams are identical to practice tests and have many bonus points. Still Rashid has a penchant for calculus and his exams involve only mathematical problem solving. If you are math loving hard-core Econ major, you will love this class. However it is not recommended if you are a business major without an aptitude for calculus.",08/22/2010,4,4.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,17378055,0,,average,3,ECON302,Great professor. Doesn't seem to like answering questions after class but gives out 4 exams with  at least about 10 bonus questions on each of them.Practiceproblems he gives out is  almost IDENTICAL to the exams. Course is onlybased on those 4 exams (not cumulative). I recommend his class for people taking econ 302. He's not as bad as i thought!,06/29/2010,1,1.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17343190,0,,good,5,ECON450,"Great teacher. Doesn't just stand and lecture aimlessly, but engages students. He forces you to think outside the box",06/17/2010,4,4.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,16132083,0,,good,3,ECON450,"He is a very interesting guy and I enjoyed his class. He has a very strong front and will challenge your questions... but in doing this, he makes you think on your own. One bad thing was that roughly half the information he taught was just background info and not test material. The test pretty easy though and based directly off his notes.",08/18/2009,2,2.0,,5,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15937419,0,,good,4,ECON302,"I have to say that I learned  more than a thing or two in this class. If you like Economics, and if you are taking a 300 level ECON course I assume you do, then you can't possibly go wrong with him.",06/06/2009,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15804675,0,,good,4,ECON302,I loved the class! It is as easy A - just do the practice problems and put a little amount of effort. Rasid is a great chap- makes ample sense and is very helpful.,05/10/2009,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15684039,0,,good,4,ECON302,"must do allll the practice problems! A lot of his test problems are word for word from the practice packets. you barely need to read the book, and he is an interesting and easy to understand teacher.",04/21/2009,4,4.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14671546,0,,good,5,ECON450,"From a teaching standpoint, he is an excellent professor. He's interesting, and he will explain everything thoroughly. BUT: His grading practices are entirely unfair! He makes up the curve as he goes along. For this reason alone I would advise you not to take his classes. I did better than everyone I talked to but only got a B. I don't know any A's",07/19/2008,4,4.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13924022,0,,good,4,ECON302,"Not too bad of the class. DO THE PRACTICE PROBLEMS! Go to class and read the textbook when necessary. Not the greatest teacher but wasn't awful. At least for my year, the final was optional and it replaced your 2 lowest test scores.",12/30/2007,3,3.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
