attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,good,1,25709055,0,,good,3,MATH416,"Dr. Dutta has a reputation for being hard to understand in his lectures. I did not find this to be true at all. He was clear and proofed everything he present in the course. His tests while difficult were fair. My favorite quote, ""COME ON, THIS IS 416 GUYS"". Overall great professor who cares about his students. ",12/15/2015,3,3.0,,5,It's my life,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
N/A,poor,good,poor,0,24310772,0,,poor,1,MATH416,Completely condescending and rude to our class. I would not recommend anyone to take a class with him. ,01/20/2015,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,0,23765149,0,,poor,1,MATH416,"He is the WORST professor I have ever come across. When students ask questions in class, he makes demeaning remarks about how you haven't done the homework or haven't been paying attention. When students don't ask questions, he gets mad and says that we should be asking questions because ""This is Math 416!"" Terribly unhelpful in office hours, too. ",11/07/2014,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,0,23561287,0,,poor,1,MATH415,don't take the course,08/27/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,22769134,0,,poor,2,MATH417,"Probably one of the worst professors I've ever had. If you can avoid taking a class with him, do so. He complains about the book not explaining the material well, but half of his lectures follow it exactly. He is of no help in office hours.",01/18/2014,4,4.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22744909,0,,poor,1,MATH417,"Above and beyond the worst professor I have ever had. He has this funny knack for claiming that the book is terrible, yet when you ask him a question, he responds by saying ""it's all in the book."" His lectures were boring and unhelpful, and he can be demeaning. You need to stay away from his guy's class. His class was my main cause of stress.",01/13/2014,4,4.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,22614782,0,,average,3,MATH225,"He has a heavy accent and a weak voice, so sit close to the front.  He does ask if there are questions frequently, but there rarely are because the material is so simple.  Seriously, it's a cakewalk.  He WILL give you a hard time if you ask stupid questions, because it'll obvious you've skipped many lectures you've lost track of what's happening.",12/19/2013,1,1.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22338804,0,,poor,1,MATH417,"If i were you, I wouldn't take his class. He needs to resign his position by none taking his section. He's that horrible. He's not making any sense in class but when I go to his office hour ask question, he says ""you don't know because you didn't show up in my class""",11/18/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22175117,0,,poor,1,MATH225,"This professor is horrible, if you have a math class make sure not to choose him. He keeps asking the class ""Is it clear?"" ""Is it okay?"" but no one responds because everyone thinks its not okay. He makes everything super confusing and doesn't teach well at all. He is also usually the first one to leave after class, so its hard to ask questions.",10/13/2013,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,1,21712460,0,,poor,1,MATH416,"Dutta is one of the least useful instructors I have ever had. His lectures made no sense, he would veer off into meaningless tangents and spend around 10% of the lecture telling us what was actually important. Thankfully his exams and quizzes were straightforward and easy. Take him, cram the exam reviews and you should get a B easily.",05/08/2013,2,2.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,average,0,15124214,0,,good,4,MATH415,"I think he's kind of funny, seems very personable.  I thought he was easy to understand, although he spent a lot of lecture time doing the abstract stuff, and then 10 minutes actually doing a problem, where you learned all you needed to know.  No homework required, quizzes and exams very easy.",12/07/2008,1,1.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,11330636,0,,poor,2,MATH385,"Are you guys kidding me&#63; Dutta is the worst teacher I've ever had. I mean, he actually threatened to kill everyone in the class! Dutta is a horrible human being, but I'll admit I've seen harder graders. You know what he gets&#63; F+",01/09/2006,3,3.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,3273999,0,,poor,2,MAT415,He's probably not the best at explaining stuff...but he gives the easiest quizzes and exams. Math 415 is a class where you can get destroyed if you have a 'theory-freak' prof. He's not one of them.,01/25/2005,1,1.0,,2,It's my life,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2554977,0,,good,5,MATH502,One of the best lecturers at U of I.,10/16/2004,4,4.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2313104,0,,poor,2,MATH315,"goes a bit quick and lectures are pretty much all theory; he spends VERY little time going over how to solve problems.  his tests are very simple, but he &quot;grades on the british system&quot;, so if you get part 1 of a multi-part problem wrong, you are",07/13/2004,3,3.0,,2,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2197082,0,,good,5,MATH415,he does have an accent but its not nearly as strong as MANY OTHERS in math and engineering. this guy teaches it so well that i suggest not buying a book if you have him and are willing to go to lectures. he has a great quiz policy where he drops 3. NO HW!,05/27/2004,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2008673,0,,poor,1,MATH242,"You have to listen carefully to what he says, he has an accent.  And he has a catch phrase: isn't it&#63;  He says it all the time, you'll find yourself saying it.  I never went to O.H. so I don't know if he's helpful, but didn't like the class very much.",04/21/2004,4,4.0,,2,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
