attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,22775814,0,,poor,1,MACS101,Please for the love of god don't take a class with Sarah it's not worth it. way too much work and it is randomly collected. she yells at you like you're little children if you don't agree with her views,01/21/2014,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21314903,0,,poor,1,MACS100,She showed up late every single day.  She collected one of three big assignments. She ranted about past experiences hardly related to the days subject. She gave large sections of assigned reading.  Ridiculous amounts of work with almost no grades back until the end of the semester.  Not a good instructor.  Wish I focused my time elsewhere.,02/01/2013,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21249558,0,,average,2,MACS101,Just be as liberal as you can imagine in all assignments and an A will magically appear on your transcript.,01/12/2013,2,2.0,,3,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,20806405,0,,poor,2,MACS101,"This is an interesting class, but just take it with the other teacher.",11/09/2012,5,5.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20802504,0,,average,3,MACS101,"While Sarah is clearly passionate about her subject, her class lacks structure and reliability. Frequently, big assignments were not collected and often assigned last-minute. Her lectures mostly consist of her life experience and not material. Take her class if you're looking for something interesting, but with little to no structure.",11/08/2012,3,3.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,18767881,0,,poor,2,MS101,"While the themes pertaining to the media were interesting, this class focused on abortion, something I did not expect nor wanted to learn about. Sara was outspoken yet extremely disorganized. She was inconsistent with deadlines as well as pretty much everything else the class involved. I never once read the excessive amounts of assigned articles.",06/26/2011,3,3.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,18656933,0,,poor,2,MS101,"Extremely disorganized. Seems like she throws it together at the last minute and passes it all off as 'the point of the class. If you don't want to learn about abortion, switch to a different section with a different teacher. The class is very interesting and you do learn a lot but it the workload is ridiculous and presumptuous of a 100level class.",05/24/2011,4,4.0,,1,Low,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,18567886,0,,average,2,MS101,"The workload can get a bit overwhelming at times, she can be flexible with due dates. Interesting class discussions. Very writing intensive. Gives students wiggle room to determine what they want to get out of the class. Sometimes a bit unclear about assignments but overall positive experience- if you put in the effor you will get the A.",05/10/2011,3,3.0,,4,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,18275928,0,,average,1,MS101,"Sarah is a mixed bag. I've had no teacher more passionate than her. She makes me think in different ways and pushes her students to do better. As a 100 level class, her workload was ridiculous. She is very disorganized and her instructions are unclear. She doesn't foster class discussions well and often starts class by criticizing our past work.",03/14/2011,4,4.0,,4,Really into it,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18133279,0,,good,4,MS356,Sarah was the MOST FUN professor I've ever taken a course with. She's funny and loud and very flexible with due dates. She really inspires genuine discussions and I would love to take another one of her classes. It was early in the morning and I actually wanted to wake up to go. Now that's saying something.,01/13/2011,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
