attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,average,good,0,26473769,0,,good,5,CS433,Knows a lot about this stuff and makes an effort to make the class useful and interesting for everyone instead of strictly following book/slides,05/05/2016,3,3.0,,5,N/A,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,people
Mandatory,average,average,average,4,25909176,0,,poor,2,CS233,Terrible lecturer where the only reason most people went was to get iclicker points.  I watched all the lectures from the previous year online that had Craig Zilles teaching it.  She was very confusing and often wasted class time on useless things like trying to get students to ask questions when we had none and trying to learn 200 student's names.,01/09/2016,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,Yes,,A,,people,people
N/A,average,average,good,0,25820795,0,,good,3,CS233,Sarita is a great person. She is very excited about her research and teaching.,12/24/2015,3,3.0,,5,Really into it,4,4.0,1,No,N/A,1112,Yes,,B,,people,people
Not Mandatory,good,average,good,0,23156709,0,,good,5,CS433,"Very engaging professor, very knowledgeable, class is very discussion based, encourages questions tailors discussions based on how class is responding. Great professor.",05/03/2014,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A-,,people,people
N/A,good,average,good,0,21462057,0,,good,5,CS433,"Excellent professor. She really cared about her students learning, and we had some excellent discussions in class resulting from student questions. It's not a hard class either - one midterm and a non-cumulative final and around seven homeworks. Would definitely recommend to anyone interested in architecture.",03/29/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20169336,0,,good,5,CS433,"Her class is very discussion-driven. She will stop and answer if you have any questions. The material is not fixed for each class, so you can expect to learn everything crystal clearly.",05/01/2012,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,18177439,0,,good,4,CS433,"She made sure you understood material.  I personally think it's a very boring subject, so it's terribly difficult to stay focused.  Only 4 written hws (25%) and 2 exams (1 midterm (37%) and 1 final (38%)).  Thus, if you make a stupid mistake on one of the exams, you are screwed.",01/24/2011,3,3.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11944026,0,,good,5,CS433,Content was very solid.  Responsive to class feedback.  Exceeded my expectations. Good class.,05/25/2006,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,1,3584231,0,,poor,2,CS333,Scatter-brained,04/08/2005,3,3.0,,1,Sorta interested,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,1,3524800,0,,poor,1,333,She sucks!  Got an A though.,03/30/2005,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,3176533,0,,good,4,CS333,Not the most exciting.  But she cares about her students and will put forth her full effort to help you learn which is more than I can say about a lot of other profs.,01/07/2005,3,3.0,,5,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,2415465,0,,average,3,COMPORG,"Lectures are very boring.  Prof tries to keep people awake by forcing participation, which is awkward and causes more people to ditch.  Homework and tests are OK.",08/24/2004,3,3.0,,2,N/A,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,person
N/A,average,average,average,0,539693,3,,good,3,CS232,Sarita Adve is HOT!  Take the class just for that reason alone!,02/04/2003,3,3.0,,4,N/A,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,528134,0,,good,4,CS333,No Comments,01/30/2003,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
