attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,3575029,0,,good,4,CLCV115,interesting but tons of work,04/06/2005,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3563977,0,,good,5,CLCV115,"i actually looked forward to lecture. rsg is hilarious. multiple choice part of the exams very easy. and the essay portion wasnt bad, i cliff noted the books and did fine. definitely recommend for a lit gen ed.",04/05/2005,2,2.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3447444,0,,good,4,CLCV115,Prof. Garner is one of the coolest professors ever. He was very helpful and clear in lecture and interesting.,03/11/2005,3,3.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3294914,0,,poor,2,CLCV115,whoever said this class is easy is out of their mind;),01/28/2005,5,5.0,,2,It's my life,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3273161,0,,good,5,CLCV115,"Lectures are FUN! but you better take good notes and go everytime...that's where 99% test questions come from! He gives long keywords reviewsheet b4 each test...it does take some time to study the 6 page list, but if you got it down...you got yourself an A",01/24/2005,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3231171,0,,good,5,CLCIV115,Awesome teacher and great class. I took it for honors and it was still my easiest class!,01/16/2005,1,1.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3163917,0,,good,5,CLCV115,"RSG makes the course interesting.  He's a little crazy, and definetly has ADD.  He's a really funny guy and class never runs the full 50 minutes.  Easy course--I recommend it.  Just make sure you don't have Matt Brown as your TA for the discussion portion.",01/05/2005,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,3062921,0,,average,3,CLCIV115,lecture was interesting but thats about where the interesting ended.  Way too much work than its worth (even if you do go to class),12/17/2004,4,4.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3058527,0,,good,5,CLCV115,"so funny, actually, hysterical.",12/17/2004,2,2.0,,4,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3054055,0,,good,5,CLCV115,115 can get tough with all the essays but the lecture portion is definitely worth it.  Professor is good.,12/17/2004,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2992396,0,,good,5,CLCV111,Whoever said it was too much work for a 2 hr class was out of their mind. All you have to do is read what's assigned and go to lecture and you'll pass the tests with flying colors. Garner makes the course really interesting and always manages some comic relief. Almost always got out of class early.,12/12/2004,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2565035,0,,good,5,CLCV111,"Garner is so cool - his lectures are like one big storytime!  And he's so enthusiastic, you'll love it.  I especially suggest this class and the 115 section if you have any previous latin/classics experience",10/19/2004,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,2508996,0,,average,3,CLCV111,"Ok, whoever said that this class is interesting and easy is out of their mind. Enough said. It's a lot of work for a 2 credit class.",09/30/2004,3,3.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2109827,0,,good,5,CLCIV115,"VERY GOOD PROFESSOR!!! He made the class really interesting and he's a really funny guy.  His random pictures and stories make his lectures worth going to.  Easy exams, clear speaker, TAKE HIS CLASS!",05/08/2004,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1977362,0,,good,4,CLCIV115,"Great teacher, but NOT HOT...",04/16/2004,3,3.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1876638,0,,good,5,CLCIV115,he is a fun and interesting professor.,03/31/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1499063,0,,good,5,CLCIV115,"Great teacher, easy quizes, easy grader",12/13/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1350242,0,,good,5,CLCIV115,"Enthusiastic about myth, good story teller, keeps everyone's interest, sometimes ends lecture early!",11/18/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,1280907,0,,good,5,CLCIV115,"He makes his class interesting with his random stories, pictures, and animation.  The Red Bull commercial!",11/07/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,882637,0,,good,5,CLCIV115,One cool dude. This guy knows his **** and makes the class enjoyable. It does not get any better than that.,04/25/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
