attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,average,0,13476767,0,,average,4,CHEM236,Favoritism to the core...,09/15/2007,4,4.0,,2,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12171191,0,,good,5,CHEM236,"Really cares about his students.  It's a large class, so of course he doesn't get to know everyone, but he does a great job.",08/18/2006,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,11587508,0,,poor,2,CHEM236336,He teaches orgo and doesn't get how someone else could not understand what he says.  He fails about 15 students out of 100...,03/19/2006,5,5.0,,1,Low,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,11366462,0,,poor,2,CHEM236436,"Plays some favorites, but generally seems like a nice guy dedicated to teaching.  Its easy to sense some arrogance in his teaching; if you dont understand something he makes it very clear he thinks that its your fault and not his lack of clarity even though it's often the latter.  Good thing though, his practice exams are exactly like the real ones",01/15/2006,5,5.0,,1,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11326852,0,,good,5,CHEM236,homeworks and practice tests very useful to prep for real tests - lectures organized well too,01/09/2006,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10096414,0,,good,5,CHEM236336,Class is hard but prof is very organized and tries to be helpful,08/06/2005,4,4.0,,4,Sorta interested,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,4036711,0,,good,5,CHEM236,Tough class but always prepared and very helpful in office hours. Practice exams were great to have too,06/27/2005,4,4.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2914596,0,,average,3,CHEM236,No Comments,12/05/2004,4,4.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,2828174,0,,poor,1,CHEM336,No Comments,11/24/2004,5,5.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,2691114,0,,average,3,CHEM236336,"Comparing the two professors that teach orgo, SKS taught a tougher curriculum, had harder tests, and generally graded tougher.",11/09/2004,5,5.0,,2,It's my life,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,2052009,0,,good,5,CHEM236336,"He might write down the wrong reactions at times, but he's hot so that makes up for it.",04/28/2004,5,5.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,1785608,0,,poor,3,CHEM236336,I have never seen a teacher play favorites as much as SKS.  If you are not one of the top students he is not willing to help you.  I struggled in class and actively saught help but he was always too busy to make time to see me.,03/08/2004,4,4.0,,1,N/A,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,764400,0,,good,4,CHEM236,tests very similar ot practice exams; very detailed lecture notes,03/30/2003,4,4.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,550495,0,,poor,2,CHEM236,No Comments,02/08/2003,5,5.0,,1,N/A,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
