attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,1,25987997,0,,good,5,ECE110,"Very easy class, relaxing lectures.",01/24/2016,1,1.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,person
Mandatory,good,poor,good,0,25944575,0,,good,5,ECE110,He's pretty clear with lectures.,01/14/2016,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,Yes,,Rather not say,,people,people
Mandatory,good,average,good,0,25871915,0,,good,4,ECE110,"Good guy, has students interest in mind. Tries to learn students names. Class is easy and inteoductory. If you have trouble in it ECE might not be for you.",01/04/2016,2,2.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,Yes,,A-,,people,people
Mandatory,good,average,good,0,25343579,0,,good,4,ECE110,Explained the ECE 110 course material well. Very helpful. Cares about the students,11/04/2015,3,3.0,,4,Really into it,4,4.0,1,No,N/A,1112,Yes,,A,,people,people
N/A,average,poor,average,2,24771086,0,,good,3,ECE110,"Best lecturer of 110, easiest class ever. ",05/07/2015,1,1.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,3,23716942,3,,good,5,ECE110,favorite professor. would certainly take class again,10/30/2014,2,2.0,,5,Sorta interested,5,5.0,3,No,N/A,1112,Yes,,N/A,,people,people
N/A,average,good,poor,3,23716750,10,,poor,2,ECE110,He was the worst professor I have ever had. He can't speak at all. He is not clear at all when he speaks. I can't understand him.,10/30/2014,5,5.0,,1,Meh,1.5,1.5,3,No,N/A,1112,N/A,,F,,people,people
N/A,good,average,good,2,23710767,4,,good,4,ECE110,Good,10/29/2014,3,3.0,,5,Sorta interested,4.5,4.5,3,Yes,N/A,1112,Yes,,Not sure yet,,people,people
N/A,average,poor,good,0,23261350,2,,good,3,ECE110,"Prof. Minin is a great person and really seems to care about his students. His lectures seem slow and you come out confused sometimes, but his office hours are extremely helpful. Take advantage of his office hours for help, though Professor Haken is a better lecturer.",05/16/2014,1,1.0,,5,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,22129075,1,,good,4,ECE453,Came in at odd hours to help,09/19/2013,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,A,,person,person
N/A,good,average,good,0,21531064,1,,good,4,ECE453,"Had no problems during the lab, was very understanding and would stay later to help students.",04/13/2013,3,3.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,poor,average,poor,2,21390091,3,,poor,1,ECE110,"I can tell he is intelligent but his teaching, communication, and presentation skills are AWEFUL. He seems to be teaching ""on the fly"", as if he Didn't review the lecture before class. He uses the lecture notes of other teachers, which is very confusing. He is essentially teaching someone else's course. Very nervous when teaching and doing problems",03/06/2013,3,3.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
