attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,21829239,0,,good,5,CLCV111,"She's an awesome professor. She made classes fun and engaging. Thanks to her, I know a lot more about Greek myth than my own country's, and I ain't even mad. This class was a lot of fun. Too bad she's not teaching at U of I anymore.",05/26/2013,1,1.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21639877,0,,good,5,CLCV232,One of the best teachers I've ever had. She is very passionate about everything Greek and class is never boring. She is very connected to her students and is generally awesome!,04/30/2013,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21638857,0,,good,5,CLCV115,Great teacher. Every sentence she says in class makes a point. Extremely witty and knowledgable.,04/30/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21400175,0,,good,5,CLCV232,"Dr. Stewart is one of the best professors I have ever had. She is extremely passionate about what she teaches and she genuinely cares about all of her students. She always answered questions that any student had. I took my first class from her the last semester she was teaching, and I really wish I could take another class from her.",03/10/2013,2,2.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,21390492,0,,good,5,CLCV115,Hands down one of the most passionate professors I have encountered on this campus. She really is knowledgeable about Greek mythology and she has a great sense of humor as well as a spunky attitude. I am able to retain information extremely well during her lectures and am able to learn much about Greek myth. Thanks Shannon!,03/06/2013,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20803690,0,,good,5,CLCV131,Dr. Stewart is amazing. She is extremely intelligent and knows how to word things so they always make sense. She takes daily participation so you kinda have to go but she always makes class interesting and she has made the entire class laugh at least once every class period.  She is probably the best professor on campus!,11/08/2012,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20441549,0,,good,5,CLCV115,"Very good professor. She is very funny, witty, and dedicated to what she teaches. I enjoyed learning the things she taught and hearing what she had to say. She is VERY helpful. She is VERY nice. She is a VERY good explainer. Taking this class with her is definitely the way to go. I can't say enough good things about her. She's just a good person!",06/25/2012,1,1.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20312923,0,,good,5,CLCV115,Best Professor ever!!! Take her class and you will not regret it!!!,05/19/2012,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20225669,0,,good,5,CLCV111,"Excellent teacher, and very passionate about her subject. Very helpful overall, and the class is fun to go to.",05/08/2012,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19887033,0,,good,5,CLCV115,"Iclicker questions, so you have to go. But it was such an enjoyable class that I didn't mind going. She is incredibly clear about the content and what you need to do to do well in the class. Pay attention to what she says.",03/07/2012,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19145926,0,,good,5,CLCV231,"One of the best professors on this campus. She is so down to earth and funny. She grades leniently. She actually made the course material fun and interesting to learn so students are very engaged. No exams, 3 essays, and a few assignments,and participation. Writing this before registration starts so u know which course to take (this one).",11/02/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18451059,0,,good,5,CLCV115,Easy A. Study guide is exactly the same as the exam. Memorize it and you're fine.  I-clicker quiz on HW reading (easy). Iclicker quiz at end of lecture on what was just taught (easier). She's interesting and knows the material well. She actually went to some of the places she has pictures of and did archaeological work there,04/21/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18211013,0,,good,5,CLCV115,"So far, she's the best professor I've had here at Illinois.  Though some of her references to internet memes in lecture are a bit cringeworthy, she more than makes up for it by being incredibly upbeat and makes the subject matter of myth come alive.  This is despite lecturing in front of a full Foellinger Auditorium.",02/04/2011,2,2.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18104051,0,,good,5,CLCV115,"Really easy, interesting class. I highly recommend taking it. Make sure you go to lecture because iClicker points are a major part of the grade.",01/08/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
