attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,24788004,0,,average,3,IE410,"You have to know what you're getting into, but if you accept it you'll do fine. Tests are usually based off of homework or lecture examples, but still are very hard. Always attend class. Always. ALWAYS. Even when it's optional (which it always is). You can get crazy extra credit for attending certain ones. ",05/10/2015,4,4.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,good,poor,3,24684421,0,,poor,1,IE413,"Extra credit doesn't necessarily mean good. He gave a pop quiz for extra credit, up to 12% added to your final grade if you do correctly or 6%deducted.3 ppl out of 80 turned the quiz in.  Instructed the TA's to not help us with the final project during office hours. In general, you have to learn everything on your own.  ",04/28/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,B-,,people,people
N/A,poor,good,poor,3,24252375,0,,poor,1,IE410,"non-mandatory attendance is not really non-mandatory. he gave extra credit to people who attended after saying that the material will not be included in the final. really bad communicator, forms bitter relationships with students. if you do not do things his way, he will do his best to make the course a nightmare for you. not a very likable person.",01/08/2015,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,9,24135823,0,,poor,1,IE410,Really didn't learn anything from class.  Made the last 2 weeks optional and then gave out over 10% extra credit to the overall final grade to the few students who showed up.  One of the worst teachers I've ever had.,12/18/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,11,24091488,0,,poor,1,IE410,"Horrible. Holds grudges and forms bitter relationship towards students due to low midterm class average. If we failed your midterm, it means we need more help and guidance professor, not punishment.",12/15/2014,5,5.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,average,good,poor,11,24076625,0,,poor,2,IE410,"This professor is a child. He simply got really mad at how everyone did bad on the midterm and does not show up for class, so he just made up really childish punishments for people who dont show up. He penalized the people who didnt show up by giving out extra grades and letting people know about the index card in class. Needs to mature. Seriously.",12/14/2014,4,4.0,,1,Meh,1.5,1.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,poor,good,poor,11,24066484,0,,poor,1,IE410,"So basically, this class is a required class for the FALL semester for IE students, during your senior year. So basically, if you do not pass this course, you are most likely to take this class the next year, unable to graduate on time. Also, the tests are seriously difficult, without given partial credits. If you have this professor, then pray.",12/13/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,average,0,24060262,20,,good,4,IE410,"I personally think that this is not a hard course like everyone else complaining about. If you show up to the class and start studying two days before the exam, then exam is very straight forward, slightly modified from lecture note problems.  All you need to do is show up to lectures and take notes on what he says it will be on the exam.  ",12/12/2014,1,1.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,Yes,,A+,,people,people
N/A,average,good,average,8,24059998,0,,poor,2,IE410,"Toughest class I have taken! Confusing materials, unclear lectures and the exams are a nightmare! Material starts out being interesting but it becomes very difficult to grasp soon.",12/12/2014,5,5.0,,2,Low,2,2.0,1,Yes,N/A,1112,Yes,,Rather not say,,people,people
N/A,poor,good,average,6,19239190,0,,poor,1,IE430,"I think that IE310 as a prerequisite is not helpful at all. Professor explains as if everyone should know the stuff he teaches. Power point is the only thing he goes over, no other references. The book has no diagrams or whatsoever. The class doesn't teach you probability models. You just have to know all this before you take the class.",11/15/2011,4,4.0,,3,It's my life,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,19161453,16,,good,5,IE410,Great professor.  Funny guy.  Keeps topic interesting. enthusiastic,11/04/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
