attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,good,good,0,24693333,0,,good,5,PHIL412,"Professor Weinberg is one of the most amazing people I have met. I have learned a lot from that class, and her. Anyone seriously interested in learning a uniquely smart way of viewing philosophy should take any of her classes :) ",04/29/2015,4,4.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,0,20332746,0,,good,5,PHIL412,"Great Professor. The material was not exactly a walk in the park, but she does a wonderful job helping students understand. She is funny also. Enjoyed the course simply because of her, I could have done without Leibniz lol :)",05/23/2012,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20313174,0,,good,5,PHIL412,"Shelley is a wonderful instructor and I absolutely recommend taking her class. She is very reasonable when it comes to grading and submission dates. So long as you are invested in the course, she will be willing to help you succeed. Tells jokes in class all the time and always happy to be there.",05/19/2012,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18239731,0,,good,5,PHIL206,she's brilliant. awesome!!!! TAKE HER!!!!!!!,02/18/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17813041,0,,good,4,PHIL102,"Tough grader on homework, but the class isn't too bad. The lectures seem to mesh together since everything seems the exact same as the previous lecture. Second half of semester is very challenging. I kind of regret taking this class because I don't like thinking critically, but for others, it maybe be helpful.",11/23/2010,4,4.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,17664513,0,,average,3,PHIL102,"This woman is so funny! I feel like every lecture is her venting about her life to all of the students. She hates my class because we don't really do a great job of staying attentive, but it's pretty fun. As for the curriculum, I feel that i made a huge mistake taking this class, it is way too simple.",10/17/2010,1,1.0,,2,Meh,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16538767,0,,good,4,PHIL102,"This class was a lot of fun and really taught you how to look at argumentation. Beginning of the semester was really easy, but review often, because it gets a lot harder near the end. She takes attendance, but her pleasant awkwardness makes class fun and entertaining. I recommend this class.",12/12/2009,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16361817,0,,good,5,PHIL102,She's good and cares about her students. Plenty of energy.,11/12/2009,2,2.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15834677,0,,good,5,PHIL102,"She is harsh on papers, but she's really helpful and wants you to understand the materials. I feel it's hard to not like her class, at least students in our class all say they enjoy it a lot. Her first few weeks are easy, but it suddenly gets hard, be prepared, don't complain after you get bad grade on a paper!",05/14/2009,4,4.0,,4,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15828808,0,,good,5,PHIL102,"She is really nice and helpful, she inspires me to minor Phil!",05/13/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15406444,0,,poor,2,PHIL102,"She takes attendance for every lecture and discussion! There is not much work to do for the class but she wont give you A. The first assignment is misleadingly easy and from the second one on, she starts to give low grades. No finals, no exmas, but she(or maybe the TAs) is harsh on your papers.",01/23/2009,4,4.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14899142,0,,good,4,PHIL102,"I find her a great teacher.  She is living the life you would imagine a philosophy teacher to live.  This class has interested me in going into law, an unforeseen venture.  She selects great TA's too.",10/24/2008,3,3.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14510123,0,,good,3,PHIL206,My main criticism is that the class moves a little slow sometimes; we had to cut out everything on Kant. She tries to make things as clear as possible and wants students to understand the material. Overall I enjoyed her class a lot. To succeed in the class you MUST do the readings!,05/22/2008,2,2.0,,4,It's my life,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
