attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,21091041,0,,good,4,PHL105,"Good class. The lectures are kind of dull, but it's worth the points. The study guides are the actual exam give or take some questions. Furfills a gen-ed... TAKE IT",12/16/2012,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,21090993,0,,good,4,PHILPHIL,"Great class!The lectures can be dull, but it's worth going. He is a funny guy, and the test study guide was the actual exam, give or take some questions. Good class, Furfills a ged-ed, so TAKE IT!",12/16/2012,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,20504844,0,,good,4,PHIL202,"A very nice guy in general, and very knowledgeable about the topic and its downfalls/rough spots. The only assignments were 3 tests, which is good AND bad. Not many other points to pad your score if you don't do well on the exams.",07/19/2012,2,2.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20313385,0,,good,4,PHIL102,Easy and interesting class. 3 tests and 1 paper. Reading the book alone without going to lectures and discussions almost guarantees an A. Too bad only 8 absences were allowed. I wouldn't depend entirely on the ppt for tests. Depend on the book instead.,05/19/2012,1,1.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20298429,0,,good,4,PHIL102,"Good gen ed.He lets you skip 8 classes ""don't ask don't tell"" style, which sounds good, but you'll want to skip EVERY class. No required homework ever. Tests are easy, I studied only the powerpoints the night before without looking at any material previously and ended up with a B+ in the class. One easy 3 page paper. No final. Sorin's a good guy",05/16/2012,2,2.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19910362,0,,good,5,PHIL102,"Sorin is an awesome guy who really tries to go out of his way to help his students. He loves what he teaches and you can tell. Really easy A if you go to class and go over the slides before the test. No homework ever, just recommended. Course content is actually kind of interesting too if you pay attention. Perfect gen ed.",03/14/2012,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19734581,0,,good,5,PHIL101,"He is a really nice and very friendly guy.  I enjoyed the lectures and topics and the entire atmosphere of the class.  If you are looking for a relaxed class to cover interesting (at least to me) content, he is the guy to take this class with.  I wish all my gen eds were like this one.",01/16/2012,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19254970,0,,good,5,PHIL101,Fantastic professor.,11/16/2011,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18671394,0,,good,5,PHIL102,"Had good fun! Soren is a nice guy you have to show up and do your homework. The tests aren't hard, but you can make silly mistakes.",05/27/2011,1,1.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18581801,0,,good,5,PHIL101,"A great professor, interested in the material and not altogether boring. You don't have to attend every lecture, but make sure you go over the slides. A really friendly guy, always in a good mood. Grades based on a couple of exams and two papers. Philosophy writing is different than other forms of writing, keep that in mind.",05/11/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
