attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,poor,good,poor,0,26294147,0,,poor,1,ANTH242,"The guy is super smart but he cannot teach a class. His lectures often have nothing to do with the readings, he's vague, he rambles and has tangents, and his class has very little structure. Again, he's very passionate and intelligent, he's just not good at articulating his message or going out of his way to make the course easier for students.",04/14/2016,5,5.0,,1,N/A,1,1.0,1,No,N/A,1112,Yes,,Not sure yet,,people,people
N/A,average,average,average,0,18376541,0,,average,3,ANTH220,"Brilliant and has lots of great examples from his experiences working in Africa. It's unfortunate that he's not a very engaging lecturer. Exams are fair for the most part, but you need to study the book (which is pretty dull).",04/08/2011,2,2.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,18158174,0,,average,4,ANTH220,His teaching was a bit boring. I learned a lot more from the TA than from him. The exams aren't terribly hard if you study.,01/19/2011,2,2.0,,2,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17453287,0,,average,3,ANTHR120,he was one of the most boring teachers i have ever had. He knew a lot about the subject but the lectures were terrible. I would just read the book and download lecture slides. Do not go to lecture and waste your time.,07/27/2010,4,4.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,16677956,0,,good,4,ANTH102,"I enjoyed Prof. Ambrose in class. He speaks in a monotone voice, but if you listen to him he is rather hilarious. He tests off his lecture notes and they are really simple tests. He puts the slides online (without pictures.) Take this class if you are interested in the subject otherwise you'll be bored (not because of him.)",01/04/2010,1,1.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16596296,0,,average,3,ANTH102,"Dr. Ambrose is extremely intelligent but often gets way off course during lectures. Study off the lecture notes he posts online, they are WAY more concise than notes taken from his PowerPoints. There are only 2 multiple choice exams and they take 20 minutes tops. The lectures can be kind of dull, but the material is good. Take this, it's an easy A.",12/18/2009,2,2.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16299631,0,,average,3,ANTH102,"He really loves anthropology, but sometimes makes learning the information difficult if you DONT really love it.  He's pretty entertaining though, just because hes pretty awkward.  Hes a nice guy and will try to answer any questions you have.  You will probably learn more from the TAs in this class, than from the professor.",11/02/2009,3,3.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16219676,0,,average,3,ANTH102,"Very boring and quiet lecturer. He's a smart man, but not the best teacher.  He doesn't seem that friendly or approachable.",10/04/2009,3,3.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15086304,0,,poor,2,ANTH102,"Boring, boring lecture.  He is very knowledgeable but speaks in a monotone voice and dims the lights during lecture...that calls for NAP TIME!  Don't bother buying the book(s) -- you don't look at it once the whole semester!!",12/02/2008,2,2.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15075266,0,,average,3,ANTH102,"Lecture is boring, but he's pretty funny. It's hard to study because he gives no clues as to what will be on the test. Don't even buy the book.",11/30/2008,5,5.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
