attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,20815475,0,,good,4,RHET105,"Got a B on all three papers and an A- in the class, learning your mistakes on papers is very important to her.",11/12/2012,2,2.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20662617,0,,good,3,ENG109,"Steph is great. She is smart and funny.  She cares.  I've never liked english classes.  Assignments were frustrating because she doesn't tell you what to write.  by the end, i thought this was a good idea.  and she helps you with your ideas always. very glad i took this class.",09/26/2012,3,3.0,,4,Meh,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20631114,0,,good,5,RHET105,Miss Cherolis met with me every week to work on grammar.  I am an international student and she helped a lot.  She is a very good teacher.,09/06/2012,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,20169136,0,,average,3,ENG109,"DONT TAKE HER SERIOUS AT ALL. SHE NEVER COMES TO CLASS AND ALWAYS HAS AN ""EMERGENCY"". YOU WRITE YOUR 4-5 PAGE PAPERS ABOUT WHATEVER YOU WANT. SHE LIKES CLASSROOM DISCUSSION SO READ THE BOOKS. MIDTERM, FINAL PORTFOLIO & 3 PAPERS.",05/01/2012,1,1.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20052316,0,,good,4,ENG109,she is awesome. she is so chill and laid back and actually loves what she does. she helps you when you need it and is genuinely caring,04/15/2012,3,3.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19975259,0,,good,5,ENG109,"Loved this class.  First time a prof really cared. If you don't care, she won't.  Put in some effort and she will put in 10 times more.",03/30/2012,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19339434,0,,good,5,ENG109,"I thought the class was really interesting.  Changed my writing, but also how I thought about things.",11/30/2011,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,18054296,0,,poor,1,ENGL109,She made my semester a nightmare; barely ever responded to my and my classmates' emails saying she had never gotten them; she completely blew off our class. She'd give you a better grade if she liked you. I regret I didn't  pick another section.,12/28/2010,5,5.0,,2,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16766995,0,,good,5,RHET105,she's not helpful if your lazy.  she will put in as much effort as you do.  she cares alot if you do.,01/28/2010,4,4.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,16745397,0,,poor,2,RHET105,not so helpful and boring,01/21/2010,3,3.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16739230,0,,good,4,RHET105,She graded the essays pretty tough. Not sure I could have written any better to get an A in the class. She will help your writing though if you just ask.,01/20/2010,3,3.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16471417,0,,good,5,RHETRHET,she's tough but helpful.  i think it is hard to do poorly in her class.,12/04/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,16386470,0,,poor,1,RHET105,Hard on paper...,11/17/2009,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15741296,0,,good,5,RHET105,"she is great.  i looked forward to every class, and i'm an engineer who hates english classes.",04/30/2009,3,3.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15705920,0,,good,4,RHET105,love her.,04/24/2009,4,4.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15392824,0,,good,5,ENG109,"I agree with everything everyone has said.  Steph is great.  I didn't do good in the class.  She did everything she could to help.  I think she wanted me to do good more than I did!  I wish I could have put more effort in.  Her class is really interesting and like everyone has said, she is very cute.",01/20/2009,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15298819,0,,good,4,RHET105,"Good class.  Great TA.  She wants everyone to do well.  Just put in some efort.  Didnt think Rhet would be fun, but it was.  You will love Steph.",12/31/2008,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15013552,0,,good,5,ENG109,"She is a good prof.  She's fun, smart, and down to earth.  You will enjoy going to class and will learn a lot.  And she is gorgeous.",11/17/2008,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14984718,0,,good,5,RHET105,No Comments,11/12/2008,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14869144,0,,good,4,RHET105,"Steph Cherolis is really great. She really cares for her students, and she's a bit of a hippie. Consider yourself lucky to have her. To get a good grade, just show that you're trying and DON'T plagiarize. Also, sarcasm is appreciated by her.",10/14/2008,3,3.0,,5,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
