attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,average,0,19600201,0,,good,4,GEOL100,"This class was the biggest joke I have ever taken. I went to a total of about 6 lectures all semester, and got 98s on every exam. Attendance is mandatory for discussion section, but again the work was elementary. Literally we were coloring in rivers and fault lines. Altaner was a goofy dude. If you can take him, do it. Guaranteed A",12/22/2011,1,1.0,,3,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19553809,0,,good,5,ESE445,"Altaner is THE BEST professor on campus. He is funny, really intelligent, loves teaching, and makes class fun. Whoever says Altaner is hard or expects too much is too stupid for the U of I. Just go to class, pay attention, and you will get an A+",12/17/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19538541,0,,good,5,GEOL100,"His class was pretty easy. You can definitely tell he is passionate about geololgy. He tries to keep students interested with comic slides which is nice. As long as you attend lecture, pay attention, and take good notes, you'll do just fine in this course. The exams are harder than you might think But if you spend a decent time studying youre good.",12/16/2011,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19478857,0,,good,4,GEOL100,boring lectures,12/12/2011,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19408648,0,,good,5,GEOL118,"Its a really great and easy class. Doesn't test on anything that he doesn't say in class. Really no need to buy the book. Only a couple of really easy homework assignments, and a paper based entirely on your opinion, graded by other students. The tests weren't hard, but you will need to study if you want a good grade. Overall, great class!",12/07/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,19348151,0,,average,4,GEOL118,He tries to be funny with the jokes and little slides he shows and i feel bad because no one laughs and people always leave this class early. There really is very little homework and he gives you multiple tries and like a week to do it and there is one paper that is like 500 words at maximum. The exams you really need to study for though.,12/01/2011,3,3.0,,2,Sorta interested,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19344069,0,,good,5,GEOL100,"Remember the lecture notes word for word and skim over the discussion packet..you'll get an A guaranteed. He plays music before class starts, tell some jokes and show some nice far sides.The class is filled with video clips and pictures. Fun class. I wish the students were a little bit nicer they always leave early before he can finish.",11/30/2011,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,19318200,0,,average,4,GEOL118,This class is a joke. It seems easy but tests take studying and the 1 essay assigned has the dumbest grading process I've ever had the misfortune of partaking in.,11/28/2011,2,2.0,,1,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19262605,0,,good,5,GEOL100,"Not really the blow off class expected. While the hw load is light, you have to really study for the test and attend lecture because he says somethings that are on the test but not on the notes. Also, lectures are horribly boring, and many people fall asleep. At least he tries to be funny with his comics though.",11/17/2011,3,3.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19226358,0,,good,5,GEOL118,Love professor altaner! His farsides are adorable and he thoroughly explains everything. Final is non-cumulative. Light amount of homework. Don't need the textbook. Exams are easy if you STUDY,11/13/2011,1,1.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
