attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,14678356,0,,average,3,CLCV116,Bay really knows hold college students attention by including the interesting and sometimes gory parts of Roman history in his lectures.  The class wasn't a blow off class though.  There's a decent amount of reading for the course and you'll have to write papers as well as take tests so the workload is not that light.Pretty good course overall tho,07/22/2008,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13392962,0,,good,5,CLCV220,"Very friendly, easy to approach, helpful, and made class interesting.",08/09/2007,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11954893,0,,good,5,CLCV116,He makes the information interesting and easy to understand,05/30/2006,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11954198,0,,good,5,CLCIV115,He's sooooooooooooo hot. Love his bowties. His wife and kids are great too. Never knew how much fun mythology could be. I highly recommend Prof Bay for this class and any other he teaches.,05/29/2006,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11922784,0,,average,3,CLCV116,His lectures are interesting and taking good notes is imperative.  There are sort of a lot of readings.  The tests go over some specific details so they are pretty hard.,05/21/2006,4,4.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11882782,0,,good,5,CLCV115,"Worth coming to lecture for the bowties.  Interesting material, especially a powerpoint on nothing but ancient phallus'.  Good times. Take this class! Extremely easy to get an A-, but difficult to get an A.",05/13/2006,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11856130,0,,good,5,CLCV115,"Really cute guy, wears bowties and has an awesome vocabulary.  Class is easy if you do the work and it can actually be rather enjoyable.  A great guy, good class, easy A! Take  it with Dr. Bay",05/09/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11831556,0,,good,5,CLCIV116,I really wonder if he still wears bowties in the summer.  Hands down my favorite professor this year.  He's really funny and interesting to listen to.  Super easy if you go to class and look over the notes before the test.  Only downside were his annoying TAs.,05/05/2006,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11800300,0,,good,5,CLCV116,"Great. my favorite teacher. entertaining, wears bow ties, funny. take any of his classes",05/01/2006,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11678409,0,,good,5,CLCV115,BOWTIES. Take his class.,04/08/2006,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11637485,0,,good,5,CLCV116,"Great guy! Very funny and keeps you awake during class. Wears a bowtie everyday, ehich is wuite funny.  Exams are easy if you read the material.",03/30/2006,2,2.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11528119,0,,good,5,CLCV115,"I hear he is't as good a teacher as his siblings.  Doesn't want to be contentious, and the chucks, they HAVE to go, the bowties are alright, but not the chucks.",02/28/2006,3,3.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11401816,0,,good,5,CLCV115,"sooooo cute with his bowtie everyday, funniest prof ive had, such a nice guy, keeps u entertained during lecture, def need to take notes but he makes it fun and interesting, fav professor yet!",01/22/2006,3,3.0,,3,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11312733,0,,good,5,CLCV115,great and funny professor,01/06/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
