attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,13178047,0,,good,5,CHLH260,"Awesome professor, very friendly, funny, approachable.  One of the best classes I have ever taken at U of I.  Excellent professor.  Highly recommend taking the class and meeting him.",05/17/2007,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13040542,0,,good,4,CHLH244,"Who said he was hot&#63;  He's not attractive, but he's a great professor!  Dr. Notaro is the man!  He's so funny and he actually makes stats interesting!  I went to every class so I wouldn't miss his football predictions!  He is awesome and I would definitely take another class taught by him!",04/20/2007,2,2.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12720497,1,,good,5,CHLH260,Great,01/04/2007,1,1.0,,5,It's my life,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,12662959,0,,good,5,CHLH591,"Always funny, loves his students, GREAT teacher, and a snappy dresser!",12/21/2006,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12304451,0,,good,5,CHLH244,If you hate math like me don't let this class scare you away because the hw is easy and you get 4 pages to write notes on for the tests. I never studied and got an A.,10/22/2006,1,1.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12270603,0,,good,5,CHLH244,what a great class.  gotta love his quirky humor... he keeps things interesting and his exams (and homework) are pretty easy.  think 4-pages front and back of notes to take into the exam.  TAKE THIS CLASS!,10/06/2006,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12144753,0,,good,5,CHLH260,Such a good class!!,08/09/2006,1,1.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11981100,0,,good,5,CHLH260,"This class was great. Dr. Notaro is an awesome professor who is very interested in what he teaches, and it shows. Medical ethics is a class that makes you think about what health issues are going on in the world.",06/06/2006,2,2.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3717470,0,,good,4,244,"This class is very easy. He's an overall good teacher, his classes seem to be pretty easy.",04/26/2005,1,1.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3499270,1,,good,4,CHLH260,No Comments,03/24/2005,3,3.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,2928904,0,,average,3,CHCL260,"I thought he was a nice person and an ok teacher, but had a very wierd sense of humor.  His personality was a bit odd, but he was a nice man.",12/07/2004,3,3.0,,3,Low,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,2910477,0,,good,5,CHLH260,A very cool professor.  Ask a question on the midterm such as &quot;So what IS the class you are taking&#63;&quot;,12/04/2004,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2735151,0,,good,5,CHLH260,This guy is a ****.  Props to you dude.  You are the man.  Teachers don't get cooler than this.,11/15/2004,3,3.0,,5,Sorta interested,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
