attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,25131573,0,,good,5,JOUR199,"The readings could be complex, but he was great at making lectures interesting so I felt that when I left, I had a good grasp on the concept. Grades came from participation and oral debates. ",08/18/2015,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Mandatory,good,average,good,0,24635841,0,,good,5,JOUR199,"Steve is a great professor. He is very knowledgable on all the subjects we talked about, and they were very interesting. We just had 2 in class debates, an original speech at the end, participation, and a scavenger hunt as part of our grade. He's a very fair grader and it'll be an easy A if you put in the work.",04/21/2015,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A+,,people,people
N/A,good,good,good,0,21253806,0,,good,5,JOUR411,"I wasn't looking forward to this class because I had no interest in law, but Helle is so enthusiastic about it that he made the subject fun. Fantastic lecturer, I wish more professors were like him. Exams are challenging, but if you come to almost every class, pay attention and take good notes to study from, it will be okay.",01/13/2013,4,4.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19715560,0,,good,5,JOUR411,Prof. Helle is a fantastic professor who is passionate and knowledgeable about subject matter. He is everything a college professor should be. Please ignore the imbecile below with a negative post about Prof. Helle.,01/12/2012,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18916704,0,,good,4,JOURN199,"A really interesting class that really made me think. Professor Helle was excellent, and with a little bit of effort and decent research, this class is nothing to fear because Helle will help you out if you need it.",08/15/2011,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18172656,0,,good,5,JOUR199,Keeps students interested and is really good at explaining the material.,01/23/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17779892,0,,good,3,JOUR199,"Helle is a great lecturer, pretty engaging. Topics discussed were pretty interesting. He will call on people at random, so readings aren't optional. Tough but fair grader, he met with people who didn't agree with their grades and allowed them to discuss them. With decent research and speaking abilities, you'll be fine.",11/17/2010,3,3.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17402081,0,,poor,1,JOURN199,has no sympathy. I would not take this class because he made it stressful and puts pressure on you. strongly disliked everything about this class. very negative experience.,07/08/2010,4,4.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16633479,0,,good,4,JOUR411,"Great Professor. Very hard class, but he is very clear and engaging. He makes it a point to remember your name and will use that to call on you. Very fair grader, but tests are extremely difficult.",12/23/2009,5,5.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15669186,0,,average,3,JOUR411,Helle's class was pretty hard...there were only 2 exams (1 more is optional) and a small amount of participation. He randomly calls on the students so everyone is engaged. He is a great lecturer and is enthusiastic but the material is challenging. When meeting with him he was also a little rude. The exams are also curved big time.,04/18/2009,5,5.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
