attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,19247794,0,,good,3,ANTH102,"He doesnt put his slides online but uses A LOT of references to some of them, so make sure you go to class & take thorough notes. His lectures are extremely boring to sit through, unless youre really into anthropology. I wouldn't recommend this class but if you do take it, don't bother buying the book & make sure you know each hominin for the final",11/15/2011,3,3.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13661545,0,,good,4,ANTH102,He is fantastic and makes class fun to attend.,11/15/2007,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12991602,0,,good,4,ANTH102,"Awesome prof. He really listens to what you have to say and tries very hard to explain everything. His test was pretty easy, and it was mostly from his lecture and notes..",04/10/2007,1,1.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12576510,0,,good,5,ANTH102,"I actually enjoyed going to this professor's lectures!  He was funny, and kept things interesting.  Extremely clear and thorough - no surprises on the exams.  He'll even give out extra credit for attendance which is awesome!",12/12/2006,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12103043,0,,good,5,ANTH102,"He is the best anthro prof I've ever had and I'm an anthro major.  He is also the best prof I've had at U of I period, so if you're thinking about taking an anthro class for your major or a gen-ed, I highly recommend Steve Leigh.",07/25/2006,2,2.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,10585749,0,,good,5,ANTH102,The best teacher ever!,10/13/2005,4,4.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3248787,0,,good,4,ANTH102,"I really liked having Prof.Leigh.  He is an interesting prof. because he listens and CARES about what you as the student has to say.  He was my favorite anth prof. so far, and I would love to take another class with him.",01/19/2005,2,2.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2848778,0,,good,4,ANTH102,Not a typical professor because he IS interested in you and your thoughts throughout the lecture. Go to lectures...one of my favorite professors so far.,11/28/2004,2,2.0,,5,Really into it,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2480248,0,,good,5,ANTH102,"great professor, actually interested in teaching. he was even able to be helpful about my trip to belgium after i had the class last spring. one of the best professors i've had here.",09/18/2004,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,1448293,0,,good,5,ANTH102,"Great teacher and knows a lot about the subject. Warning: go to lecture, the midterm was unexpectedly difficult...",12/06/2003,5,5.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,962033,0,,good,4,ANTH102,No Comments,05/15/2003,4,4.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,936503,0,,good,5,ANTH102,No Comments,05/07/2003,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,936489,0,,good,5,ANTH102,No Comments,05/07/2003,2,2.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
