attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,1,25788621,0,,good,5,CHEM236,"He really wants his students to learn the material. He's a clear lecturer and will take student feedback to help everyone get the most out of class. He gives a lot of resources for you to learn outside of class if something was unclear. As long as you make an effort, the class is very manageable and interesting!",12/21/2015,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Mandatory,good,good,good,0,25490401,0,,good,4,CHEM236,"Dr. Zimmerman is by far one of the best professors I have ever had. He really cares about his students, even after we leave his class! The class it really tough and you have to work to get a good grade, but he will help in any way he can. I definitely recommend him to others! I would love to take his class again!",11/25/2015,4,4.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,A+,,people,people
Mandatory,average,good,average,1,25262771,3,,average,2,CHEM236,"You will never be prepared enough for his exams. In the total grade add up, there is no homework portion. Your letter grade is based on only quizzes and exams.",10/17/2015,4,4.0,,4,Really into it,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,person
N/A,good,average,good,0,24312627,0,,good,4,CHEM236,I like the way he teaches.,01/20/2015,3,3.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,good,good,0,24145224,0,,good,5,CHEM236,"Professor Zimmerman really cares about his students. He made prelecture video and lecture videos and he had two sets of office hours every week. He also had review sessions for exams. Lectures were engaging. For a high grade, it is important to know reactions, mechanisms, and stereochem. The grading was generous, with A82, A-80,B+78,B69,B-67",12/19/2014,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,average,good,1,24074165,0,,good,5,236,"Zimdawg deserves that title because he is top dawg. He provides pre-lecture videos, video lectures, his own hand written notes on top of his already amazing lectures that are perfectly clear. He has plenty of availability for questions and office hours. No homework; all grades are from challenging exams and quizzes with a generous curve. ",12/14/2014,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,Yes,,N/A,,people,person
Mandatory,good,good,good,0,24045314,0,,good,5,CHEM236,"Professor Zimmerman is by far one of the greatest professors I have ever had. His love for organic chemistry is clear and resonates in his teaching approach. He  provides all of the resources that are necessary to succeed (i.e. pre-class and post-class videos).  While organic chemistry is a difficult course, he clearly explains all topics. ",12/11/2014,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,good,good,1,23929858,0,,good,5,236,"Professor Zimmerman has been one of my favorite professors at U of I. He really cares about his students and teaching and it really shows. The class itself is difficult, but it you love chemistry it won't be that bad. ",12/02/2014,4,4.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,good,good,good,0,23928271,0,,good,5,CHEM236,Really puts in the effort to help students out.,12/02/2014,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,Yes,,Not sure yet,,people,people
N/A,good,average,good,1,23914035,0,,good,5,CHEM236,"Great professor who's very willing to help. Organic chemistry can be a hard subject, but Zimmerman explains things in a easy to understand and intuitive manner. The course itself had a generous curve and was very organized with video lectureslecture notes posted online. Not the easiest class, but very manageable if you put in effort.",12/01/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,average,good,average,1,23909820,5,,poor,2,CHEM236,"I'm a straight A student and I'm struggling in this class for a C. Goes over so many unimportant things in class and in recordings. Know the mechanisms, NMRs (for later), and you should be fine. Everything else he says, don't bother writing down, you won't need it. The only good thing about this class is that the curve is relatively generous. ",11/30/2014,5,5.0,,2,Meh,2,2.0,1,No,N/A,1112,Yes,,Rather not say,,people,person
Not Mandatory,good,average,good,0,23754184,0,,good,5,CHEM236,Prof. Zimmerman is extremely dedicated and eager to help. Extremely organized and has videos for every lecture. Material is hard but grades are curved so it's easy to get at least a B. One of the best professors I've had.,11/05/2014,3,3.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,A-,,people,people
N/A,poor,good,average,0,23604121,7,,poor,1,ORGO,"Hard class. Mediocre professor. I hate how sometimes instead of explaining or giving reasons, hes just like, you should already know that based on what you learned in gen chem. so it sucks if you forgot general chemistry material or if you didn't have the gen chem professor he's referring to. really fast paced class. get ready to work for it.",09/20/2014,4,4.0,,3,Low,2,2.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,good,average,good,0,21109157,0,,good,4,CHEM237,"Zimmerman did a very good job teaching about laboratory techniques. I enjoyed his anecdotes about his experienced in the lab and his overall laid back lecturing style. Exams and quizzes were pretty much all or nothing with almost no partial credit, which was one of the only downfalls of the course.",12/18/2012,3,3.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19738018,0,,good,4,CHEM236,"Fun and good professor.  orgo is hard, but he gave us clear and organized notes. he did talk about the history of some chemistry, which was interesting.  he definitely cares about his students.  =)",01/17/2012,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,19196790,4,,poor,2,CHEM236,He is a nice guy but is not a good teacher. He goes over unimportant things like the history etc. but does not go over explanations. He almost never explains mechanisms and sometimes gets them wrong. It is desirable to reason through mechanisms because there is a lot of material. He does not give the theoretical background to do this though.,11/09/2011,3,3.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,16260380,2,,average,3,CHEM236,So far he's pretty good,10/21/2009,5,5.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
