attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,average,0,26483677,0,,average,3,IB302,"Really cool guy. I'd love to have him as a cool uncle, but as a lecturer he gets off-topic a lot and sometimes under-explains the material, which makes exams difficult. It's easy to space out in his lecture, so find a way to stay focused & take notes.",05/05/2016,3,3.0,,3,N/A,3,3.0,1,No,N/A,1112,Yes,,B,,people,people
Not Mandatory,poor,average,poor,0,22546169,0,,poor,1,IB372,"While he seems like a generally nice person, he's the kind of guy who would make a better uncle than a professor. His lecture slides are filled with incomplete thoughts and unlabeled diagrams that haven't been updated for years. He is unable to answer questions about the content. He will usually talk about something completely unrelated.",12/13/2013,2,2.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,A-,,people,people
N/A,good,average,good,0,19003159,0,,good,4,IB372,"He is a fantastic person, and more importantly for this a great teacher! I loved being in his class, I even loved his stories that seemed to be a little unrelated but were nonetheless something I looked forward to. Does his own thing and is brilliant for it!",09/15/2011,3,3.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18405633,0,,good,5,IB302,"This guy is AWESOME! He is super excited, always cheerful, goofy, and fun. Very few professors can keep my attention for an entire class, but this guy can do it no sweat. I wish I could hire him to be my uncle :P",04/13/2011,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15784605,0,,poor,2,IB302,"Berlocher is one of the most incoherent professors I've ever had.  He rambles about nothing, and the material he expects you to know for the test is not even covered in his lectures due to his rambling.  Avoid any class he teaches!",05/07/2009,4,4.0,,1,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14860387,0,,good,4,IB302,He is an awesome teacher--very excited about the subject matter and tries to be creative.,10/09/2008,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,13393083,0,,poor,1,IB201,Do not take his class if its over an hour at a time.  He's never taught a class longer than an hour and overestimates 20 more slides to his lecture than he needs.  Slidenotes offer no help.  Luckily I didn't go to class. Class was so boring I wanted to rip my eyes out. I love biology too thats what makes this so sad.  No wonder they got rid of 201.,08/09/2007,3,3.0,,2,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12538446,0,,average,3,IB150,"Professor knew most of the material, but could not answer easy questions about his lectures on a few occasions. Read straight from the powerpoint, and mumbled constantly. He also wore old shirts and jeans which made him look VERY unprofessional while lecturing a huge class.",12/06/2006,2,2.0,,2,Really into it,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,average,0,12531305,0,,poor,1,IB150,"Really spacey. Notes are online, don't need to go to lecture but tests have alot of questions that don't follow the lectures. Had a hard time following this guy.",12/06/2006,3,3.0,,3,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12458262,0,,poor,1,IB150,Hard to tell what is going to be on his tests.,11/21/2006,3,3.0,,2,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12382226,0,,good,5,IB150,"I like how things we need to know for the tests are on the lecure outline. Although he might be boring sometimes, overall he knows his stuffs very well and he's a good professor",11/08/2006,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10917297,0,,average,3,IB150,"hes very spacey and mumbles a lot. reads directly from the slide show which is online. i never went to class cause it was so boring. hes a smart guy, just cant teach too well.",11/15/2005,3,3.0,,3,Really into it,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10678444,0,,average,3,IB150,this guy is a joke. i dont know how anyone can find this stuff interesting.,11/01/2005,2,2.0,,3,Low,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,10664441,0,,poor,2,IB150,"Rambles all the time and mumbles.  On the flip side, his lecture is really easy, there is no point to going to class, just read the chapter and look at the lecture notes",10/30/2005,1,1.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,10466127,0,,poor,1,150,he has a habit of getting off subject easy and doesnt talk to loud. reads right off his own slides that are provided online. so hes extremely boring. just read the lecture notes online and dont bother going to class,09/30/2005,3,3.0,,2,Really into it,1.5,1.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10223410,0,,good,4,IB150,"Pretty fun guy to have as a lecturer.  Kind of spacy but still good.  Don't worry about what others say below concerning falling behind in notes and whatever, class is very easy.",09/09/2005,2,2.0,,4,Sorta interested,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,10067038,0,,poor,1,IB150,sucks,07/27/2005,4,4.0,,1,Sorta interested,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,3940863,0,,good,4,IB150,"i thought his lectures were a little boring, but he made it fairly clear what would be on the tests, which were easy",05/30/2005,1,1.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
