attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,poor,poor,0,16572265,0,,poor,2,MATH103,Horrible Teacher. She is leaving this year thank goodness. Had to email her to correct many wrong answers on the review. TA's are much more helpful!!,12/16/2009,1,1.0,,1,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,16313804,0,,poor,2,MATH117,She makes Elementary Math harder than it has to be.,11/04/2009,3,3.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,16244375,0,,poor,1,MATH103,"She's just not good at teaching. And she doesn't know much about math, either, at least not enough to be a college professor. People often ask her questions and if she doesn't know the answer, she spends 20 minutes trying to figure it out! Also, completely UNREACHABLE. She admittedly doesn't respond to emails or phone calls. Good LUCK",10/15/2009,2,2.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,15848066,0,,poor,1,MATH103,I have never had a worse teacher in my entire life! its probably mandatory for you to take this class if ur in the college of ed but seriously whenever she has a question on the review packet and then she goes over it make sure you ask her verbatim what she will give points for.... HORRIBLE TEACHER! fairly easy class that she makes kinda difficult,05/15/2009,3,3.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15823529,0,,poor,1,MATH117,I feel sorry for anyone taking any class with Sue. I'm taking math 117 and it basically is to teach you how to teach children math by relating it to things they understand(Sounds fun and easy)........my thoughts exactly however Sue is a HORRIBLE explainer and I would feel sorry for any kids she had to teach!,05/12/2009,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,15260564,0,,poor,1,MATH115,Horrible teacher. Can't teach to save her life. I had to go to a different Lecture because she couldn't explain a thing. Worst teacher of my college career thus far.,12/22/2008,4,4.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,15222551,0,,poor,2,MATH115,Worst college teacher I've had. She doesn't know the materail so don't bother asking questions. I learned all of the material from the book.,12/17/2008,4,4.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15215205,0,,poor,3,MATH117,"The class is pretty easy and the review packets are really helpful... Her TA's, at least the one I had, kinda sucked so try to get on their good sides or else you're not gonna get an A. Also, recheck your test points because a lot of times they don't add them correctly and you wanna make sure you get all the points you deserve.",12/16/2008,2,2.0,,1,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15198338,0,,average,3,MATH117,Not very helpful at all. Had no idea what she was teaching.,12/15/2008,2,2.0,,2,Low,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,14429023,0,,poor,2,MATH100,"Doesnt teach very well, but class material was easy enough if you know some math. Students correct her too much for being a professor in math and teaching a lower level course. She takes forever to answer emails. I entered the class late and couldnt do the first assignment so I emailed her to excuse it. Still hasnt as of the day of the final.",05/08/2008,2,2.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,poor,poor,0,14391099,0,,poor,1,MATH117,"I took her for both math 103 and 117 and she is the worst teacher. She knows absolutely nothing about math. Luckily the concepts are easy to grasp and you don't even need a teacher to teach you. The Ta's are better than her as are the students in class, they constantly correct her and she makes simple mistakes. I got an A but she is just horrible.",05/02/2008,1,1.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
