attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,average,0,24637924,8,,good,4,ACCY201,professor curtis is pretty nice over all. She might make you think the class is hard but you will end up with a good grade. She is not tricky at all compare to the accy 202 professor. accy 202 exams are not accy exams but more like IQ tests      ,04/21/2015,2,2.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,Yes,,A,,people,people
N/A,poor,good,poor,17,24391214,2,,poor,1,ACCY201,"She doesn't explain anything clearly. Her ""lectures"" are basically 1hr of her goofing off and less than 20 minuts of ""learning"" if you can call it that. She wears her student's failures as a badge of pride and won't stop telling you how you will fail. She really doesn't know how to teach at all. Please Do NOT take her if you have a choice.",02/17/2015,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,average,average,1,24313443,0,,average,2,ACCY201,"Lectures are not clear but the examples are helpful, get the notes; if interested in ACCY, do the projects; tests are easy but still requires good understanding; tutors are helpful; she is willing to answer all of your questions but u may still get confused; little EC; not so terrible as others said; 2nd textbook is necessary, 1st is useless",01/20/2015,2,2.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,person
Not Mandatory,poor,good,poor,4,24103682,1,,poor,1,ACCY201,"Worst class I've taken at U of I in my three years here. Classes are NO help and she has a foul personality. Prepare to get kicked out of class a few times, get lectured on how poor of students you are, but never really learn much. I love accounting, but this class really turned me off. ",12/16/2014,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,person,people
Not Mandatory,average,average,average,0,23982736,2,,average,3,ACCY201,easy exams at least  ,12/08/2014,2,2.0,,2,Really into it,2.5,2.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,3,23700316,9,,good,4,ACCY201,"Having taken her class and was one of her TAs, I have to say: you'll be grateful for her later on. Her class is a college class, and a lot of people aren't used to it. You have to be 100% prepared for her class, that's not optional, you'll get more help when you know the right questions to ask, and that's only if you come prepared",10/27/2014,1,1.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,poor,good,poor,5,22999365,2,,poor,1,ACCY201,"If I could give zeroes, I would.  Absolutely the worst teacher ever.  Really does not care about her students or their learning accounting at all.",04/07/2014,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,22835681,8,,good,4,ACCY202,I think she was a very interesting professor who loves to teach.  Throughly enjoyed her lectures :),02/11/2014,1,1.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,2,22743017,0,,poor,1,ACCY201,"She knows what she is talking about, but is very confusing when trying to teach. The exams we're just tricky and unfair.",01/13/2014,5,5.0,,2,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,7,22687903,0,,poor,1,ACCY201,"Heard how bad she was, but didn't believe it until I took her class....",01/02/2014,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,8,22652228,1,,poor,1,ACCY201,"For those of you who said that she is interesting, you need to see a doctor.  I must say that she is one of the worst professors in this university.  I learned more about accounting in my high school accounting than this class.",12/24/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,3,22370477,1,,poor,3,ACCY201,The lecture is not efficient but the exam are very tricky. I mean exam is not hard but annoying! She wastes a lot of time in the lecture.,11/22/2013,5,5.0,,1,It's my life,2,2.0,1,No,N/A,1112,N/A,,N/A,,person,people
N/A,poor,good,poor,4,22303443,1,,poor,1,ACCY201,Absolutely worst professor ever. I had not taken two parts exam since I took this class. You have to buy all three books which will cost you like nearly 200 bucks.,11/12/2013,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,person,people
Not Mandatory,good,poor,good,3,22287654,10,,good,5,ACCY202,"Solid professor right here. She could be a little more professional and a little more technical and she could make the class a little harder, but all in all, she actually teaches you accounting. The same can't be said for Shapland. Curtis did a good job helping me understand how accounting worked in a very quick, succinct, and helpful manner.",11/10/2013,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,A,,people,people
N/A,average,good,average,4,21855198,0,,poor,3,ACCY201,"Overall, this class was terrible. Not only does she expect you to put in 15-20 hours a week for this class, but she gets mad when you ask questions she doesn't see as valuable. Her projects are sprung on you at the last minutes. The TAs are awesome, though, and are willing to help. To do well, you need to do well on all of the quizzes and projects.",06/02/2013,4,4.0,,1,Low,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,21796836,0,,poor,2,ACCY201,"Well, tests can be difficult, she is very energetic at times to say the least. TA's are awesome and are willing to help which helped me get through the class. Projects are group but are also a pain. Ultimately, she expects you to know a lot before even starting the class. Class not really curved, so extra credit is probably a good idea",05/20/2013,3,3.0,,1,Really into it,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21789276,0,,poor,2,ACCY201,"The material is not hard at all, but she does make the learning process slightly frustrating. Don't lose points on online quizzes and tests, and you should get an A without a problem. Oh yeah, do your extra credit.",05/18/2013,2,2.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
