attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,average,0,18564044,0,,average,3,MATH241,"She got handed the &quot;Mathematica&quot; program so at first she had no idea how to properly teach the course material using the software, got better by the end and office hours were a godsend. She was good at explaining but not so good at organizing. At least the tests were easy...",05/09/2011,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17563237,0,,poor,2,MATH245,"I got a 5 on my Calc AP in high school, so I figured Calc 2 wouldn't be that bad. This lady would write an equation on the board, solve it explaining it with only declarative pronouns (&quot;You do this, then you do that, and you get that so that means that.&quot;) and students laughed until they realized she was being serious. Gave up on this broad.",08/31/2010,3,3.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14628514,0,,average,3,MATH402,"She's pretty good. Homework got a bit out of hand, but a good teacher. I learned more about proofs in this class thank I did in Math 347 w/ Merenkov",07/01/2008,4,4.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14608106,0,,poor,1,MATH231,"Absolutely terrible, she wouldn't have an idea what she was doing in class.  I'm fairly familiar with mathematical background, but between her and the TA's, U of I's math department needs a massive overhaul to improve on its academia standpoint.  People who say she's good are the people in advanced classes and/or took the class already.",06/23/2008,5,5.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14573794,0,,good,5,MATH401,Excellent Teacher,06/10/2008,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14256393,0,,good,4,MATH402,"She is very good with geometry, and her class was reasonable and fair.  She is good at explaining things and coming up with examples.  As long as you show up to class and take good notes, you will do well in her class!",04/07/2008,2,2.0,,4,Really into it,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,14255805,0,,poor,1,MATH231,Ugh... horrible teacher. did not know what she was doing.. didnt explain things well and her students laughed at her because she just really didnt have a clue,04/07/2008,5,5.0,,1,Low,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13990534,0,,poor,1,MATH231,extremely hard to figure out what she's trying to teach. she's disorganized like no other and has terrible writing.,01/13/2008,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,13702225,0,,poor,2,MATH231,She's probably the worst teacher ever. This is tough stuff and she can't teach it. I used to go to lecture everyday & recitation everyday and then I just stopped going and went to tutoring and my grades improved dramatically. You know a teacher is bad when she has to break the department syllabus due to so many people failing her class.,11/26/2007,5,5.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,4032294,0,,average,3,MATH,She is just an OK teacher.,06/25/2005,3,3.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
