attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,26145364,0,,good,5,PHIL202,"He really knows what he's talking about and can easily clear up any confusion about the material. Attendance isn't graded, but I recommend going. I never did the practice problems or read but got As on all the exams just by taking notes in lecture. Professor McCarthy is not the most dynamic lecturer, but he's a sweet guy and lowkey kinda funny.",03/15/2016,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
N/A,good,poor,good,1,21091579,0,,good,5,PHIL220,BEST TEACHER EVER. And best class. super easy and fun. HAVE to take at least one class with him during undergrad.,12/16/2012,1,1.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,20794546,0,,good,5,PHIL202,"I'd never had a logic class before and I am  hopeless at math, but he made it really easy to understand.  Sure, most people won't use this stuff in the real world, but for those of us who need it for Grad work or LSAT prep, it's a good choice.  He's very smart and very helpful. Go to class and take notes and you'll do fine.",11/07/2012,2,2.0,,5,Meh,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18378229,0,,good,4,PHIL454,This is one of the best classes I've taken at U of I. Prof. McCarthy is a brilliant man and this class just blows your mind. Couldn't ask for a better professor.,04/08/2011,3,3.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,16319847,0,,good,5,PHIL102,Easiest class ever taken on campus! he was one of the nicest profs. really enjoyed being in his class. you basically just need to attend lectures to be able to do the quizes without having to study much.,11/05/2009,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14726174,0,,good,4,PHIL102,"Some may disagree, but I found him to be a very strong professor. You pretty much need to attend every lecture and jump on help (discussion, office hours) immediately if you find yourself falling behind; being a week or two behind the curve will not cut it. Otherwise, not a particularly hard class.",08/08/2008,2,2.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,1,14006630,0,,average,4,PHIL102,"whether or not u will like this class depends on u, I loved it.. He teaches the principles of logic in a mathematical approach... if u like to learn through abstract principles then u will like this... but if are rather use really life situations and want it to be applicable the take the LD",01/15/2008,2,2.0,,2,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,poor,good,poor,2,13602218,0,,poor,1,PHIL102,This class was not what I expected.  It was just a lot of unecessary stress and frustration.  Overall the grade is curved a ton because pretty much everyone does bad.,11/05/2007,4,4.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,1,13591278,0,,poor,2,PHIL102,"Really disliked the class.  Nothing we have learned will ever be applied.  Basically, its a waste of time.",11/02/2007,5,5.0,,1,Low,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,13012122,0,,good,5,PHIL102,"I only had him for intro to logic, but it's clear that he is a professional logician.  Was able to elucidate first-order logic accurately and comprehensively, and constructed exams in a way that followed suit with his lectures.",04/14/2007,1,1.0,,3,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11744427,0,,average,3,PHIL102,Pretty good with his lectures.  Good examples.  Make sure you learn from the very beginning because it all builds on each other.  Some quizzes and tests came out of nowhere while others were easy.,04/21/2006,3,3.0,,3,Low,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,10568095,0,,poor,2,PHIL310,"A man with passion towards his subject. However a number classes ended with the students dumbfounded and confused. Students recieved their mid-terms graded, the day of the final, and there were two grades in the class.",10/09/2005,3,3.0,,2,Really into it,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,1,625370,0,,good,5,PHIL102,very good.  You will know what a deductive argument is for the rest of your life,02/24/2003,2,2.0,,4,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,person
