attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,0,25527896,0,,good,4,HIST142,"Lectures were interesting. Waaay too much reading for a gen-ed 100 level class. Have to go to lectures because of pop quizzes, but they're not hard. She's a good professor who was able to keep students' attention.",12/02/2015,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,22777688,0,,good,5,HIST142,Very good. Very fun. Knows her stuff,01/21/2014,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,C-,,people,people
N/A,good,average,good,0,21716619,0,,good,5,HIST142,"Professor Chaplin is one of my favorite professors at U of I so far. Even though her class was a gen-ed, she treated all of her students fairly and engaged everyone during discussions and lectures. The lectures were usually interesting and fun due to her stories and style of teaching.",05/09/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21477890,0,,good,4,HIST455,"The amount of reading is insane, but the class itself is intellectually amazing. You will learn so much, you won't know what to do with it all. Class discussions are stimulating and some of the most engaged and thoughtful I've experienced. Challenging, but rewarding, class.",04/02/2013,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,21325249,0,,average,3,HIST142,"Typical professor in a large lecture course. She wasn't the greatest and the reading expectation on top of the section readings were completely unnecessary. Class was easy, but lectures were not interesting and made mandatory by pop quizzes.",02/06/2013,2,2.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21219787,0,,good,5,HIST142,She is hard and very straight forward but she waits and works with you until you get your facts right. Or she'll be the one to encourage you if she's learning something new herself. Very attentive even in a huge lecture class of 300!,01/07/2013,3,3.0,,4,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20599286,0,,good,5,HIST200,Dr. Chaplin is a wonderful professor. She cares so much about her students and wants them all to do well. She is quite demanding but in return she makes the material come alive in discussion. I would take any class for which Dr. Chaplin is the professor.,08/23/2012,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19457792,0,,good,5,HIST142,"I took 140 last spring, and this is WAY better. Her syllabus/course is fair. Her lectures are really good and focus on one aspect of the time period rather than cramming it all in there. Shes very enthusiastic and passionate about her material. I recommend taking 142 w/ chaplin for your west. civ gen ed/requirement(if your hist major)",12/11/2011,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19060255,0,,good,5,HIS142,Knows her stuff. Kinda boring class but it's what you need to know about the subject,10/11/2011,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19010983,0,,good,5,HIST455,"Professor Chaplin is a great teacher!I've only been in her class for a couple weeks.But she's great.She works with us, gets to know your name, leads great discussions & gets you involved in the discussion. And she def. seems like one of those teachers who actually cares.  She also explains everything that isn't understood & makes it seem personal.",09/20/2011,3,3.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
