attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,0,17912382,0,,poor,1,MATH241,I had to stop attending lecture half way through the semester because I realized that I actually get stupider when I listen to him. He confuses you and makes you believe you don't know any math.,12/11/2010,5,5.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17880864,0,,average,3,MATH241,"You will learn a lot from Carty. Unfortunately, his class doesn't depend on how much you learn. In this class, it doesn't matter how much you study. What matters is how poorly the rest of the class does. I went into one exam expecting a high A. I got a 50%. The curve was 26%. If you have him, good luck, and get ready for a bad semester. Sorry.",12/07/2010,5,5.0,,2,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17839736,0,,poor,1,MATH241,If you take calc III with Carty you are on your own. Good luck.,12/01/2010,4,4.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17739459,0,,good,4,MATH241,"Carty will make you work for whatever grade you get. That said, by having you put in the work, you take it on yourself to learn the material. Active listening a must. In his office hours, he's just  a normal guy and will try his hardest to help you learn. I think he's funny",11/07/2010,4,4.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,17735681,0,,poor,2,MATH241,I had a situation occur that required immediate attention so I missed class for about two weeks. I went to Carty for help and he was absolutely no help. He was focusing on the fact that I missed class (even though he had an excuse letter from the Dean) rather than helping me catch up in class. I can confidently he was a complete jerk. Had to drop.,11/06/2010,3,3.0,,1,Sorta interested,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,17723113,0,,poor,2,MATH115,"Carry is HORRIBLE. He uses the most useless examples in class that do not help you with the unnessicarily hard homework. Tests are also rediculous. He thinks he's funny & makes u feel stupid if u don't understand something. DROP now, it a waste of valuable time.",11/03/2010,5,5.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17659032,0,,poor,1,MATH241,Is SO unhelpful... had to drop the class because I was failing and wasn't getting anything out of his lectures. He teaches in the most complicated way and gives the most complicated problems for homework and tests. DO NOT take a class with him...,10/14/2010,5,5.0,,1,It's my life,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17641478,0,,poor,2,MATH115,Yells too much and will insult you if you don't say anything. His examples are confusing. Only reason I passed the first test was because I took pre-calc already.,10/08/2010,5,5.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17622562,0,,average,3,MATH241,Why didn't I switch teachers when I had the chance&#63;!&#63;!&#63;  Don't be a fool.  If you care about getting a good grade in Calculus III just take a different teacher.,09/29/2010,5,5.0,,3,It's my life,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,17570373,0,,poor,2,MATHMATH,"Carty is a decent teacher.But his personality is so...The rudest professor I've ever seen.You'll find out if you dare to piss this man off.Attention!ASIANS!This dude definitely hates Asian guys.Based on what I saw, the students caught cheating by him were all asian.And I'm sure that some of them were innocent.But it's Carty,get used to it.",09/02/2010,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17566810,0,,good,4,MATH241,great guy kind of an ass but still great guy one of the few non-researchers who teaches and loves to do it,09/01/2010,5,5.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17548960,0,,poor,1,MATH241,"The civilized world does not possess the vernacular to describe how truly BAD this man is as a teacher.  All that comes to mind is... Vindictive, sadistic, rude, trash, bulbous, cruel, tyrannic, hypocrite, and several &quot;%$#@ing&quot; other words.    Not worth the chalk he wastes scribbling incoherent symbols on the board with.",08/25/2010,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17548921,0,,poor,1,MATH241,THE WORST THAT MATHEMATICS AS A WHOLE HAS TO OFFER!!!!!  PERIOD.,08/25/2010,4,4.0,,1,Really into it,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,17511033,0,,poor,1,MATH241,Apparently he's under probation for failing so many kids last year. I guess that gives a good picture of how he is as a teacher.,08/13/2010,5,5.0,,1,Low,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,17451125,0,,good,5,MATH241,&quot;Tough but Fair&quot; is the best phrase to describe his classes.  He is not like any other math professor I've ever had... that's a good thing.,07/26/2010,5,5.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,good,average,0,17376330,0,,average,4,MATH241,Don't let his jovial attitude fool you.  Carty is a hardass and a ****bag when you need him to &quot;be cool&quot; the most.  And I only save the d-word for very special people.,06/29/2010,5,5.0,,2,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,17304795,0,,good,4,MATH241,"If you skip going to lectures and discussion sections, and  skip doing homework you will fail. He requires effort. He has a different teaching style from most math teachers because his class isn't cut'n'dry since he uses creative examples and humor. Everyone typically fails his 4th exam (Greens, Stokes, et cetera) so do not worry too much about it.",06/05/2010,4,4.0,,4,It's my life,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17215996,0,,average,3,MATH241,"The class in itself is difficult, but I don't think he is that bad of a teacher. He uses creative examples to explain the concepts. His test can be extremely difficult though.",05/17/2010,4,4.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,17184537,0,,poor,2,STATS101,this is the worse teacher ever. the homework is so hard. i went to every class and office hour and it is still HARD. TAKE A DIFFERENT TEACHER!!!,05/12/2010,5,5.0,,2,Really into it,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,17147826,0,,average,4,MATH241,HE THINKS THAT HE IS VERY GOOD LOOKING.. HIS HAIR LOOKS LIKE SQUIRREL... he might as well make his own textbook because he teaches things not in textbook but he is too lazy to do it n his excuse was that he wants to give students different perspective of calc... it would be helpful to math nerds but half the class are desperate enginerds...,05/07/2010,5,5.0,,2,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
