attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,24895608,0,,average,3,CS101,"CS 101 is generally many people's first CS class ever, and in my opinion, it could be taught more effectively. The attitude I got from Gambill is that ""if it ain't broke don't fix it"". Teaching CS is hard, but it doesn't help when you have a teacher with a bad attitude. Tests are weighted way too heavily and are not curved at all (midterm 2 is 40%)",05/24/2015,4,4.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,poor,good,poor,0,24844975,0,,poor,1,101,"Probably the worst lecturer on the planet...I mean the guy's funny in an awkward sort of way but lectures are completely useless. MP's are very easy, labs as well however, the tests are difficult. This is also a hard class to study for. Unfortunately if you have to take cs 101, this is the only guy who teaches it. ",05/16/2015,4,4.0,,1,Meh,1,1.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,average,0,24788272,0,,good,4,CS101CS357,"Homework is easy when you put in the time. Projects are easy when you put in the time and go to office hours. Lectures are usually not helpful, especially when his slides are so detailed and placed online; I stopped going part way through the semester. ",05/10/2015,3,3.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,Yes,,A,,people,people
Not Mandatory,poor,good,poor,0,24782316,0,,poor,1,CS101,"His lectures were useless and boring, and his tests were impossible",05/08/2015,5,5.0,,1,Meh,1,1.0,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,average,poor,2,24134423,0,,poor,2,CS101,"Lectures were absolutely useless - get a friend or the textbooks to explain it better for you because he doesn't really care about your grade. Go to MPs and labs because that's where you learn  everything in the class. Stutters and can't really make coherent sentences. Also is an arse on emails., and don't ask him about bumps because he'll troll ",12/18/2014,3,3.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,good,poor,good,0,23514644,0,,good,5,CS101,"Tests are easy if you go to lecture, but a lot of kids skipped because he is a bit boring. MP's can be difficult, but if you start early there are lots of help opportunities. No need to show up to labs if it's far away for you; just do them on your laptop. Not a remarkably good professor, but probably a 4/5.",08/09/2014,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,1,22615253,1,,good,5,CS101,"Lectures are vital to learning. No textbooks required, but the slides are a good purchase.  He's a pretty funny guy if you're sharp enough to notice. I knew nothing about programming and I got an A+ with minimal effort.  Just start the MPs early and you're good. Exams test how deep your knowledge is. Final is not cumulative. Extra credit galore.",12/19/2013,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,person,person
N/A,good,poor,good,0,22065536,0,,good,5,CS101,Lectures cover things at a very basic level. Exams are simple if you take your time and work out each problem even if it looks like the answer is obvious. The hardest part of this class are the MP assignments.,08/19/2013,1,1.0,,4,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21993834,1,,good,5,CS101,"Pretty solid professor. Has kind of a dry sense of humor. Very laid back and doesn't really care so long as you do your work. That being said he grades unforgivingly so always use the checker programs. I recommend taking it in the summer, its easier than during the year.",07/24/2013,2,2.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,poor,good,0,21249096,0,,good,4,CS101,"Class is an easy A. All the assignments and MPs are spoonfed with directions. The professor makes lectures fun with humor. The content was clear to me, but I could see that others were confused because he used sarcasm a lot, and they didn't realize it. I highly recommend!",01/12/2013,1,1.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21015937,0,,good,5,CS101,"Great class and teacher, but the projects were a little hard.",12/10/2012,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20374425,0,,average,2,CS101,"He's a great guy and good at answering questions; he's funny in a nerdy kind of way (he taught recursion with Dr. Seuss). But I just couldn't stay awake in his lectures. I learned the most when I read the book on my own. The class was pretty easy, but it took a bit of work. You can check your grade on the MPs before you submit them, which is nice.",06/02/2012,2,2.0,,4,Really into it,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,good,0,20247623,0,,good,3,CS357,"Really GOOD and nice Professor, and his class is easy, and very easy to get an A, or even A+, so choose his class!",05/10/2012,1,1.0,,5,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,19643704,1,,average,3,CS105,"Good teacher overall, difficult class. He tries to make it fun with jokes. Sometimes he can go a little fast in lecture (def go to lecture). Discussions were helpful at times, depending on what we were on. TAs help a lot on MPs so don't hesitate to go. The only book I would def get, besides the lecture notes book, is the VBA book.",12/30/2011,4,4.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,19353378,0,,good,5,CS105,One of my favorites teachers.  He somehow managed to make computer science enjoyable and even funny at times.  I would highly recommend taking his class if you have the option.,12/01/2011,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,1,19224447,0,,average,3,CSA,"Gambill is OK. (I've never been to office hours so maybe he's more helpful there) He tries to make the class fun by making jokes and rambling during lecture, but in reality that just makes it more confusing. Like the others say, go to lab - that's where you'll do code and be able to ask questions. I regret not taking labs seriously enough",11/13/2011,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,person
N/A,good,poor,good,0,19215882,0,,good,5,CS105,This class is beyond easy.  Gambill is also always willing to help.  Great teacher.,11/11/2011,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
