attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,20802922,0,,good,5,NRES100,"Great teacher, not the easiest tests, he curves, plenty of projects. You'll ace it.",11/08/2012,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,20110303,0,,good,5,NRES100,"Great guy and good teacher. He know so many random facts that he tries to get through in lecture, plus like 80 power point slides, but the class is really easy and hes funny so it makes it not so bad. I would highly recommend it.",04/24/2012,1,1.0,,3,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,19722605,0,,good,3,NRES100,"Extremely nice guy that really cares about his students. Every concern/question I had was answered promptly by email. The class was pretty easy since you are given a study guide for every test(3) and quiz(3-4) and are allowed to use a cheat sheet. Lectures are kinda boring and he likes to go off on long tangents, but interesting none the less.",01/13/2012,2,2.0,,5,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,19700722,0,,good,5,NRES100,"Crazy smart guy but great teacher as well, makes things really easy to understand and really encourages class participation. Great teacher",01/10/2012,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19583794,0,,good,5,NRES100,"His a great professor. He obviously cares a lot about what he does. If the U of I continues the section, try and get him in the extremely small section at Allen Hall. He is a great guy to get to know in that small setting.",12/20/2011,1,1.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19442054,0,,good,5,NRES100,"He seriously may be one of the nicest men to walk the earth. His class is soooo easy. There are 3 exams, and you can have a study guide out for all 3. Though it may be very boring during lecture, it's worth the easy A. If you can, take him for Discussion (He grades much easier than his TA. Great guy.",12/09/2011,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19368445,0,,good,5,NRES100,"Take Environmental Sci with Ellsworth!  Easy class, yet interesting.  Ellsworth loves what he does.  Very nice guy and easy going.  Would take another class with him if I had the chance.  Easy A with a great professor",12/03/2011,1,1.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,19083136,0,,good,4,NRES100,Great Teacher with lots of energy. Its obvious he's passionate about his topic. Gives out study guides for all tests and quizzes that allow you to get A's with relative ease. Great science class for non-science majors,10/18/2011,1,1.0,,5,Really into it,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,18633504,0,,good,4,NRES100,"Prof. Ellsworth is one of the most enthusiastic teachers I have ever had, worth taking this class just for him.  Definitely take sign up for his discussion group, easy grader and offers extensions. Overall good class, although the material can get pretty boring. GREAT TEACHER!",05/19/2011,1,1.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18589536,0,,good,5,NRES100,He is the one.,05/12/2011,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
