attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,12434342,0,,good,4,PHYS101,"Hilarious, best lecturer I have ever had. Tests are somewhat difficult though.",11/16/2006,3,3.0,,5,Meh,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11922537,0,,good,4,PHYS101,"Easy class but lot of work. Go to class, have a good time, work in discussions, do your hw, go to lab, and you'll get an A- easily.",05/21/2006,2,2.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11524201,0,,good,5,PHYSICS101,I LOVE PROFESSOR STELZER!!!  He is an amazing teacher and he makes me laugh every time I go to class.  He explains things very clearly.  He is so funny and I would probably marry him if he wasn't 20 years older than me because he's so funny.  HAHA.  Just kidding.  But he is awesome!,02/27/2006,3,3.0,,3,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11366721,0,,good,5,PHYSICS101,"Amazing, enthusiastic, helpful, hilarious, easy going, makes physics the most fun class EVER",01/15/2006,1,1.0,,5,It's my life,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11359886,0,,good,5,PHYS101,"Without a doubt, the best professor I have EVER had!  His is honestly the only lecture I have ever tried to make it to.",01/13/2006,3,3.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3464148,0,,good,5,PHYS101,"he's awesome! really nice , fun and sweet, and very approachable when you need help. tests are hard though, but that's to be expected. he rocks for giving out cookies in lecture! :)",03/16/2005,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3186474,0,,good,5,PHYS101,"He was my fav teacher.  Very nice, Very funny, and never made you feel dumb for asking questions.",01/09/2005,2,2.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,3161320,0,,average,4,PHYS101,"Lecture was like pulling teeth.  Did well in class and missed next grade cutoff by 2 points...The guy won't review my stuff or give me a chance to get those 2 points, what BS",01/05/2005,3,3.0,,1,Sorta interested,2.5,2.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3057141,0,,good,5,PHYS101,Absolute best teacher I have had at Illinois.  Even makes people want to go to class.  No other prof can do that for me.  Should teach 102 also.,12/17/2004,2,2.0,,5,Meh,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,2625419,0,,good,4,PHYS101,"Great teacher, makes class fun.
 
 It's Phys101, so not that easy for some",11/01/2004,3,3.0,,5,It's my life,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1734467,0,,good,5,PHYCS101,"Funny, nice guy - makes class fun to go to",02/19/2004,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,1550656,0,,good,4,PHYSICS101,"nice and funny professor, interesting class (always has demonstrations to show)",12/23/2003,2,2.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,949677,0,,good,5,PHYSICS102,great class,05/11/2003,3,3.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,831132,0,,good,4,PHYCS102,No Comments,04/14/2003,3,3.0,,5,N/A,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,487429,0,,good,4,102,No Comments,01/12/2003,1,1.0,,4,N/A,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,234272,0,,good,5,PHYCS102,"Good job, highly recommend",07/09/2002,1,1.0,,5,N/A,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
