attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,16235911,0,,good,4,MATH241,"Calc 3 in general is a difficult class, Carty was good because he writes everything so taking notes is as simple as following along. He makes his notes colorful and often checks for clarity.",10/13/2009,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16115793,0,,good,4,MATH241,"Calc 1... My first college math course and I have Carty.  I get a 49% on my first exam.  Class average of 30 something.  He is a tough test writer, but he is very clear in what he expects you to know and if you don't know it forwards and backwards you can easily fail.  I took calc 3 with him too and once I knew his style it was just fine.",08/12/2009,5,5.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,16061373,0,,average,4,MATH241,This class is very hard. But if you study you should do fine. Carty knows his stuff but is a bit intimidating to approach. His notes are very helpful. You actually have to attend lecture and study ALOT and do homework to get an A though.,07/23/2009,5,5.0,,2,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15918117,0,,good,4,MATH241,"I didn't like Carty's way of teaching initially because I *thought* he wasn't clear enough in class. I struggled with the first 2 exams and homework. After midsem, I learned that it's the effort you put in yourself that matters. I learned a whole deal of discipline and hardwork in this course. From a C+ to an A. Yay!",05/31/2009,3,3.0,,3,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15708238,0,,good,4,MATH241,"TC is a menace to society... everyone at the University of Illinois should take his class and know the mathematician inside TC... a professor to remember for the ages, and a name to remember for the future of mathematics.  TC's calculus and comedy blend together to form the parameterization of a perfect class...",04/25/2009,4,4.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15491012,0,,good,4,MATH241,Very helpful good notes and funny keeps students interested in class.,02/26/2009,4,4.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,15186376,0,,good,5,MATH241,"I originally wanted to get out when I first saw I had Carty(I had him for 220 as well) He is one of those teachers that you absolutely HATE, but later you're glad you had him because you know the material so much better than those that didn't have him. He is REALLY hard during the class, but it is so worth it!",12/13/2008,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15127594,0,,poor,2,MATH241,"Agree with last comment, learned much more from a floormate. Carty's a nice guy but he certainly does not make the material interesting and his notation and quick speed make it hard to follow",12/08/2008,4,4.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,15091947,0,,poor,2,MATH115,I've learned more from a guy on my floor than from attending his lectures.,12/03/2008,4,4.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14828804,0,,good,5,MATH241,Really good notes. Really good explanations. Really good lectures. Kind of mean though. :(,09/22/2008,4,4.0,,4,Low,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14785487,0,,good,5,MATH241,"This is on tough mother. He likes to yell alot and make weird (but funny) remarks while teaching. Yeah his test are hard, but he puts an appropriate curve on the tests. The homework is extremely tough to do on your own, so what I did was go to the Illini Hall tutoring and got help there. Just man through the class. Its tough but you do learn",08/29/2008,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14695311,0,,good,4,MAT241,"His Calc 3 class is tough.  He covers a lot of things analytically and with rigor.  If you are a math major or engineer, his course will make following classes easier. He gives a good base in upper level math and I thought he was a good lecturer.  It does require a lot of work though, so you are warned.",07/28/2008,5,5.0,,5,It's my life,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,14686149,0,,poor,2,MATH125,This is a professor who really cares about what you do and learn out of class. he puts the course material in a simplest form it could possibly take and allows lots of time for students to fully understand. MY ASS,07/24/2008,1,1.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14400298,0,,average,3,MATH241,comes off as a jerk. moves fast. homework is very difficult and posted a day or two before due date.,05/04/2008,4,4.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,14365139,0,,average,4,MATH125,"Carty tries to make up for lack of teaching by obnoxiously swearing in hopes that the class will think he's &quot;cool.&quot; He's definitely not. Go to tutor hours for your homework, and you should get a C/B if you're lucky. Some exams are curved more heavily than others.",04/29/2008,4,4.0,,2,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,average,0,14365118,0,,average,4,MATH125,"This class is too hard for a 100-level course, especially when most of the students in the class because it is required for their major. Carty complicates the material with excessive writing and definitions. That being said, lectures are optional, but if you miss a few, you'll be lost. Make sure you go into tutor hours for your homework.",04/29/2008,4,4.0,,2,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,14135693,0,,good,5,MATH241,"Everyone gives him a hard time (well not to his face), but he's a really good professor. He actually cares about the Math, which is something you can't say for all professors. And if you pay attention during lecture, and write down EXACTLY what he says, you'll do fine. He goes through his notes really fast, but when I go back and read through them,",03/03/2008,5,5.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
